station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170101,-3.46,14.72,5.54,,,,0.4724412,4.724412,0.0393701,2017010
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170102,-24.52,3.56,-10.48,,,,0.0,4.724412,0.0,2017010
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170103,-9.22,6.62,-1.3,,,,0.0,4.724412,0.0,2017010
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170104,3.92,17.78,10.76,,,,0.0,4.724412,0.0,2017010
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170105,5.54,21.56,13.46,,,,0.7086618,5.118113,0.07086618,2017010
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170106,-6.16,6.08,-0.04,,,,0.0787402,5.511814,0.00787402,2017010
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170107,-5.98,4.1,-0.94,,,,0.1574804,5.511814,0.00787402,2017010
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170108,-8.14,-3.46,-5.8,,,,0.3149608,5.905515,0.01574804,2017010
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170109,-7.24,0.14,-3.64,,,,2.1259854,6.692917,0.21259854,2017010
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170110,-26.5,-0.04,-13.36,,,,0.1574804,7.086618,0.01574804,2017011
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170111,-10.3,20.84,5.18,,,,0.0,7.086618,0.0,2017011
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170112,-25.06,6.62,-9.22,,,,0.0,6.692917,0.0,2017011
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170113,-5.98,21.56,7.7,,,,0.0,6.692917,0.0,2017011
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170114,6.98,32.72,19.76,,,,0.0,6.692917,0.0,2017011
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170115,12.38,34.16,23.18,,,,0.0,6.299216,0.0,2017011
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170116,12.74,39.38,26.06,,,,0.0,5.905515,0.0,2017011
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170117,30.92,43.88,37.4,,,,0.0,5.511814,0.0,2017011
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170118,32.0,43.16,37.58,,,,0.0,5.118113,0.0,2017011
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170119,23.36,39.2,31.28,,,,0.0,4.330711,0.0,2017011
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170120,13.28,36.5,24.8,,,,0.0,3.93701,0.0,2017012
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170121,3.2,22.46,12.74,,,,0.0,3.93701,0.0,2017012
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170122,15.26,21.02,18.14,,,,0.2362206,3.93701,0.02362206,2017012
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170123,14.54,17.06,15.8,,,,0.0,3.93701,0.0,2017012
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170124,3.74,22.28,12.92,,,,0.0,3.93701,0.0,2017012
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170125,-1.12,23.18,10.94,,,,0.0,3.93701,0.0,2017012
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170126,7.88,32.18,19.94,,,,0.0,3.93701,0.0,2017012
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170127,21.02,36.68,28.76,,,,0.0,3.93701,0.0,2017012
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170128,17.24,41.54,29.3,,,,0.0,3.93701,0.0,2017012
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170129,22.82,43.34,33.08,,,,0.0,3.543309,0.0,2017012
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170130,20.84,37.22,28.94,,,,0.0,3.543309,0.0,2017013
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170131,9.86,23.0,16.34,,,,0.393701,3.543309,0.03149608,2017013
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170201,-3.64,18.68,7.52,,,,0.0,3.543309,0.0,2017020
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170202,-7.06,14.72,3.74,,,,0.0,3.543309,0.0,2017020
EDMONTON INTL A,AB,53.3167,-113.5833,723.0,20170203,-0.58,10.76,5.0,,,,0.1574804,3.543309,0.01574804,2017020
