station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170105,30.2,42.08,35.06,6.487126,360.0,19.908766,0.0,0.0,0.0,2017010
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170107,14.18,28.22,21.02,11.1847,360.0,27.066974,0.0,0.0,0.0,2017010
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170203,30.2,46.94,41.72,11.408394,360.0,27.066974,0.0,0.0,0.0,2017020
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170209,33.08,48.02,44.96,11.408394,360.0,29.974996,0.0,0.0,0.0,2017020
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170215,37.94,53.96,48.92,10.737312,360.0,27.066974,0.0,0.0,0.33858286,2017021
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170813,69.98,89.06,79.34,3.131716,360.0,14.092722,0.0,0.0,0.0,2017081
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170917,69.08,87.08,75.38,2.908022,360.0,14.092722,0.0,0.0,0.44094512,2017091
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170209,33.98,55.94,50.54,10.737312,360.0,35.119958,0.0,0.0,0.0,2017020
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170212,53.06,73.94,69.08,10.513618,360.0,27.96175,0.0,0.0,0.07086618,2017021
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170216,32.0,62.06,46.76,3.35541,360.0,16.105968,0.0,0.0,0.0,2017021
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170528,66.02,82.94,76.46,8.94776,360.0,31.093466,0.0,0.0,0.14960638,2017052
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170607,62.96,82.94,73.58,8.724066,360.0,23.040482,0.0,0.0,0.0,2017060
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170701,71.96,91.04,79.16,7.381902,360.0,21.027236,0.0,0.0,1.20078805,2017070
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170720,73.94,93.92,83.12,3.131716,360.0,21.027236,0.0,0.0,0.0,2017072
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170729,69.08,89.06,81.32,8.500372,360.0,23.040482,0.0,0.0,0.0393701,2017072
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170819,69.98,93.02,80.96,2.460634,360.0,14.092722,0.0,0.0,0.0,2017081
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170823,71.06,87.08,78.26,5.816044,360.0,17.000744,0.0,0.0,0.0,2017082
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170917,69.08,87.98,76.46,2.908022,360.0,23.935258,0.0,0.0,0.12992133,2017091
MOBILE,AL,30.6794,-88.2397,63.4,20170106,32.0,53.06,46.4,14.763804,360.0,31.093466,0.0,0.0,0.85039416,2017010
MOBILE,AL,30.6794,-88.2397,63.4,20170209,42.08,66.92,61.34,12.526864,360.0,35.119958,0.0,0.0,0.0,2017020
MOBILE,AL,30.6794,-88.2397,63.4,20170422,62.06,84.02,72.68,6.934514,360.0,35.119958,0.0,0.0,0.35826791,2017042
MONTGOMERY AP,AL,32.2997,-86.4075,61.6,20170212,64.04,78.98,70.52,8.500372,360.0,27.96175,0.0,0.0,0.0,2017021
MONTGOMERY AP,AL,32.2997,-86.4075,61.6,20170727,73.04,96.98,82.58,2.684328,360.0,25.053728,0.0,0.0,0.0,2017072
MONTGOMERY AP,AL,32.2997,-86.4075,61.6,20170907,55.04,82.04,68.72,4.921268,360.0,18.119214,0.0,0.0,0.0,2017090
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,20170108,18.14,35.96,25.7,3.579104,360.0,17.000744,0.0,0.0,0.0,2017010
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,20170522,68.0,80.06,72.68,1.11847,360.0,12.079476,0.0,0.0,0.92913436,2017052
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,20170626,62.06,86.0,73.58,2.23694,360.0,16.105968,0.0,0.0,0.0,2017062
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,20170709,71.06,91.04,80.24,2.684328,360.0,12.974252,0.0,0.0,0.0,2017070
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,20170726,75.02,91.04,80.78,1.11847,360.0,18.119214,0.0,0.0,0.01968505,2017072
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,20170903,64.04,86.0,73.76,1.11847,360.0,10.961006,0.0,0.0,0.0,2017090
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,20170917,69.98,89.96,77.72,1.342164,360.0,16.105968,0.0,0.0,0.29921276,2017091
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170104,31.1,55.04,48.2,10.513618,350.0,25.053728,0.0,0.0,0.0,2017010
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170212,48.92,75.02,69.26,10.06623,350.0,34.001488,0.0,0.0,0.0,2017021
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170315,25.16,42.98,32.54,7.381902,350.0,21.027236,0.0,0.0,0.0,2017031
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170422,62.06,80.96,70.52,7.605596,350.0,31.988242,0.0,0.0,0.87007921,2017042
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170729,69.98,86.0,78.26,9.618842,350.0,25.948504,0.0,0.0,0.0,2017072
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170905,64.04,87.08,73.94,5.816044,350.0,27.066974,0.0,0.0,0.01968505,2017090
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170906,51.98,77.0,67.1,6.934514,350.0,25.948504,0.0,0.0,0.0,2017090
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170106,23.18,35.06,33.44,12.079476,350.0,23.935258,0.3149608,0.0,0.16141741,2017010
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170107,17.24,31.1,23.54,12.974252,350.0,31.093466,0.0,0.0,0.0,2017010
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170315,27.14,44.96,34.52,7.605596,350.0,25.948504,0.0,0.0,0.0,2017031
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170322,53.96,71.06,64.76,8.724066,350.0,21.027236,0.0,0.0,0.0,2017032
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170424,51.08,73.04,57.92,6.039738,350.0,18.119214,0.0,0.0,0.0,2017042
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170507,51.08,75.02,64.76,4.697574,350.0,19.908766,0.0,0.0,0.0,2017050
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170615,68.0,93.02,78.62,4.697574,350.0,46.97574,0.0,0.0,0.6692917,2017061
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170808,71.96,75.92,73.76,0.447388,350.0,10.06623,0.0,0.0,2.57874155,2017080
MOBILE,AL,30.6794,-88.2397,63.4,20170107,24.26,37.94,31.82,17.671826,350.0,35.119958,0.0,0.0,0.0,2017010
MOBILE,AL,30.6794,-88.2397,63.4,20170127,35.06,53.96,44.96,6.039738,350.0,23.040482,0.0,0.0,0.0,2017012
MOBILE,AL,30.6794,-88.2397,63.4,20170301,62.06,80.06,73.76,12.974252,350.0,33.106712,0.0,0.0,0.18110246,2017030
MOBILE,AL,30.6794,-88.2397,63.4,20170322,60.98,87.98,72.32,7.158208,350.0,23.935258,0.0,0.0,0.0,2017032
MOBILE,AL,30.6794,-88.2397,63.4,20170512,64.04,80.96,70.88,7.381902,350.0,27.96175,0.0,0.0,0.98818951,2017051
MOBILE,AL,30.6794,-88.2397,63.4,20170522,64.94,80.96,71.96,3.131716,350.0,10.961006,0.0,0.0,0.11023628,2017052
MOBILE,AL,30.6794,-88.2397,63.4,20170701,73.04,89.06,80.96,4.921268,350.0,25.948504,0.0,0.0,0.24015761,2017070
MOBILE,AL,30.6794,-88.2397,63.4,20170803,73.04,78.98,76.82,4.250186,350.0,12.974252,0.0,0.0,0.38188997,2017080
MOBILE,AL,30.6794,-88.2397,63.4,20170818,75.02,96.08,84.02,4.47388,350.0,33.106712,0.0,0.0,0.0,2017081
MONTGOMERY AP,AL,32.2997,-86.4075,61.6,20170625,69.98,87.08,80.06,6.487126,350.0,21.027236,0.0,0.0,0.0,2017062
MONTGOMERY AP,AL,32.2997,-86.4075,61.6,20170731,69.08,91.04,81.14,5.144962,350.0,18.119214,0.0,0.0,0.0,2017073
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,20170214,37.94,69.08,51.8,1.11847,350.0,10.961006,0.0,0.0,0.0,2017021
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,20170312,37.94,59.0,45.68,5.816044,350.0,18.119214,,0.0,0.05905515,2017031
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,20170408,39.02,73.94,55.94,0.894776,350.0,12.079476,0.0,0.0,0.0,2017040
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,20170602,69.08,82.94,74.48,1.11847,350.0,17.000744,0.0,0.0,0.14173236,2017060
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,20170607,66.92,84.02,74.84,5.368656,350.0,18.119214,0.0,0.0,0.0,2017060
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,20170625,64.04,84.02,75.2,3.35541,350.0,17.000744,0.0,0.0,0.0,2017062
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,20170729,73.04,89.96,81.68,5.816044,350.0,18.119214,0.0,0.0,0.0,2017072
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,20170731,69.08,89.96,79.16,2.23694,350.0,12.974252,0.0,0.0,0.0,2017073
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,20170815,73.04,91.94,78.62,2.460634,350.0,25.948504,0.0,0.0,0.85039416,2017081
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,20170908,55.94,80.96,67.64,2.23694,350.0,14.092722,0.0,0.0,0.0,2017090
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,20170911,57.02,64.94,61.34,9.618842,350.0,29.974996,0.0,0.0,1.46850473,2017091
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170321,57.02,84.92,69.8,6.934514,340.0,40.936002,0.0,0.0,0.03149608,2017032
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170104,33.08,55.04,49.82,9.618842,340.0,23.935258,0.0,0.0,0.0,2017010
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170105,30.2,51.08,39.74,6.263432,340.0,19.01399,0.0,0.0,0.0,2017010
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170202,42.98,57.92,52.88,4.921268,340.0,18.119214,0.0,0.0,0.16141741,2017020
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170215,42.08,62.96,55.4,10.961006,340.0,31.988242,0.0,0.0,0.22834658,2017021
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170303,33.08,59.0,45.86,6.71082,340.0,27.96175,0.0,0.0,0.0,2017030
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170308,41.0,71.06,57.56,2.908022,340.0,19.908766,0.0,0.0,0.0,2017030
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170401,48.92,80.06,63.14,4.697574,340.0,18.119214,0.0,0.0,0.0,2017040
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170513,57.92,78.08,69.8,6.71082,340.0,25.053728,0.0,0.0,0.01968505,2017051
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170624,69.98,87.08,76.46,5.816044,340.0,27.96175,0.0,0.0,0.75984293,2017062
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170724,69.98,89.96,78.62,4.921268,340.0,42.949248,0.0,0.0,3.64173425,2017072
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170911,55.94,66.02,61.7,13.645334,340.0,36.014734,0.0,0.0,1.68897729,2017091
MOBILE,AL,30.6794,-88.2397,63.4,20170104,39.92,62.06,56.66,9.395148,340.0,23.040482,0.0,0.0,0.0,2017010
MOBILE,AL,30.6794,-88.2397,63.4,20170203,42.98,59.0,56.48,8.500372,340.0,21.922012,0.0,0.0,0.0,2017020
MOBILE,AL,30.6794,-88.2397,63.4,20170308,53.96,75.92,65.3,5.144962,340.0,31.093466,0.0,0.0,0.0,2017030
MOBILE,AL,30.6794,-88.2397,63.4,20170403,60.08,78.08,71.6,11.855782,340.0,44.962494,0.0,0.0,2.4409462,2017040
MOBILE,AL,30.6794,-88.2397,63.4,20170405,60.08,86.0,77.54,15.882274,340.0,35.119958,0.0,0.0,0.01968505,2017040
MOBILE,AL,30.6794,-88.2397,63.4,20170617,68.0,78.98,73.22,4.250186,340.0,12.974252,0.0,0.0,0.59842552,2017061
MOBILE,AL,30.6794,-88.2397,63.4,20170730,73.04,91.94,81.14,7.605596,340.0,18.119214,0.0,0.0,0.0,2017073
MOBILE,AL,30.6794,-88.2397,63.4,20170819,73.04,93.02,79.52,3.579104,340.0,34.001488,0.0,0.0,0.20866153,2017081
MOBILE,AL,30.6794,-88.2397,63.4,20170911,62.96,77.0,69.8,16.105968,340.0,38.922756,0.0,0.0,0.0,2017091
MONTGOMERY AP,AL,32.2997,-86.4075,61.6,20170219,51.08,78.98,62.24,3.131716,340.0,17.000744,0.0,0.0,0.0,2017021
MONTGOMERY AP,AL,32.2997,-86.4075,61.6,20170303,33.98,68.0,51.08,6.487126,340.0,27.96175,0.0,0.0,0.0,2017030
MONTGOMERY AP,AL,32.2997,-86.4075,61.6,20170602,71.06,87.98,77.36,3.802798,340.0,23.040482,0.0,0.0,0.29133874,2017060
MONTGOMERY AP,AL,32.2997,-86.4075,61.6,20170819,73.04,96.08,83.66,1.565858,340.0,12.079476,0.0,0.0,0.0,2017081
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,20170202,46.04,62.06,53.42,3.802798,340.0,14.092722,,0.0,0.09055123,2017020
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,20170322,55.94,75.92,67.82,4.697574,340.0,16.105968,0.0,0.0,0.0,2017032
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,20170808,71.96,77.0,73.76,0.223694,340.0,10.06623,0.0,0.0,1.25196918,2017080
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,20170813,73.04,91.04,80.24,1.11847,340.0,12.974252,0.0,0.0,0.0,2017081
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,20170819,71.06,91.94,80.96,1.565858,340.0,12.079476,0.0,0.0,0.0,2017081
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,20170906,60.08,78.08,71.24,5.816044,340.0,21.027236,0.0,0.0,0.0,2017090
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170214,35.06,60.98,47.12,3.802798,330.0,17.000744,0.0,0.0,0.01968505,2017021
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170310,42.08,66.92,61.16,11.855782,330.0,44.962494,0.0,0.0,0.87007921,2017031
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170314,30.2,42.98,39.92,11.1847,330.0,23.935258,0.0,0.0,0.0,2017031
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170327,57.92,78.98,66.74,9.171454,330.0,35.119958,0.0,0.0,0.66141768,2017032
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170408,37.04,71.96,53.78,2.23694,330.0,12.079476,0.0,0.0,0.0,2017040
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170505,46.94,53.06,52.16,8.500372,330.0,23.040482,0.0,0.0,0.35826791,2017050
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170608,57.02,80.96,70.16,6.71082,330.0,17.000744,0.0,0.0,0.0,2017060
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170625,60.98,82.94,72.86,6.71082,330.0,23.040482,0.0,0.0,0.0,2017062
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170626,57.92,84.92,71.42,2.908022,330.0,16.105968,0.0,0.0,0.0,2017062
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,20170720,75.02,98.06,85.64,3.131716,330.0,17.000744,0.0,0.0,0.0,2017072
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170123,46.04,64.04,54.5,14.987498,330.0,34.001488,0.0,0.0,0.01968505,2017012
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170312,35.96,59.0,44.42,7.82929,330.0,21.027236,0.0,0.0,0.01181103,2017031
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170319,41.0,69.98,55.94,5.144962,330.0,19.908766,0.0,0.0,0.0,2017031
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170508,48.92,82.04,65.3,2.460634,330.0,16.105968,0.0,0.0,0.0,2017050
BIRMINGHAM AP,AL,33.5656,-86.745,187.5,20170726,75.02,89.96,80.96,2.23694,330.0,23.935258,0.0,0.0,0.01968505,2017072
