station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
FT SMITH RGNL AP,AR,35.3331,-94.3625,136.9,20170104,25.16,41.0,33.26,6.71082,360.0,21.027236,0.0,0.0,0.0,2017010
FT SMITH RGNL AP,AR,35.3331,-94.3625,136.9,20170105,22.1,35.06,33.44,10.737312,360.0,23.040482,0.0,0.0,0.0,2017010
FT SMITH RGNL AP,AR,35.3331,-94.3625,136.9,20170512,60.08,71.96,66.2,8.052984,360.0,29.974996,0.0,0.0,0.25196864,2017051
FT SMITH RGNL AP,AR,35.3331,-94.3625,136.9,20170606,66.92,93.02,78.62,5.59235,360.0,17.000744,0.0,0.0,0.0,2017060
FT SMITH RGNL AP,AR,35.3331,-94.3625,136.9,20170708,69.98,84.92,78.98,6.263432,360.0,44.067718,0.0,0.0,1.92126088,2017070
FT SMITH RGNL AP,AR,35.3331,-94.3625,136.9,20170806,69.98,87.08,78.62,6.934514,360.0,27.96175,0.0,0.0,2.66929278,2017080
HARRISON BOONE CO AP,AR,36.2667,-93.1567,418.8,20170212,41.0,71.06,62.24,9.618842,360.0,27.96175,0.0,0.0,0.0,2017021
HARRISON BOONE CO AP,AR,36.2667,-93.1567,418.8,20170214,39.02,44.96,41.72,4.250186,360.0,18.119214,,0.0,1.01181157,2017021
HARRISON BOONE CO AP,AR,36.2667,-93.1567,418.8,20170630,64.94,82.94,73.22,6.934514,360.0,38.02798,0.0,0.0,1.2598432,2017063
HARRISON BOONE CO AP,AR,36.2667,-93.1567,418.8,20170906,50.0,73.94,61.7,5.816044,360.0,21.922012,0.0,0.0,0.0,2017090
HARRISON BOONE CO AP,AR,36.2667,-93.1567,418.8,20170911,48.92,82.04,65.48,4.250186,360.0,19.01399,0.0,0.0,0.0,2017091
FT SMITH RGNL AP,AR,35.3331,-94.3625,136.9,20170313,35.96,51.08,44.42,9.395148,350.0,29.08022,0.0,0.0,0.09055123,2017031
FT SMITH RGNL AP,AR,35.3331,-94.3625,136.9,20170504,50.0,69.98,57.2,14.54011,350.0,38.922756,0.0,0.0,0.0,2017050
FT SMITH RGNL AP,AR,35.3331,-94.3625,136.9,20170505,53.06,75.92,63.86,11.1847,350.0,27.96175,0.0,0.0,0.0,2017050
FT SMITH RGNL AP,AR,35.3331,-94.3625,136.9,20170615,71.96,91.94,82.58,5.59235,350.0,55.028724,0.0,0.0,0.0,2017061
FT SMITH RGNL AP,AR,35.3331,-94.3625,136.9,20170723,75.92,98.96,86.36,4.921268,350.0,38.922756,0.0,0.0,0.0,2017072
FT SMITH RGNL AP,AR,35.3331,-94.3625,136.9,20170815,73.94,93.02,80.42,4.921268,350.0,29.974996,0.0,0.0,1.01181157,2017081
FT SMITH RGNL AP,AR,35.3331,-94.3625,136.9,20170817,71.96,87.98,80.6,5.144962,350.0,25.948504,0.0,0.0,0.38188997,2017081
FT SMITH RGNL AP,AR,35.3331,-94.3625,136.9,20170820,75.92,96.98,86.0,4.697574,350.0,29.974996,0.0,0.0,0.25196864,2017082
FT SMITH RGNL AP,AR,35.3331,-94.3625,136.9,20170906,53.96,78.08,66.56,6.039738,350.0,23.040482,0.0,0.0,0.0,2017090
HARRISON BOONE CO AP,AR,36.2667,-93.1567,418.8,20170105,15.26,27.14,24.62,7.82929,350.0,21.027236,0.1181103,0.0,0.0,2017010
HARRISON BOONE CO AP,AR,36.2667,-93.1567,418.8,20170310,37.04,55.94,49.82,8.052984,350.0,21.027236,0.0,0.0,0.0,2017031
HARRISON BOONE CO AP,AR,36.2667,-93.1567,418.8,20170623,62.96,86.0,73.76,5.368656,350.0,38.922756,0.0,0.0,0.37007894,2017062
HARRISON BOONE CO AP,AR,36.2667,-93.1567,418.8,20170624,57.92,77.0,68.72,5.368656,350.0,16.105968,0.0,0.0,0.0,2017062
