station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
TUCSON INTL AP,AZ,32.1314,-110.9553,776.9,20170223,46.04,64.94,61.34,7.82929,360.0,25.053728,0.0,0.0,0.0,2017022
TUCSON INTL AP,AZ,32.1314,-110.9553,776.9,20170224,35.06,62.06,50.0,4.47388,360.0,17.000744,0.0,0.0,0.0,2017022
TUCSON INTL AP,AZ,32.1314,-110.9553,776.9,20170309,50.0,89.06,67.64,7.605596,360.0,21.027236,0.0,0.0,0.0,2017030
TUCSON INTL AP,AZ,32.1314,-110.9553,776.9,20170522,64.04,98.96,82.94,7.605596,360.0,29.974996,0.0,0.0,0.0,2017052
TUCSON INTL AP,AZ,32.1314,-110.9553,776.9,20170714,75.02,100.94,85.46,5.59235,360.0,35.119958,0.0,0.0,0.01968505,2017071
TUCSON INTL AP,AZ,32.1314,-110.9553,776.9,20170813,68.0,93.92,83.84,6.934514,360.0,16.105968,0.0,0.0,1.48031576,2017081
TUCSON INTL AP,AZ,32.1314,-110.9553,776.9,20170904,73.04,102.92,86.72,6.039738,360.0,25.053728,0.0,0.0,0.0,2017090
PHOENIX SKY HARBOR INTL AP,AZ,33.4278,-112.0039,337.4,20170110,48.92,69.98,57.74,3.35541,360.0,12.974252,0.0,0.0,0.0,2017011
PHOENIX SKY HARBOR INTL AP,AZ,33.4278,-112.0039,337.4,20170304,53.06,78.98,65.48,5.144962,360.0,14.987498,0.0,0.0,0.0,2017030
PHOENIX SKY HARBOR INTL AP,AZ,33.4278,-112.0039,337.4,20170327,59.0,82.94,70.88,9.171454,360.0,36.90951,0.0,0.0,0.0,2017032
PHOENIX SKY HARBOR INTL AP,AZ,33.4278,-112.0039,337.4,20170519,62.06,87.08,73.94,6.263432,360.0,23.040482,0.0,0.0,0.0,2017051
PHOENIX SKY HARBOR INTL AP,AZ,33.4278,-112.0039,337.4,20170722,82.94,105.98,93.02,6.934514,360.0,40.936002,0.0,0.0,0.0,2017072
PHOENIX SKY HARBOR INTL AP,AZ,33.4278,-112.0039,337.4,20170809,84.92,111.02,97.88,5.59235,360.0,17.000744,0.0,0.0,0.0,2017080
PHOENIX SKY HARBOR INTL AP,AZ,33.4278,-112.0039,337.4,20170904,82.04,104.0,91.4,9.171454,360.0,29.08022,0.0,0.0,0.0,2017090
WINSLOW MUNI AP,AZ,35.0281,-110.7208,1489.3,20170127,17.24,37.94,29.48,9.171454,360.0,27.066974,,,0.0,2017012
WINSLOW MUNI AP,AZ,35.0281,-110.7208,1489.3,20170503,46.04,80.06,66.2,7.158208,360.0,23.040482,,,0.0,2017050
WINSLOW MUNI AP,AZ,35.0281,-110.7208,1489.3,20170720,64.04,95.0,76.82,10.513618,360.0,36.90951,,,0.0,2017072
WINSLOW MUNI AP,AZ,35.0281,-110.7208,1489.3,20170729,64.04,84.92,71.96,5.144962,360.0,35.119958,,,0.05905515,2017072
WINSLOW MUNI AP,AZ,35.0281,-110.7208,1489.3,20170905,60.98,98.06,80.24,6.487126,360.0,31.988242,,,0.01181103,2017090
DOUGLAS BISBEE INL AP,AZ,31.4583,-109.6061,1251.2,20170126,19.22,53.96,35.06,6.71082,360.0,16.105968,0.0,0.0,0.0,2017012
DOUGLAS BISBEE INL AP,AZ,31.4583,-109.6061,1251.2,20170329,37.94,73.94,54.68,9.395148,360.0,23.935258,0.0,0.0,0.0,2017032
DOUGLAS BISBEE INL AP,AZ,31.4583,-109.6061,1251.2,20170522,50.0,93.92,73.94,9.395148,360.0,40.041226,0.0,0.0,0.0,2017052
DOUGLAS BISBEE INL AP,AZ,31.4583,-109.6061,1251.2,20170623,75.92,105.98,89.42,9.618842,360.0,33.106712,0.0,0.0,0.0,2017062
DOUGLAS BISBEE INL AP,AZ,31.4583,-109.6061,1251.2,20170709,66.92,93.92,79.88,7.158208,360.0,36.014734,0.0,0.0,0.01968505,2017070
