station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
COMOX A,BC,49.7167,-124.9,26.0,20170101,28.94,37.76,33.44,,,,0.0,,0.0,2017010
COMOX A,BC,49.7167,-124.9,26.0,20170102,26.24,35.96,31.1,,,,0.0,,0.0,2017010
COMOX A,BC,49.7167,-124.9,26.0,20170103,20.3,34.34,27.32,,,,0.0,,0.0,2017010
COMOX A,BC,49.7167,-124.9,26.0,20170104,18.68,38.84,28.76,,,,0.0,,0.0,2017010
COMOX A,BC,49.7167,-124.9,26.0,20170105,21.38,38.3,29.84,,,,0.0,,0.0,2017010
COMOX A,BC,49.7167,-124.9,26.0,20170106,33.08,39.92,36.5,,,,0.0,,0.0,2017010
COMOX A,BC,49.7167,-124.9,26.0,20170107,29.12,39.74,34.52,,,,0.0,,0.0,2017010
COMOX A,BC,49.7167,-124.9,26.0,20170108,30.92,38.3,34.7,,,,1.574804,0.0,0.24409462,2017010
COMOX A,BC,49.7167,-124.9,26.0,20170109,32.54,37.76,35.24,,,,0.0,0.393701,0.05511814,2017010
COMOX A,BC,49.7167,-124.9,26.0,20170110,29.48,35.42,32.54,,,,0.0,0.0,0.0,2017011
COMOX A,BC,49.7167,-124.9,26.0,20170111,20.3,36.14,28.22,,,,0.0,0.0,0.0,2017011
COMOX A,BC,49.7167,-124.9,26.0,20170112,20.84,36.14,28.4,,,,0.0,0.0,0.0,2017011
COMOX A,BC,49.7167,-124.9,26.0,20170113,28.76,36.5,32.72,,,,0.0,0.0,0.0,2017011
COMOX A,BC,49.7167,-124.9,26.0,20170114,24.26,37.76,30.92,,,,0.0,0.0,0.0,2017011
COMOX A,BC,49.7167,-124.9,26.0,20170115,28.04,41.9,35.06,,,,0.0,0.0,0.0,2017011
COMOX A,BC,49.7167,-124.9,26.0,20170116,35.42,42.8,39.2,,,,0.0,0.0,0.18110246,2017011
COMOX A,BC,49.7167,-124.9,26.0,20170117,42.08,48.2,45.14,,,,0.0,0.0,1.0629927,2017011
COMOX A,BC,49.7167,-124.9,26.0,20170118,46.58,52.7,49.64,,,,0.0,,0.37795296,2017011
COMOX A,BC,49.7167,-124.9,26.0,20170119,41.72,46.94,44.42,,,,0.0,,0.0,2017011
COMOX A,BC,49.7167,-124.9,26.0,20170120,39.92,46.4,43.16,,,,0.0,,0.0,2017012
COMOX A,BC,49.7167,-124.9,26.0,20170121,39.2,45.14,42.26,,,,0.0,,0.25984266,2017012
COMOX A,BC,49.7167,-124.9,26.0,20170122,38.48,45.14,41.9,,,,0.0,,0.14960638,2017012
COMOX A,BC,49.7167,-124.9,26.0,20170123,33.08,45.86,39.56,,,,0.0,,0.00787402,2017012
COMOX A,BC,49.7167,-124.9,26.0,20170124,29.48,42.62,36.14,,,,0.0,,0.0,2017012
COMOX A,BC,49.7167,-124.9,26.0,20170125,35.96,42.62,39.38,,,,0.0,,0.0,2017012
COMOX A,BC,49.7167,-124.9,26.0,20170126,37.76,44.42,41.18,,,,0.0,,0.0,2017012
COMOX A,BC,49.7167,-124.9,26.0,20170127,42.98,45.86,44.42,,,,0.0,,0.0,2017012
COMOX A,BC,49.7167,-124.9,26.0,20170128,43.88,48.02,46.04,,,,0.0,,0.0,2017012
COMOX A,BC,49.7167,-124.9,26.0,20170129,41.9,51.8,46.94,,,,0.0,,0.08661422,2017012
COMOX A,BC,49.7167,-124.9,26.0,20170130,34.88,42.98,39.02,,,,0.0,,0.00787402,2017013
COMOX A,BC,49.7167,-124.9,26.0,20170131,31.46,42.44,37.04,,,,0.0,,0.0,2017013
COMOX A,BC,49.7167,-124.9,26.0,20170201,23.36,40.82,32.18,,,,0.0,,0.0,2017020
COMOX A,BC,49.7167,-124.9,26.0,20170202,21.92,40.28,31.1,,,,0.0,,0.0,2017020
COMOX A,BC,49.7167,-124.9,26.0,20170203,27.14,32.9,30.02,,,,3.7007894,1.968505,0.29133874,2017020
COMOX A,BC,49.7167,-124.9,26.0,20170204,30.2,33.44,31.82,,,,4.9606326,5.511814,0.43700811,2017020
COMOX A,BC,49.7167,-124.9,26.0,20170205,28.76,32.36,30.56,,,,1.6535442,8.661422,0.1181103,2017020
COMOX A,BC,49.7167,-124.9,26.0,20170206,24.8,29.3,26.96,,,,0.1574804,7.086618,0.01574804,2017020
COMOX A,BC,49.7167,-124.9,26.0,20170207,21.56,32.9,27.14,,,,1.4960638,6.299216,0.14960638,2017020
COMOX A,BC,49.7167,-124.9,26.0,20170208,21.2,34.52,27.86,,,,3.93701,7.086618,0.393701,2017020
COMOX A,BC,49.7167,-124.9,26.0,20170209,30.38,33.8,32.18,,,,10.236226,18.110246,1.00000054,2017020
COMOX A,BC,49.7167,-124.9,26.0,20170210,29.48,42.26,35.96,,,,0.0,14.173236,0.18897648,2017021
COMOX A,BC,49.7167,-124.9,26.0,20170211,28.4,42.8,35.6,,,,0.0,7.480319,0.0,2017021
COMOX A,BC,49.7167,-124.9,26.0,20170212,36.86,45.5,41.18,,,,0.0,3.93701,0.0,2017021
COMOX A,BC,49.7167,-124.9,26.0,20170213,30.74,46.76,38.84,,,,0.0,0.0,0.0,2017021
COMOX A,BC,49.7167,-124.9,26.0,20170214,32.36,47.66,40.1,,,,0.0,0.0,0.37795296,2017021
COMOX A,BC,49.7167,-124.9,26.0,20170215,42.98,50.18,46.58,,,,0.0,,1.37007948,2017021
COMOX A,BC,49.7167,-124.9,26.0,20170216,40.64,52.52,46.58,,,,0.0,,0.06299216,2017021
COMOX A,BC,49.7167,-124.9,26.0,20170217,32.9,48.02,40.46,,,,0.0,,0.0,2017021
COMOX A,BC,49.7167,-124.9,26.0,20170218,33.44,42.98,38.3,,,,0.0,,0.0,2017021
COMOX A,BC,49.7167,-124.9,26.0,20170219,37.58,43.52,40.64,,,,0.0,,0.81889808,2017021
COMOX A,BC,49.7167,-124.9,26.0,20170220,32.36,45.32,38.84,,,,0.0,,0.1181103,2017022
COMOX A,BC,49.7167,-124.9,26.0,20170221,32.18,45.5,38.84,,,,0.0,,0.0,2017022
COMOX A,BC,49.7167,-124.9,26.0,20170222,33.98,43.16,38.66,,,,0.0,,0.00787402,2017022
