station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
BAKERSFIELD AP,CA,35.4344,-119.0542,149.0,20170118,37.04,55.04,47.84,5.144962,360.0,38.02798,0.0,0.0,0.09055123,2017011
BAKERSFIELD AP,CA,35.4344,-119.0542,149.0,20170301,35.96,64.04,48.92,3.35541,360.0,10.961006,0.0,0.0,0.0,2017030
BAKERSFIELD AP,CA,35.4344,-119.0542,149.0,20170320,53.96,75.02,65.12,7.82929,360.0,25.053728,0.0,0.0,0.0,2017032
BAKERSFIELD AP,CA,35.4344,-119.0542,149.0,20170324,42.98,75.92,56.66,5.816044,360.0,21.027236,0.0,0.0,0.01968505,2017032
BAKERSFIELD AP,CA,35.4344,-119.0542,149.0,20170407,60.08,82.04,69.8,9.618842,360.0,27.96175,0.0,0.0,0.01968505,2017040
BAKERSFIELD AP,CA,35.4344,-119.0542,149.0,20170408,44.06,68.0,61.7,10.737312,360.0,42.054472,0.0,0.0,0.0,2017040
BAKERSFIELD AP,CA,35.4344,-119.0542,149.0,20170412,51.98,82.94,66.74,8.94776,360.0,23.040482,0.0,0.0,0.0,2017041
BAKERSFIELD AP,CA,35.4344,-119.0542,149.0,20170517,57.02,75.02,64.58,8.052984,360.0,29.08022,0.0,0.0,0.0,2017051
BISHOP AP,CA,37.3711,-118.3581,1250.3,20170106,18.14,41.0,31.82,4.250186,360.0,23.040482,0.0,0.0,0.0,2017010
BISHOP AP,CA,37.3711,-118.3581,1250.3,20170113,33.08,46.94,37.94,4.921268,360.0,17.000744,0.9842525,1.181103,0.09842525,2017011
BISHOP AP,CA,37.3711,-118.3581,1250.3,20170129,23.18,53.06,33.98,6.263432,360.0,14.987498,0.0,0.0,0.0,2017012
BISHOP AP,CA,37.3711,-118.3581,1250.3,20170211,37.94,51.08,45.86,6.487126,360.0,21.027236,0.0,0.0,0.0,2017021
BISHOP AP,CA,37.3711,-118.3581,1250.3,20170301,21.2,60.08,39.92,5.144962,360.0,12.974252,0.0,0.0,0.0,2017030
BISHOP AP,CA,37.3711,-118.3581,1250.3,20170325,37.04,68.0,56.48,8.276678,360.0,29.08022,0.0,0.0,0.0,2017032
BISHOP AP,CA,37.3711,-118.3581,1250.3,20170328,39.92,68.0,51.08,14.54011,360.0,36.90951,0.0,0.0,0.0,2017032
BISHOP AP,CA,37.3711,-118.3581,1250.3,20170401,33.98,75.02,51.26,10.289924,360.0,27.96175,0.0,0.0,0.0,2017040
BISHOP AP,CA,37.3711,-118.3581,1250.3,20170403,33.98,69.08,57.56,15.434886,360.0,51.002232,0.0,0.0,0.0,2017040
BISHOP AP,CA,37.3711,-118.3581,1250.3,20170408,35.96,57.02,48.38,12.974252,360.0,38.02798,0.0,0.0,0.0,2017040
BISHOP AP,CA,37.3711,-118.3581,1250.3,20170411,33.98,71.06,53.6,5.59235,360.0,21.027236,0.0,0.0,0.0,2017041
BISHOP AP,CA,37.3711,-118.3581,1250.3,20170423,39.02,78.08,63.86,10.737312,360.0,34.001488,0.0,0.0,0.0,2017042
BISHOP AP,CA,37.3711,-118.3581,1250.3,20170425,48.02,75.92,60.26,16.329662,360.0,38.02798,0.0,0.0,0.0,2017042
BISHOP AP,CA,37.3711,-118.3581,1250.3,20170426,44.96,80.96,63.32,10.737312,360.0,36.014734,0.0,0.0,0.0,2017042
BISHOP AP,CA,37.3711,-118.3581,1250.3,20170501,51.08,84.92,67.82,16.105968,360.0,34.001488,0.0,0.0,0.0,2017050
BISHOP AP,CA,37.3711,-118.3581,1250.3,20170522,48.92,91.04,72.68,4.921268,360.0,14.092722,0.0,0.0,0.0,2017052
BISHOP AP,CA,37.3711,-118.3581,1250.3,20170608,53.96,87.08,75.38,9.842536,360.0,36.014734,0.0,0.0,0.0,2017060
BISHOP AP,CA,37.3711,-118.3581,1250.3,20170617,62.06,104.0,83.48,5.816044,360.0,17.000744,0.0,0.0,0.0,2017061
BISHOP AP,CA,37.3711,-118.3581,1250.3,20170627,48.92,100.04,78.26,6.487126,360.0,23.040482,0.0,0.0,0.0,2017062
BISHOP AP,CA,37.3711,-118.3581,1250.3,20170711,59.0,100.04,80.78,6.71082,360.0,23.935258,0.0,0.0,0.0,2017071
BISHOP AP,CA,37.3711,-118.3581,1250.3,20170806,59.0,93.02,75.74,7.605596,360.0,27.96175,0.0,0.0,0.0,2017080
LOS ANGELES INTL AP,CA,33.9381,-118.3889,29.6,20170427,55.94,75.92,62.24,11.408394,360.0,38.02798,0.0,0.0,0.0,2017042
SAN DIEGO LINDBERGH FLD,CA,32.7336,-117.1831,4.6,20170114,53.06,64.04,56.66,4.47388,360.0,19.01399,0.0,0.0,0.0,2017011
SACRAMENTO EXECUTIVE AP,CA,38.5069,-121.495,4.6,20170113,35.96,57.02,44.78,4.697574,360.0,16.105968,0.0,0.0,0.0,2017011
SACRAMENTO EXECUTIVE AP,CA,38.5069,-121.495,4.6,20170401,44.96,78.08,62.06,4.250186,360.0,18.119214,0.0,0.0,0.0,2017040
STOCKTON METRO AP,CA,37.8892,-121.2258,7.9,20170313,42.98,80.06,60.26,2.684328,360.0,10.961006,0.0,0.0,0.0,2017031
CONCORD BUCHANAN FLD,CA,37.9917,-122.055,5.5,20170328,44.06,75.02,58.46,7.158208,360.0,29.08022,0.0,0.0,0.0,2017032
CONCORD BUCHANAN FLD,CA,37.9917,-122.055,5.5,20170331,48.92,73.94,60.44,12.30317,360.0,34.001488,0.0,0.0,0.0,2017033
CONCORD BUCHANAN FLD,CA,37.9917,-122.055,5.5,20170428,48.02,77.0,62.24,7.381902,360.0,29.08022,0.0,0.0,0.0,2017042
EUREKA WFO WOODLEY ISLAND,CA,40.8097,-124.1603,6.1,20170103,39.02,42.98,39.2,4.921268,360.0,12.974252,0.0,0.0,1.29133928,2017010
EUREKA WFO WOODLEY ISLAND,CA,40.8097,-124.1603,6.1,20170116,33.98,53.96,42.08,3.35541,360.0,8.94776,0.0,0.0,0.0,2017011
EUREKA WFO WOODLEY ISLAND,CA,40.8097,-124.1603,6.1,20170129,35.06,53.06,44.06,2.23694,360.0,8.94776,0.0,0.0,0.0,2017012
EUREKA WFO WOODLEY ISLAND,CA,40.8097,-124.1603,6.1,20170210,42.98,51.98,50.36,5.368656,360.0,18.119214,0.0,0.0,0.40944904,2017021
EUREKA WFO WOODLEY ISLAND,CA,40.8097,-124.1603,6.1,20170211,35.96,51.98,44.78,4.921268,360.0,17.000744,0.0,0.0,0.0,2017021
EUREKA WFO WOODLEY ISLAND,CA,40.8097,-124.1603,6.1,20170217,42.98,48.92,47.84,4.697574,360.0,18.119214,0.0,0.0,0.70078778,2017021
EUREKA WFO WOODLEY ISLAND,CA,40.8097,-124.1603,6.1,20170301,33.08,53.06,42.44,4.697574,360.0,18.119214,0.0,0.0,0.0,2017030
EUREKA WFO WOODLEY ISLAND,CA,40.8097,-124.1603,6.1,20170302,39.92,51.98,45.14,4.921268,360.0,14.092722,0.0,0.0,0.0,2017030
EUREKA WFO WOODLEY ISLAND,CA,40.8097,-124.1603,6.1,20170403,41.0,55.04,48.56,5.144962,360.0,12.079476,0.0,0.0,0.0,2017040
EUREKA WFO WOODLEY ISLAND,CA,40.8097,-124.1603,6.1,20170428,42.08,55.94,48.92,7.158208,360.0,25.948504,0.0,0.0,0.0,2017042
EUREKA WFO WOODLEY ISLAND,CA,40.8097,-124.1603,6.1,20170430,44.06,59.0,49.28,5.144962,360.0,21.027236,0.0,0.0,0.0,2017043
EUREKA WFO WOODLEY ISLAND,CA,40.8097,-124.1603,6.1,20170503,53.06,59.0,54.5,2.684328,360.0,10.06623,0.0,0.0,0.0,2017050
EUREKA WFO WOODLEY ISLAND,CA,40.8097,-124.1603,6.1,20170504,51.08,59.0,53.06,3.131716,360.0,12.079476,0.0,0.0,0.0,2017050
EUREKA WFO WOODLEY ISLAND,CA,40.8097,-124.1603,6.1,20170505,48.92,55.04,51.44,10.737312,360.0,29.974996,0.0,0.0,0.14960638,2017050
