station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,20170107,18.14,21.2,20.3,9.171454,360.0,16.105968,3.3070884,3.1102379,0.22834658,2017010
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,20170211,20.12,30.2,23.54,5.59235,360.0,14.987498,0.5905515,12.992133,0.0393701,2017021
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,20170305,7.16,32.0,18.32,11.408394,360.0,34.001488,0.0,,0.0,2017030
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,20170325,31.1,44.06,40.28,6.487126,360.0,19.01399,0.0,1.181103,0.0787402,2017032
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,20170404,39.02,46.04,45.14,8.052984,360.0,21.027236,0.0,,1.11023682,2017040
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,20170526,50.0,64.04,55.04,6.934514,360.0,23.935258,0.0,,0.50000027,2017052
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,20170707,62.96,73.04,67.46,5.368656,360.0,14.987498,0.0,,0.83858313,2017070
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,20170827,51.08,77.0,63.68,4.47388,360.0,14.092722,0.0,0.0,0.0,2017082
BRIDGEPORT SIKORSKY MEM AP,CT,41.1583,-73.1289,1.5,20170107,21.2,25.16,24.08,13.42164,360.0,29.08022,5.7086645,0.0,0.22047256,2017010
BRIDGEPORT SIKORSKY MEM AP,CT,41.1583,-73.1289,1.5,20170401,37.94,46.04,40.82,16.105968,360.0,36.90951,0.0,0.0,0.01181103,2017040
BRIDGEPORT SIKORSKY MEM AP,CT,41.1583,-73.1289,1.5,20170413,44.06,64.04,54.86,9.395148,360.0,29.08022,0.0,0.0,0.0,2017041
BRIDGEPORT SIKORSKY MEM AP,CT,41.1583,-73.1289,1.5,20170816,69.08,86.0,76.82,7.158208,360.0,21.922012,0.0,0.0,0.0,2017081
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,20170212,20.12,29.12,23.9,8.500372,350.0,17.000744,5.0000027,16.8897729,0.6692917,2017021
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,20170327,33.08,42.08,36.86,4.921268,350.0,12.974252,0.0,,0.40157502,2017032
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,20170509,35.96,55.94,46.22,4.026492,350.0,14.092722,0.0,,0.0,2017050
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,20170514,39.02,60.98,48.2,11.632088,350.0,25.948504,0.0,,0.38976399,2017051
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,20170715,62.96,84.92,69.8,4.697574,350.0,19.908766,0.0,,0.0,2017071
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,20170906,59.0,69.08,66.02,5.816044,350.0,25.948504,0.0,0.0,0.90944931,2017090
BRIDGEPORT SIKORSKY MEM AP,CT,41.1583,-73.1289,1.5,20170209,16.16,41.0,34.88,17.224438,350.0,44.962494,10.3149662,1.968505,0.83858313,2017020
BRIDGEPORT SIKORSKY MEM AP,CT,41.1583,-73.1289,1.5,20170305,13.1,33.98,21.92,12.30317,350.0,29.974996,0.0,0.0,0.0,2017030
BRIDGEPORT SIKORSKY MEM AP,CT,41.1583,-73.1289,1.5,20170519,66.02,89.06,76.46,10.737312,350.0,25.948504,0.0,0.0,0.0,2017051
BRIDGEPORT SIKORSKY MEM AP,CT,41.1583,-73.1289,1.5,20170820,68.0,84.02,77.0,7.158208,350.0,21.922012,0.0,0.0,0.0,2017082
BRIDGEPORT SIKORSKY MEM AP,CT,41.1583,-73.1289,1.5,20170824,60.98,80.96,71.6,5.816044,350.0,19.01399,0.0,0.0,0.0,2017082
BRIDGEPORT SIKORSKY MEM AP,CT,41.1583,-73.1289,1.5,20170909,55.04,69.98,62.24,8.724066,350.0,21.027236,0.0,0.0,0.0,2017090
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,20170130,21.2,33.98,30.02,6.71082,340.0,21.027236,0.0,,0.0,2017013
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,20170220,27.14,46.04,41.72,7.381902,340.0,21.922012,0.0,3.1102379,0.0,2017022
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,20170505,46.04,51.98,49.46,7.381902,340.0,19.01399,0.0,,1.53937091,2017050
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,20170825,55.94,77.0,66.56,5.816044,340.0,19.01399,0.0,0.0,0.0,2017082
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,20170831,53.06,78.98,65.66,7.82929,340.0,23.935258,0.0,0.0,0.0,2017083
BRIDGEPORT SIKORSKY MEM AP,CT,41.1583,-73.1289,1.5,20170114,25.16,31.1,29.84,4.026492,340.0,12.974252,1.6141741,0.0,0.1181103,2017011
BRIDGEPORT SIKORSKY MEM AP,CT,41.1583,-73.1289,1.5,20170531,57.02,68.0,60.26,7.381902,340.0,27.96175,0.0,0.0,0.35826791,2017053
BRIDGEPORT SIKORSKY MEM AP,CT,41.1583,-73.1289,1.5,20170601,59.0,80.96,66.56,6.71082,340.0,23.935258,0.0,0.0,0.1181103,2017060
BRIDGEPORT SIKORSKY MEM AP,CT,41.1583,-73.1289,1.5,20170613,71.06,93.92,80.42,8.052984,340.0,21.922012,0.0,0.0,0.0,2017061
BRIDGEPORT SIKORSKY MEM AP,CT,41.1583,-73.1289,1.5,20170712,73.04,89.96,79.34,7.158208,340.0,23.040482,0.0,0.0,0.0,2017071
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,20170115,19.22,39.92,29.66,6.263432,330.0,19.908766,0.0,,0.0,2017011
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,20170209,11.12,33.98,29.48,15.434886,330.0,40.041226,15.5118194,12.992133,0.94881941,2017020
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,20170308,44.06,59.0,49.64,11.408394,330.0,33.106712,0.0,,0.14173236,2017030
