station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
WILMINGTON NEW CASTLE CO AP,DE,39.6728,-75.6008,24.1,20170314,23.18,35.06,31.64,23.48787,360.0,46.97574,0.1968505,1.181103,1.94881995,2017031
WILMINGTON NEW CASTLE CO AP,DE,39.6728,-75.6008,24.1,20170323,20.12,46.04,32.36,6.71082,360.0,19.01399,0.0,0.0,0.0,2017032
WILMINGTON NEW CASTLE CO AP,DE,39.6728,-75.6008,24.1,20170725,69.08,78.98,73.94,5.816044,360.0,16.105968,0.0,0.0,0.0,2017072
WILMINGTON NEW CASTLE CO AP,DE,39.6728,-75.6008,24.1,20170730,57.92,84.02,70.7,6.71082,360.0,17.000744,0.0,0.0,0.0,2017073
WILMINGTON NEW CASTLE CO AP,DE,39.6728,-75.6008,24.1,20170603,51.98,78.08,65.84,6.039738,350.0,27.96175,0.0,0.0,0.0,2017060
WILMINGTON NEW CASTLE CO AP,DE,39.6728,-75.6008,24.1,20170621,66.02,87.08,76.82,6.934514,350.0,38.922756,0.0,0.0,0.01968505,2017062
WILMINGTON NEW CASTLE CO AP,DE,39.6728,-75.6008,24.1,20170721,75.92,93.02,85.46,5.816044,350.0,17.000744,0.0,0.0,0.0,2017072
WILMINGTON NEW CASTLE CO AP,DE,39.6728,-75.6008,24.1,20170808,64.04,80.06,72.14,6.934514,350.0,19.908766,0.0,0.0,0.0,2017080
WILMINGTON NEW CASTLE CO AP,DE,39.6728,-75.6008,24.1,20170714,71.96,87.08,77.9,3.802798,340.0,44.067718,0.0,0.0,1.48818978,2017071
WILMINGTON NEW CASTLE CO AP,DE,39.6728,-75.6008,24.1,20170213,27.14,42.08,37.58,23.040482,330.0,53.015478,0.0,0.0,0.0,2017021
WILMINGTON NEW CASTLE CO AP,DE,39.6728,-75.6008,24.1,20170305,14.18,39.02,26.06,7.605596,330.0,21.922012,0.0,0.0,0.0,2017030
WILMINGTON NEW CASTLE CO AP,DE,39.6728,-75.6008,24.1,20170329,44.06,62.96,53.24,11.855782,330.0,25.948504,0.0,0.0,0.0,2017032
WILMINGTON NEW CASTLE CO AP,DE,39.6728,-75.6008,24.1,20170405,51.08,66.92,61.7,10.513618,330.0,25.053728,0.0,0.0,0.0,2017040
WILMINGTON NEW CASTLE CO AP,DE,39.6728,-75.6008,24.1,20170515,50.0,73.94,62.06,13.869028,330.0,36.90951,0.0,0.0,0.0,2017051
WILMINGTON NEW CASTLE CO AP,DE,39.6728,-75.6008,24.1,20170628,55.94,80.96,68.72,6.71082,330.0,18.119214,0.0,0.0,0.0,2017062
