station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
ORLANDO INTL AP,FL,28.4339,-81.325,27.4,20170108,35.96,55.04,44.42,15.882274,360.0,29.08022,0.0,0.0,0.0,2017010
ORLANDO INTL AP,FL,28.4339,-81.325,27.4,20170210,48.92,73.04,61.7,10.06623,360.0,25.053728,0.0,0.0,0.0,2017021
ORLANDO INTL AP,FL,28.4339,-81.325,27.4,20170223,62.06,78.98,67.28,9.618842,360.0,38.922756,0.0,0.0,0.20078751,2017022
GAINESVILLE RGNL AP,FL,29.6919,-82.2756,37.5,20170704,73.04,95.0,82.76,4.697574,360.0,23.935258,0.0,0.0,0.16929143,2017070
DAYTONA BEACH INTL AP,FL,29.1828,-81.0483,9.4,20170626,73.94,89.96,79.52,3.802798,360.0,36.014734,0.0,0.0,2.51181238,2017062
KEY WEST INTL AP,FL,24.555,-81.7522,1.2,20170128,66.02,71.06,69.26,11.1847,360.0,21.027236,0.0,0.0,0.01181103,2017012
KEY WEST INTL AP,FL,24.555,-81.7522,1.2,20170210,69.08,80.06,73.58,13.869028,360.0,29.08022,0.0,0.0,0.0,2017021
KEY WEST INTL AP,FL,24.555,-81.7522,1.2,20170302,73.94,86.0,78.8,6.71082,360.0,17.000744,0.0,0.0,0.0,2017030
KEY WEST INTL AP,FL,24.555,-81.7522,1.2,20170310,69.98,80.96,74.84,8.052984,360.0,19.01399,0.0,0.0,0.0,2017031
KEY WEST INTL AP,FL,24.555,-81.7522,1.2,20170527,80.96,89.96,85.28,6.039738,360.0,16.105968,0.0,0.0,0.0,2017052
KEY WEST INTL AP,FL,24.555,-81.7522,1.2,20170707,75.92,89.96,84.74,7.381902,360.0,23.040482,0.0,0.0,0.46063017,2017070
MIAMI INTL AP,FL,25.7906,-80.3164,8.8,20170128,57.92,75.02,67.64,6.71082,360.0,18.119214,0.0,0.0,0.0,2017012
TAMPA INTL AP,FL,27.9619,-82.5403,5.8,20170107,39.92,73.94,65.66,13.645334,360.0,29.08022,0.0,0.0,0.16929143,2017010
TAMPA INTL AP,FL,27.9619,-82.5403,5.8,20170204,60.08,78.08,67.1,6.487126,360.0,16.105968,0.0,0.0,0.0,2017020
TAMPA INTL AP,FL,27.9619,-82.5403,5.8,20170208,62.06,80.96,70.16,8.500372,360.0,25.948504,0.0,0.0,0.7086618,2017020
TAMPA INTL AP,FL,27.9619,-82.5403,5.8,20170502,77.0,91.04,82.22,8.052984,360.0,23.040482,0.0,0.0,0.01181103,2017050
