station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
MACON MIDDLE GA RGNL AP,GA,32.6847,-83.6528,104.5,20170408,35.96,73.04,55.04,2.908022,360.0,14.092722,0.0,0.0,0.0,2017040
MACON MIDDLE GA RGNL AP,GA,32.6847,-83.6528,104.5,20170522,66.92,87.08,75.02,3.579104,360.0,17.000744,0.0,0.0,0.12992133,2017052
AUGUSTA BUSH FLD AP,GA,33.3644,-81.9633,40.2,20170107,30.2,44.96,40.82,11.408394,360.0,29.974996,0.0,0.0,0.35039389,2017010
AUGUSTA BUSH FLD AP,GA,33.3644,-81.9633,40.2,20170512,66.02,89.96,79.88,5.59235,360.0,21.922012,0.0,0.0,0.0,2017051
AUGUSTA BUSH FLD AP,GA,33.3644,-81.9633,40.2,20170616,73.04,91.94,80.78,3.802798,360.0,23.040482,0.0,0.0,0.01181103,2017061
AUGUSTA BUSH FLD AP,GA,33.3644,-81.9633,40.2,20170626,66.92,89.96,81.32,4.921268,360.0,19.908766,0.0,0.0,0.0,2017062
AUGUSTA BUSH FLD AP,GA,33.3644,-81.9633,40.2,20170711,71.96,93.02,79.34,3.579104,360.0,23.935258,0.0,0.0,0.20078751,2017071
SAVANNAH INTL AP,GA,32.13,-81.21,14.0,20170627,73.04,86.0,78.26,4.697574,360.0,25.053728,0.0,0.0,0.0787402,2017062
SAVANNAH INTL AP,GA,32.13,-81.21,14.0,20170813,77.0,93.92,83.66,6.487126,360.0,23.935258,0.0,0.0,0.09055123,2017081
ALMA BACON CO AP,GA,31.5358,-82.5067,58.8,20170311,44.06,71.06,59.72,4.026492,360.0,21.027236,0.0,0.0,0.0,2017031
ALMA BACON CO AP,GA,31.5358,-82.5067,58.8,20170319,42.98,69.98,61.88,6.039738,360.0,23.040482,0.0,0.0,0.0,2017031
ALMA BACON CO AP,GA,31.5358,-82.5067,58.8,20170711,73.04,93.02,80.96,2.908022,360.0,17.000744,0.0,0.0,0.46063017,2017071
ALMA BACON CO AP,GA,31.5358,-82.5067,58.8,20170731,64.04,87.08,78.08,4.250186,360.0,19.908766,0.0,0.0,0.0,2017073
ALMA BACON CO AP,GA,31.5358,-82.5067,58.8,20170916,71.06,91.04,79.52,1.565858,360.0,14.092722,0.0,0.0,0.0,2017091
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,20170315,28.22,42.98,34.34,13.645334,360.0,29.08022,0.0,0.0,0.0,2017031
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,20170522,68.0,78.98,73.22,3.131716,360.0,14.987498,0.0,0.0,0.33858286,2017052
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,20170602,68.0,87.08,75.38,4.921268,360.0,19.01399,0.0,0.0,0.0,2017060
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,20170720,73.04,93.02,84.02,8.276678,360.0,23.935258,0.0,0.0,0.0,2017072
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,20170724,73.94,91.04,81.14,6.71082,360.0,29.974996,0.0,0.0,0.0,2017072
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,20170808,69.98,75.92,73.76,3.579104,360.0,17.000744,0.0,0.0,1.11811084,2017080
MACON MIDDLE GA RGNL AP,GA,32.6847,-83.6528,104.5,20170219,46.04,75.02,57.38,4.026492,350.0,16.105968,0.0,0.0,0.0,2017021
MACON MIDDLE GA RGNL AP,GA,32.6847,-83.6528,104.5,20170226,32.0,66.02,51.44,4.697574,350.0,17.000744,0.0,0.0,0.0,2017022
MACON MIDDLE GA RGNL AP,GA,32.6847,-83.6528,104.5,20170322,55.94,82.04,70.34,8.052984,350.0,21.922012,0.0,0.0,0.0,2017032
AUGUSTA BUSH FLD AP,GA,33.3644,-81.9633,40.2,20170108,24.26,44.06,32.9,4.47388,350.0,16.105968,0.0,0.0,0.0,2017010
AUGUSTA BUSH FLD AP,GA,33.3644,-81.9633,40.2,20170308,44.06,78.98,67.82,5.144962,350.0,25.053728,0.0,0.0,0.0,2017030
AUGUSTA BUSH FLD AP,GA,33.3644,-81.9633,40.2,20170329,53.96,87.98,70.16,2.013246,350.0,16.105968,0.0,0.0,0.0,2017032
AUGUSTA BUSH FLD AP,GA,33.3644,-81.9633,40.2,20170625,73.94,93.92,81.86,3.35541,350.0,19.908766,0.0,0.0,0.0,2017062
SAVANNAH INTL AP,GA,32.13,-81.21,14.0,20170711,73.94,93.92,81.68,4.026492,350.0,19.01399,0.0,0.0,0.0,2017071
SAVANNAH INTL AP,GA,32.13,-81.21,14.0,20170808,75.02,93.02,82.04,7.158208,350.0,27.96175,0.0,0.0,0.0,2017080
SAVANNAH INTL AP,GA,32.13,-81.21,14.0,20170917,69.08,89.96,78.44,6.71082,350.0,21.922012,0.0,0.0,0.0,2017091
ALMA BACON CO AP,GA,31.5358,-82.5067,58.8,20170106,46.94,64.94,54.14,2.684328,350.0,16.105968,0.0,0.0,0.72834685,2017010
ALMA BACON CO AP,GA,31.5358,-82.5067,58.8,20170113,46.04,78.08,58.64,0.0,350.0,10.961006,0.0,0.0,0.0,2017011
ALMA BACON CO AP,GA,31.5358,-82.5067,58.8,20170809,73.04,91.94,79.16,2.013246,350.0,21.922012,0.0,0.0,0.01968505,2017080
ALMA BACON CO AP,GA,31.5358,-82.5067,58.8,20170829,71.06,84.92,78.62,3.802798,350.0,14.987498,0.0,0.0,0.0,2017082
ATHENS BEN EPPS AP,GA,33.9481,-83.3275,239.3,20170727,69.08,91.94,78.44,1.11847,350.0,27.066974,0.0,0.0,0.29921276,2017072
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,20170108,15.26,35.06,23.54,9.618842,350.0,21.922012,0.0,0.0,0.0,2017010
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,20170203,35.06,57.02,49.64,11.855782,350.0,27.96175,0.0,0.0,0.01181103,2017020
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,20170405,60.08,66.92,65.66,9.842536,350.0,35.119958,0.0,0.0,4.27165585,2017040
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,20170627,66.02,84.02,76.46,9.171454,350.0,23.040482,0.0,0.0,0.0,2017062
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,20170823,73.94,89.96,81.14,8.052984,350.0,19.908766,0.0,0.0,0.0,2017082
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,20170824,66.92,89.06,78.44,8.052984,350.0,21.922012,0.0,0.0,0.0,2017082
MACON MIDDLE GA RGNL AP,GA,32.6847,-83.6528,104.5,20170104,46.04,62.06,56.48,8.500372,340.0,25.948504,0.0,0.0,0.0,2017010
MACON MIDDLE GA RGNL AP,GA,32.6847,-83.6528,104.5,20170203,42.98,66.02,58.28,7.158208,340.0,21.922012,0.0,0.0,0.0,2017020
MACON MIDDLE GA RGNL AP,GA,32.6847,-83.6528,104.5,20170302,42.08,64.04,60.98,11.855782,340.0,31.988242,,0.0,0.0,2017030
MACON MIDDLE GA RGNL AP,GA,32.6847,-83.6528,104.5,20170303,32.0,64.94,49.64,7.605596,340.0,27.066974,0.0,0.0,0.0,2017030
MACON MIDDLE GA RGNL AP,GA,32.6847,-83.6528,104.5,20170424,55.94,64.94,59.54,5.59235,340.0,19.908766,0.0,0.0,0.0,2017042
MACON MIDDLE GA RGNL AP,GA,32.6847,-83.6528,104.5,20170627,64.94,86.0,75.56,3.131716,340.0,17.000744,0.0,0.0,0.0,2017062
AUGUSTA BUSH FLD AP,GA,33.3644,-81.9633,40.2,20170606,73.04,86.0,77.72,3.802798,340.0,14.987498,0.0,0.0,0.0393701,2017060
AUGUSTA BUSH FLD AP,GA,33.3644,-81.9633,40.2,20170704,75.02,96.08,83.84,4.47388,340.0,34.001488,0.0,0.0,0.0,2017070
SAVANNAH INTL AP,GA,32.13,-81.21,14.0,20170107,32.0,48.92,44.96,13.645334,340.0,31.093466,0.0,0.0,1.12992187,2017010
SAVANNAH INTL AP,GA,32.13,-81.21,14.0,20170113,46.94,78.98,61.16,2.013246,340.0,16.105968,0.0,0.0,0.0,2017011
ALMA BACON CO AP,GA,31.5358,-82.5067,58.8,20170108,25.16,44.06,33.26,5.368656,340.0,17.000744,0.0,0.0,0.0,2017010
ALMA BACON CO AP,GA,31.5358,-82.5067,58.8,20170601,68.0,84.92,76.28,2.23694,340.0,10.06623,0.0,0.0,0.0,2017060
ALMA BACON CO AP,GA,31.5358,-82.5067,58.8,20170907,62.96,84.02,71.96,2.684328,340.0,12.079476,0.0,0.0,0.0,2017090
ATHENS BEN EPPS AP,GA,33.9481,-83.3275,239.3,20170602,64.94,89.06,76.1,1.11847,340.0,10.06623,0.0,0.0,0.0,2017060
ATHENS BEN EPPS AP,GA,33.9481,-83.3275,239.3,20170705,69.08,93.02,78.44,1.565858,340.0,12.974252,0.0,0.0,0.0,2017070
ATHENS BEN EPPS AP,GA,33.9481,-83.3275,239.3,20170813,71.96,91.04,80.24,0.671082,340.0,8.94776,0.0,0.0,0.0,2017081
ATHENS BEN EPPS AP,GA,33.9481,-83.3275,239.3,20170917,62.06,89.06,73.58,0.671082,340.0,10.06623,0.0,0.0,0.0,2017091
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,20170104,37.94,55.04,52.16,12.974252,340.0,31.988242,0.0,0.0,0.0,2017010
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,20170215,42.98,62.06,56.48,13.197946,340.0,38.02798,0.0,0.0,0.42126007,2017021
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,20170216,35.06,60.08,46.58,10.737312,340.0,25.053728,0.0,0.0,0.0,2017021
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,20170302,42.08,60.08,54.32,15.211192,340.0,36.90951,0.0,0.0,0.0,2017030
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,20170318,53.96,71.96,62.06,12.974252,340.0,31.988242,0.0,0.0,0.20078751,2017031
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,20170319,42.08,62.96,54.68,12.30317,340.0,27.066974,0.0,0.0,0.0,2017031
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,20170401,51.08,77.0,63.14,9.618842,340.0,25.053728,0.0,0.0,0.0,2017040
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,20170508,50.0,78.98,63.68,8.052984,340.0,27.96175,0.0,0.0,0.0,2017050
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,20170513,62.96,78.98,69.44,6.487126,340.0,25.053728,0.0,0.0,0.01968505,2017051
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,20170715,73.04,89.96,80.78,4.921268,340.0,29.974996,0.0,0.0,0.0,2017071
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,20170906,59.0,75.92,68.18,9.618842,340.0,25.053728,0.0,0.0,0.07086618,2017090
MACON MIDDLE GA RGNL AP,GA,32.6847,-83.6528,104.5,20170107,27.14,41.0,35.78,12.30317,330.0,31.093466,,0.0,0.09842525,2017010
MACON MIDDLE GA RGNL AP,GA,32.6847,-83.6528,104.5,20170301,60.98,82.04,69.08,11.408394,330.0,38.922756,0.0,0.0,0.29921276,2017030
MACON MIDDLE GA RGNL AP,GA,32.6847,-83.6528,104.5,20170314,37.04,53.96,44.78,12.30317,330.0,31.988242,0.0,0.0,0.05905515,2017031
MACON MIDDLE GA RGNL AP,GA,32.6847,-83.6528,104.5,20170510,55.94,89.96,73.76,5.368656,330.0,19.01399,0.0,0.0,0.0,2017051
MACON MIDDLE GA RGNL AP,GA,32.6847,-83.6528,104.5,20170513,62.96,80.06,71.42,5.368656,330.0,21.027236,0.0,0.0,1.48031576,2017051
