station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170312,71.06,87.08,80.06,4.47388,360.0,21.027236,0.0,0.0,0.0,2017031
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170826,73.94,84.02,78.44,3.802798,350.0,27.96175,0.0,0.0,1.20866207,2017082
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170315,73.94,87.98,82.04,3.802798,340.0,14.987498,0.0,0.0,0.0,2017031
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170316,78.08,89.06,82.22,10.513618,340.0,23.935258,0.0,0.0,0.0,2017031
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170804,78.98,89.96,84.02,3.802798,340.0,12.079476,0.0,0.0,0.09842525,2017080
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170812,78.08,89.96,84.38,3.802798,340.0,16.105968,0.0,0.0,0.0,2017081
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170116,75.02,84.02,78.44,1.565858,330.0,12.079476,0.0,0.0,0.18110246,2017011
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170901,75.92,89.96,82.76,5.816044,330.0,23.040482,0.0,0.0,0.12992133,2017090
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170914,75.02,89.96,82.22,5.368656,320.0,19.01399,0.0,0.0,0.5511814,2017091
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170211,77.0,86.0,80.24,2.684328,290.0,14.987498,0.0,0.0,0.57874047,2017021
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170607,78.98,89.06,81.68,3.802798,290.0,16.105968,0.0,0.0,0.83070911,2017060
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170816,78.08,89.96,82.94,3.35541,290.0,12.974252,0.0,0.0,0.01181103,2017081
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170729,80.06,89.96,82.94,7.158208,280.0,29.974996,0.0,0.0,0.05118113,2017072
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170827,73.94,89.06,79.52,8.276678,280.0,31.988242,0.0,0.0,0.22047256,2017082
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170902,77.0,89.96,83.66,4.921268,280.0,16.105968,0.0,0.0,0.0,2017090
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170831,77.0,89.06,81.86,6.039738,270.0,18.119214,0.0,0.0,0.1181103,2017083
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170828,73.94,86.0,82.04,9.842536,260.0,31.093466,0.0,0.0,0.72047283,2017082
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170830,75.92,87.98,80.06,6.487126,260.0,25.053728,0.0,0.0,0.18110246,2017083
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170918,77.0,87.08,82.04,3.579104,250.0,14.987498,0.0,0.0,0.09055123,2017091
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170115,75.92,86.0,79.7,2.908022,240.0,16.105968,0.0,0.0,1.00000054,2017011
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170726,77.0,87.08,80.24,2.23694,230.0,14.987498,0.0,0.0,1.40944958,2017072
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170810,75.92,89.96,82.94,3.35541,230.0,16.105968,0.0,0.0,0.72834685,2017081
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170829,80.06,86.0,82.76,7.605596,220.0,25.948504,0.0,0.0,0.01181103,2017082
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170801,78.98,87.98,82.94,8.94776,190.0,23.040482,0.0,0.0,0.40944904,2017080
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170731,78.08,89.06,84.56,5.144962,180.0,19.908766,0.0,0.0,0.0393701,2017073
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170909,75.02,78.08,77.36,5.816044,180.0,27.96175,0.0,0.0,2.92913544,2017090
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170917,78.08,86.0,81.14,5.368656,180.0,17.000744,0.0,0.0,0.01968505,2017091
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170314,73.94,87.08,81.32,3.35541,170.0,14.987498,0.0,0.0,0.0,2017031
