station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
HILO INTL AP,HI,19.7192,-155.0531,11.6,20170207,69.08,82.04,75.02,6.039738,360.0,25.053728,0.0,0.0,0.0,2017020
HILO INTL AP,HI,19.7192,-155.0531,11.6,20170317,68.0,82.94,75.38,5.59235,360.0,19.01399,0.0,0.0,0.33070884,2017031
HILO INTL AP,HI,19.7192,-155.0531,11.6,20170523,64.94,82.04,73.58,6.039738,360.0,16.105968,0.0,0.0,0.16141741,2017052
HILO INTL AP,HI,19.7192,-155.0531,11.6,20170723,71.06,84.02,76.82,7.381902,360.0,25.948504,,,0.01181103,2017072
KAHULUI AP,HI,20.8997,-156.4286,15.5,20170106,66.92,78.08,73.22,9.171454,360.0,19.01399,0.0,0.0,0.0,2017010
KAHULUI AP,HI,20.8997,-156.4286,15.5,20170113,66.02,84.92,77.36,5.59235,360.0,16.105968,0.0,0.0,0.0,2017011
KAHULUI AP,HI,20.8997,-156.4286,15.5,20170203,57.02,80.96,69.98,6.039738,360.0,17.000744,0.0,0.0,0.0,2017020
KAHULUI AP,HI,20.8997,-156.4286,15.5,20170303,68.0,86.0,75.2,4.026492,360.0,14.987498,0.0,0.0,0.0,2017030
KAHULUI AP,HI,20.8997,-156.4286,15.5,20170306,69.08,82.94,74.12,5.59235,360.0,17.000744,0.0,0.0,0.50000027,2017030
KAHULUI AP,HI,20.8997,-156.4286,15.5,20170313,64.94,84.02,74.84,6.71082,360.0,18.119214,0.0,0.0,0.0,2017031
KAHULUI AP,HI,20.8997,-156.4286,15.5,20170905,68.0,87.08,79.34,8.500372,360.0,19.908766,0.0,,0.0,2017090
KAHULUI AP,HI,20.8997,-156.4286,15.5,20170913,69.98,87.98,79.88,5.816044,360.0,18.119214,0.0,,0.0,2017091
HONOLULU INTL AP,HI,21.3239,-157.9294,2.1,20170114,66.92,84.02,74.66,5.368656,360.0,16.105968,0.0,0.0,0.0,2017011
HONOLULU INTL AP,HI,21.3239,-157.9294,2.1,20170120,69.08,82.94,74.66,7.381902,360.0,19.908766,0.0,0.0,0.0,2017012
HONOLULU INTL AP,HI,21.3239,-157.9294,2.1,20170317,69.08,82.94,76.1,7.605596,360.0,23.040482,0.0,0.0,0.0,2017031
LIHUE WSO AP 1020.1,HI,21.9839,-159.3405,30.5,20170218,66.02,80.96,72.86,11.1847,360.0,31.988242,0.0,0.0,0.0,2017021
