station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
BURLINGTON MUNI AP,IA,40.7833,-91.1253,210.9,20170221,48.02,66.92,58.46,5.816044,360.0,19.908766,,,0.0,2017022
BURLINGTON MUNI AP,IA,40.7833,-91.1253,210.9,20170331,35.96,42.98,41.54,10.06623,360.0,23.040482,,,0.0,2017033
BURLINGTON MUNI AP,IA,40.7833,-91.1253,210.9,20170505,42.08,71.06,56.3,10.513618,360.0,31.988242,,,0.0,2017050
BURLINGTON MUNI AP,IA,40.7833,-91.1253,210.9,20170524,46.94,66.02,55.58,8.500372,360.0,27.96175,,,0.09055123,2017052
BURLINGTON MUNI AP,IA,40.7833,-91.1253,210.9,20170531,51.08,75.92,64.76,6.039738,360.0,23.040482,,,0.0,2017053
BURLINGTON MUNI AP,IA,40.7833,-91.1253,210.9,20170707,66.92,87.08,79.52,9.395148,360.0,46.080964,,,0.48818924,2017070
BURLINGTON MUNI AP,IA,40.7833,-91.1253,210.9,20170710,66.92,91.04,79.52,10.737312,360.0,48.988986,,,1.11023682,2017071
BURLINGTON MUNI AP,IA,40.7833,-91.1253,210.9,20170822,57.92,78.98,72.5,9.171454,360.0,27.066974,,,0.16141741,2017082
DES MOINES INTL AP,IA,41.5339,-93.6531,291.7,20170114,22.1,35.06,25.34,2.908022,360.0,14.092722,0.0,0.0,0.0,2017011
DES MOINES INTL AP,IA,41.5339,-93.6531,291.7,20170215,25.16,44.06,35.6,8.052984,360.0,25.053728,0.0,0.0,0.0,2017021
DES MOINES INTL AP,IA,41.5339,-93.6531,291.7,20170310,18.14,29.12,26.96,11.1847,360.0,29.974996,0.3149608,0.0,0.03149608,2017031
DES MOINES INTL AP,IA,41.5339,-93.6531,291.7,20170321,33.98,51.98,48.2,11.632088,360.0,25.948504,0.9842525,0.0,0.18110246,2017032
DES MOINES INTL AP,IA,41.5339,-93.6531,291.7,20170404,48.02,57.02,51.44,9.842536,360.0,23.040482,0.0,0.0,0.01181103,2017040
DES MOINES INTL AP,IA,41.5339,-93.6531,291.7,20170630,64.04,82.94,73.4,7.82929,360.0,23.935258,0.0,0.0,0.0,2017063
DES MOINES INTL AP,IA,41.5339,-93.6531,291.7,20170821,66.02,84.92,72.86,12.30317,360.0,42.054472,0.0,0.0,1.64960719,2017082
DES MOINES INTL AP,IA,41.5339,-93.6531,291.7,20170827,64.04,80.06,72.32,3.579104,360.0,12.974252,0.0,0.0,0.01968505,2017082
SIOUX CITY GATEWAY AP,IA,42.3914,-96.3792,333.8,20170112,9.14,24.26,13.64,9.618842,360.0,23.935258,0.0,1.181103,0.0,2017011
SIOUX CITY GATEWAY AP,IA,42.3914,-96.3792,333.8,20170208,4.1,17.24,16.16,11.632088,360.0,21.922012,1.8897648,3.149608,0.05905515,2017020
SIOUX CITY GATEWAY AP,IA,42.3914,-96.3792,333.8,20170310,16.16,24.26,21.92,9.395148,360.0,23.935258,0.393701,0.0,0.0393701,2017031
SIOUX CITY GATEWAY AP,IA,42.3914,-96.3792,333.8,20170404,41.0,62.06,51.62,10.289924,360.0,27.96175,0.0,0.0,0.12992133,2017040
SIOUX CITY GATEWAY AP,IA,42.3914,-96.3792,333.8,20170422,32.0,68.0,51.44,3.802798,360.0,16.105968,0.0,0.0,0.0,2017042
SIOUX CITY GATEWAY AP,IA,42.3914,-96.3792,333.8,20170504,35.96,71.06,52.16,8.500372,360.0,25.053728,0.0,0.0,0.0,2017050
SIOUX CITY GATEWAY AP,IA,42.3914,-96.3792,333.8,20170605,53.96,91.04,74.84,6.263432,360.0,21.027236,0.0,0.0,0.0,2017060
SIOUX CITY GATEWAY AP,IA,42.3914,-96.3792,333.8,20170615,57.92,87.98,72.86,4.921268,360.0,17.000744,0.0,0.0,0.0,2017061
SIOUX CITY GATEWAY AP,IA,42.3914,-96.3792,333.8,20170802,60.08,86.0,70.34,5.368656,360.0,27.96175,0.0,0.0,0.0,2017080
SIOUX CITY GATEWAY AP,IA,42.3914,-96.3792,333.8,20170811,53.96,82.04,67.46,5.59235,360.0,12.974252,0.0,0.0,0.0,2017081
CEDAR RAPIDS MUNI AP,IA,41.8833,-91.7167,264.6,20170113,8.24,21.2,14.54,9.618842,360.0,23.040482,,,0.0,2017011
CEDAR RAPIDS MUNI AP,IA,41.8833,-91.7167,264.6,20170309,28.22,46.04,35.42,12.750558,360.0,29.974996,,,0.0,2017030
CEDAR RAPIDS MUNI AP,IA,41.8833,-91.7167,264.6,20170321,29.12,50.0,44.24,12.30317,360.0,29.974996,,,0.0,2017032
CEDAR RAPIDS MUNI AP,IA,41.8833,-91.7167,264.6,20170504,35.06,69.08,51.8,11.408394,360.0,29.974996,,,0.0,2017050
CEDAR RAPIDS MUNI AP,IA,41.8833,-91.7167,264.6,20170707,62.96,84.92,78.26,10.961006,360.0,25.948504,,,0.0,2017070
CEDAR RAPIDS MUNI AP,IA,41.8833,-91.7167,264.6,20170812,51.08,80.06,65.48,5.816044,360.0,17.000744,,,0.0,2017081
DUBUQUE RGNL AP,IA,42.3978,-90.7036,321.9,20170215,23.18,37.04,31.28,11.408394,360.0,27.066974,0.0,0.0,0.0,2017021
DUBUQUE RGNL AP,IA,42.3978,-90.7036,321.9,20170310,19.22,29.12,26.24,12.750558,360.0,29.974996,0.0,0.0,0.0,2017031
DUBUQUE RGNL AP,IA,42.3978,-90.7036,321.9,20170612,69.08,87.98,80.96,12.974252,360.0,44.962494,0.0,0.0,0.0,2017061
DUBUQUE RGNL AP,IA,42.3978,-90.7036,321.9,20170630,57.92,80.06,68.0,4.47388,360.0,19.01399,0.0,0.0,0.05118113,2017063
DUBUQUE RGNL AP,IA,42.3978,-90.7036,321.9,20170804,53.06,71.96,60.62,14.092722,360.0,38.922756,0.0,0.0,0.0,2017080
DUBUQUE RGNL AP,IA,42.3978,-90.7036,321.9,20170828,55.04,73.94,62.42,4.250186,360.0,14.987498,0.0,0.0,0.0,2017082
WATERLOO MUNI AP,IA,42.5544,-92.4011,264.6,20170112,6.26,20.12,13.82,12.974252,360.0,25.948504,0.5118113,0.0,0.03149608,2017011
WATERLOO MUNI AP,IA,42.5544,-92.4011,264.6,20170114,13.1,29.12,18.68,2.460634,360.0,12.974252,0.0,0.0,0.0,2017011
WATERLOO MUNI AP,IA,42.5544,-92.4011,264.6,20170215,23.18,37.04,31.28,9.395148,360.0,25.948504,0.0,0.0,0.0,2017021
WATERLOO MUNI AP,IA,42.5544,-92.4011,264.6,20170403,46.04,50.0,47.3,8.052984,360.0,18.119214,0.0,0.0,0.96063044,2017040
WATERLOO MUNI AP,IA,42.5544,-92.4011,264.6,20170405,42.08,53.06,45.86,10.289924,360.0,29.08022,0.0,0.0,0.0,2017040
WATERLOO MUNI AP,IA,42.5544,-92.4011,264.6,20170504,32.0,69.98,51.8,9.395148,360.0,29.974996,0.0,0.0,0.0,2017050
WATERLOO MUNI AP,IA,42.5544,-92.4011,264.6,20170722,69.08,84.92,74.84,5.816044,360.0,23.040482,0.0,0.0,1.46850473,2017072
WATERLOO MUNI AP,IA,42.5544,-92.4011,264.6,20170811,53.06,78.08,67.28,8.500372,360.0,23.040482,0.0,0.0,0.0,2017081
BURLINGTON MUNI AP,IA,40.7833,-91.1253,210.9,20170122,33.08,39.92,37.22,7.605596,350.0,19.908766,,,0.0,2017012
BURLINGTON MUNI AP,IA,40.7833,-91.1253,210.9,20170212,27.14,48.92,43.34,12.526864,350.0,44.067718,,,0.0,2017021
BURLINGTON MUNI AP,IA,40.7833,-91.1253,210.9,20170327,46.94,53.06,48.92,5.368656,350.0,14.987498,,,0.05118113,2017032
BURLINGTON MUNI AP,IA,40.7833,-91.1253,210.9,20170407,33.08,57.92,45.86,6.71082,350.0,19.01399,,,0.0,2017040
BURLINGTON MUNI AP,IA,40.7833,-91.1253,210.9,20170811,57.92,78.08,70.34,5.816044,350.0,25.053728,,,0.0,2017081
DES MOINES INTL AP,IA,41.5339,-93.6531,291.7,20170403,48.92,53.06,50.72,7.605596,350.0,17.000744,0.0,0.0,0.50000027,2017040
DES MOINES INTL AP,IA,41.5339,-93.6531,291.7,20170405,42.98,51.98,48.38,11.1847,350.0,31.093466,0.0,0.0,0.51968532,2017040
DES MOINES INTL AP,IA,41.5339,-93.6531,291.7,20170505,42.98,78.08,62.24,7.605596,350.0,27.066974,0.0,0.0,0.0,2017050
DES MOINES INTL AP,IA,41.5339,-93.6531,291.7,20170707,71.06,87.08,80.96,10.513618,350.0,27.066974,0.0,0.0,0.0,2017070
SIOUX CITY GATEWAY AP,IA,42.3914,-96.3792,333.8,20170111,9.14,22.1,18.14,15.211192,350.0,38.02798,0.787402,0.0,0.05905515,2017011
SIOUX CITY GATEWAY AP,IA,42.3914,-96.3792,333.8,20170125,25.16,32.0,30.56,19.461378,350.0,34.001488,2.0078751,3.93701,0.05905515,2017012
SIOUX CITY GATEWAY AP,IA,42.3914,-96.3792,333.8,20170425,37.94,48.02,48.56,14.987498,350.0,36.90951,0.0,0.0,0.09842525,2017042
SIOUX CITY GATEWAY AP,IA,42.3914,-96.3792,333.8,20170506,46.94,78.08,62.96,4.921268,350.0,14.092722,0.0,0.0,0.0,2017050
SIOUX CITY GATEWAY AP,IA,42.3914,-96.3792,333.8,20170522,48.02,73.04,59.0,11.408394,350.0,31.988242,0.0,0.0,0.0,2017052
SIOUX CITY GATEWAY AP,IA,42.3914,-96.3792,333.8,20170523,44.06,60.08,52.88,11.408394,350.0,31.988242,0.0,0.0,0.20866153,2017052
SIOUX CITY GATEWAY AP,IA,42.3914,-96.3792,333.8,20170623,53.96,73.94,69.44,16.329662,350.0,35.119958,0.0,0.0,0.0,2017062
SIOUX CITY GATEWAY AP,IA,42.3914,-96.3792,333.8,20170723,62.96,86.0,75.74,8.052984,350.0,25.053728,0.0,0.0,0.0,2017072
SIOUX CITY GATEWAY AP,IA,42.3914,-96.3792,333.8,20170906,44.96,69.08,55.94,5.816044,350.0,19.01399,0.0,0.0,0.0,2017090
CEDAR RAPIDS MUNI AP,IA,41.8833,-91.7167,264.6,20170310,19.22,30.2,26.6,14.54011,350.0,33.106712,,,0.0,2017031
CEDAR RAPIDS MUNI AP,IA,41.8833,-91.7167,264.6,20170331,32.0,44.06,39.56,10.513618,350.0,23.935258,,,0.0,2017033
CEDAR RAPIDS MUNI AP,IA,41.8833,-91.7167,264.6,20170505,39.92,71.96,58.28,9.842536,350.0,31.093466,,,0.0,2017050
CEDAR RAPIDS MUNI AP,IA,41.8833,-91.7167,264.6,20170621,57.02,73.94,66.38,8.724066,350.0,25.948504,,,0.22047256,2017062
CEDAR RAPIDS MUNI AP,IA,41.8833,-91.7167,264.6,20170811,55.94,78.98,67.1,8.94776,350.0,21.027236,,,0.0,2017081
DUBUQUE RGNL AP,IA,42.3978,-90.7036,321.9,20170113,8.24,17.24,12.2,9.171454,350.0,21.922012,0.0,0.0,0.0,2017011
DUBUQUE RGNL AP,IA,42.3978,-90.7036,321.9,20170512,50.0,71.06,61.34,7.82929,350.0,21.922012,0.0,0.0,0.0,2017051
DUBUQUE RGNL AP,IA,42.3978,-90.7036,321.9,20170527,48.92,75.02,61.34,4.47388,350.0,21.922012,0.0,0.0,0.12992133,2017052
DUBUQUE RGNL AP,IA,42.3978,-90.7036,321.9,20170624,50.0,71.06,63.68,12.30317,350.0,33.106712,0.0,0.0,0.01181103,2017062
DUBUQUE RGNL AP,IA,42.3978,-90.7036,321.9,20170714,55.04,69.98,63.32,7.381902,350.0,23.935258,0.0,0.0,0.0,2017071
DUBUQUE RGNL AP,IA,42.3978,-90.7036,321.9,20170719,66.02,87.98,76.1,6.039738,350.0,46.97574,0.0,0.0,1.20866207,2017071
DUBUQUE RGNL AP,IA,42.3978,-90.7036,321.9,20170721,68.0,78.08,74.12,9.618842,350.0,40.041226,0.0,0.0,2.5196864,2017072
WATERLOO MUNI AP,IA,42.5544,-92.4011,264.6,20170113,3.2,14.18,9.32,8.724066,350.0,19.908766,0.0,0.0,0.0,2017011
WATERLOO MUNI AP,IA,42.5544,-92.4011,264.6,20170208,13.1,20.12,18.32,14.763804,350.0,27.066974,0.1968505,0.0,0.01181103,2017020
WATERLOO MUNI AP,IA,42.5544,-92.4011,264.6,20170314,-1.84,23.18,14.54,6.039738,350.0,14.092722,0.0,7.87402,0.0,2017031
WATERLOO MUNI AP,IA,42.5544,-92.4011,264.6,20170320,33.98,64.94,51.98,11.1847,350.0,29.08022,0.0,0.0,0.0,2017032
WATERLOO MUNI AP,IA,42.5544,-92.4011,264.6,20170326,39.02,48.02,41.18,7.158208,350.0,14.092722,0.0,0.0,0.05118113,2017032
WATERLOO MUNI AP,IA,42.5544,-92.4011,264.6,20170327,41.0,51.08,44.42,5.59235,350.0,14.092722,0.0,0.0,0.0,2017032
WATERLOO MUNI AP,IA,42.5544,-92.4011,264.6,20170505,37.94,73.94,56.84,7.82929,350.0,27.066974,0.0,0.0,0.0,2017050
WATERLOO MUNI AP,IA,42.5544,-92.4011,264.6,20170612,68.0,91.94,82.94,10.737312,350.0,35.119958,0.0,0.0,0.37007894,2017061
WATERLOO MUNI AP,IA,42.5544,-92.4011,264.6,20170713,59.0,78.98,70.88,8.276678,350.0,21.922012,0.0,0.0,0.0,2017071
WATERLOO MUNI AP,IA,42.5544,-92.4011,264.6,20170822,51.98,73.94,66.74,10.737312,350.0,31.988242,0.0,0.0,0.0,2017082
WATERLOO MUNI AP,IA,42.5544,-92.4011,264.6,20170906,41.0,66.92,54.86,5.59235,350.0,21.922012,0.0,0.0,0.0,2017090
BURLINGTON MUNI AP,IA,40.7833,-91.1253,210.9,20170208,13.1,27.14,24.98,10.06623,340.0,23.040482,,,0.0787402,2017020
BURLINGTON MUNI AP,IA,40.7833,-91.1253,210.9,20170214,33.08,53.96,41.72,10.737312,340.0,31.093466,,,0.0,2017021
BURLINGTON MUNI AP,IA,40.7833,-91.1253,210.9,20170321,35.96,53.96,47.48,10.06623,340.0,31.988242,,,0.05118113,2017032
BURLINGTON MUNI AP,IA,40.7833,-91.1253,210.9,20170804,51.98,77.0,64.94,8.276678,340.0,31.093466,,,0.0,2017080
DES MOINES INTL AP,IA,41.5339,-93.6531,291.7,20170126,23.18,30.2,28.76,14.763804,340.0,29.08022,0.0,1.968505,0.0,2017012
DES MOINES INTL AP,IA,41.5339,-93.6531,291.7,20170128,25.16,33.08,28.4,14.763804,340.0,29.974996,0.0,1.181103,0.0,2017012
DES MOINES INTL AP,IA,41.5339,-93.6531,291.7,20170524,51.08,66.02,55.4,7.381902,340.0,19.908766,0.0,0.0,0.16141741,2017052
DES MOINES INTL AP,IA,41.5339,-93.6531,291.7,20170604,68.0,93.92,81.32,3.579104,340.0,14.092722,0.0,0.0,0.0,2017060
DES MOINES INTL AP,IA,41.5339,-93.6531,291.7,20170605,62.96,89.96,79.16,7.605596,340.0,23.040482,0.0,0.0,0.0,2017060
DES MOINES INTL AP,IA,41.5339,-93.6531,291.7,20170720,75.92,100.04,87.62,8.052984,340.0,25.948504,0.0,0.0,0.01968505,2017072
DES MOINES INTL AP,IA,41.5339,-93.6531,291.7,20170804,53.06,80.06,64.94,8.500372,340.0,27.96175,0.0,0.0,0.0,2017080
