station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
PEORIA GTR PEORIA AP,IL,40.6675,-89.6839,198.1,20170122,35.96,48.02,42.62,7.158208,360.0,23.935258,0.0,0.0,0.0,2017012
PEORIA GTR PEORIA AP,IL,40.6675,-89.6839,198.1,20170407,35.06,59.0,46.4,5.59235,360.0,18.119214,0.0,0.0,0.0,2017040
PEORIA GTR PEORIA AP,IL,40.6675,-89.6839,198.1,20170819,64.94,87.08,74.66,3.35541,360.0,23.040482,0.0,0.0,0.0,2017081
MOLINE QUAD CITY INTL AP,IL,41.4653,-90.5233,180.4,20170331,33.08,44.96,41.36,7.605596,360.0,21.922012,0.0,0.0,0.03149608,2017033
SPRINGFIELD CAPITAL AP,IL,39.8447,-89.6839,181.1,20170331,39.92,48.92,46.04,10.737312,360.0,23.935258,0.0,0.0,0.05905515,2017033
SPRINGFIELD CAPITAL AP,IL,39.8447,-89.6839,181.1,20170507,42.08,73.04,57.02,4.250186,360.0,17.000744,0.0,0.0,0.0,2017050
SPRINGFIELD CAPITAL AP,IL,39.8447,-89.6839,181.1,20170626,51.08,75.02,63.5,6.934514,360.0,31.093466,0.0,0.0,0.01968505,2017062
SPRINGFIELD CAPITAL AP,IL,39.8447,-89.6839,181.1,20170710,69.98,93.02,81.86,9.618842,360.0,44.962494,0.0,0.0,1.2598432,2017071
SPRINGFIELD CAPITAL AP,IL,39.8447,-89.6839,181.1,20170827,60.08,84.02,72.5,6.039738,360.0,23.040482,0.0,0.0,0.0393701,2017082
SPRINGFIELD CAPITAL AP,IL,39.8447,-89.6839,181.1,20170902,42.08,78.08,60.44,3.35541,360.0,14.092722,0.0,0.0,0.0,2017090
QUINCY RGNL AP,IL,39.9369,-91.1919,234.4,20170313,27.14,33.98,33.26,12.750558,360.0,25.053728,,,0.01968505,2017031
QUINCY RGNL AP,IL,39.9369,-91.1919,234.4,20170320,44.96,73.04,59.54,10.513618,360.0,23.040482,0.0,0.0,0.0,2017032
QUINCY RGNL AP,IL,39.9369,-91.1919,234.4,20170331,41.0,44.96,43.16,11.408394,360.0,23.040482,0.0,0.0,0.01181103,2017033
QUINCY RGNL AP,IL,39.9369,-91.1919,234.4,20170416,57.02,71.96,67.46,8.94776,360.0,31.093466,0.0,0.0,0.38188997,2017041
QUINCY RGNL AP,IL,39.9369,-91.1919,234.4,20170524,46.94,64.94,55.22,8.500372,360.0,31.093466,0.0,0.0,0.09055123,2017052
QUINCY RGNL AP,IL,39.9369,-91.1919,234.4,20170714,64.94,84.92,76.82,6.487126,360.0,18.119214,0.0,0.0,0.0,2017071
QUINCY RGNL AP,IL,39.9369,-91.1919,234.4,20170819,64.04,89.06,75.74,4.026492,360.0,10.961006,0.0,0.0,0.0,2017081
QUINCY RGNL AP,IL,39.9369,-91.1919,234.4,20170917,62.06,75.92,72.5,6.71082,360.0,21.027236,0.0,0.0,0.0,2017091
ROCKFORD GTR ROCKFORD AP,IL,42.1928,-89.0931,222.5,20170122,33.08,44.06,39.38,4.697574,360.0,17.000744,0.0,0.0,0.0,2017012
ROCKFORD GTR ROCKFORD AP,IL,42.1928,-89.0931,222.5,20170303,18.14,35.06,26.42,7.605596,360.0,19.01399,0.0,0.0,0.0,2017030
ROCKFORD GTR ROCKFORD AP,IL,42.1928,-89.0931,222.5,20170406,39.02,55.04,44.42,17.000744,360.0,34.001488,0.0,0.0,0.01181103,2017040
ROCKFORD GTR ROCKFORD AP,IL,42.1928,-89.0931,222.5,20170407,31.1,57.92,45.86,7.158208,360.0,19.908766,0.0,0.0,0.0,2017040
ROCKFORD GTR ROCKFORD AP,IL,42.1928,-89.0931,222.5,20170524,48.02,60.98,54.86,10.513618,360.0,21.027236,0.0,0.0,0.0393701,2017052
ROCKFORD GTR ROCKFORD AP,IL,42.1928,-89.0931,222.5,20170612,71.96,93.92,84.02,11.1847,360.0,31.988242,0.0,0.0,0.0,2017061
CHICAGO OHARE INTL AP,IL,41.995,-87.9336,200.6,20170122,37.94,46.04,42.8,5.368656,360.0,18.119214,0.0,0.0,0.01181103,2017012
CHICAGO OHARE INTL AP,IL,41.995,-87.9336,200.6,20170314,19.22,28.22,25.16,14.092722,360.0,29.08022,3.3858286,5.905515,0.18897648,2017031
CHICAGO OHARE INTL AP,IL,41.995,-87.9336,200.6,20170506,44.06,57.92,51.08,12.526864,360.0,31.988242,0.0,0.0,0.11023628,2017050
PEORIA GTR PEORIA AP,IL,40.6675,-89.6839,198.1,20170123,35.96,42.98,39.38,7.158208,350.0,19.908766,0.0,0.0,0.0,2017012
PEORIA GTR PEORIA AP,IL,40.6675,-89.6839,198.1,20170310,27.14,37.94,34.7,9.171454,350.0,23.935258,0.0,0.0,0.0,2017031
PEORIA GTR PEORIA AP,IL,40.6675,-89.6839,198.1,20170321,33.98,53.06,46.76,6.487126,350.0,27.066974,0.0,0.0,0.0,2017032
PEORIA GTR PEORIA AP,IL,40.6675,-89.6839,198.1,20170708,62.96,82.94,74.48,3.802798,350.0,16.105968,0.0,0.0,0.0,2017070
PEORIA GTR PEORIA AP,IL,40.6675,-89.6839,198.1,20170903,57.92,84.92,71.06,3.131716,350.0,18.119214,0.0,0.0,0.0,2017090
SPRINGFIELD CAPITAL AP,IL,39.8447,-89.6839,181.1,20170114,31.1,32.0,31.46,4.697574,350.0,12.974252,0.0,0.0,0.09842525,2017011
SPRINGFIELD CAPITAL AP,IL,39.8447,-89.6839,181.1,20170310,30.2,42.08,37.04,10.737312,350.0,25.948504,0.0,0.0,0.0,2017031
SPRINGFIELD CAPITAL AP,IL,39.8447,-89.6839,181.1,20170315,14.18,35.96,23.72,6.487126,350.0,23.935258,0.0,1.968505,0.0,2017031
SPRINGFIELD CAPITAL AP,IL,39.8447,-89.6839,181.1,20170327,44.96,57.92,51.44,6.71082,350.0,16.105968,0.0,0.0,0.20078751,2017032
SPRINGFIELD CAPITAL AP,IL,39.8447,-89.6839,181.1,20170706,69.98,91.04,79.16,5.816044,350.0,16.105968,0.0,0.0,0.0,2017070
SPRINGFIELD CAPITAL AP,IL,39.8447,-89.6839,181.1,20170801,64.94,86.0,75.02,2.684328,350.0,21.922012,0.0,0.0,0.0,2017080
SPRINGFIELD CAPITAL AP,IL,39.8447,-89.6839,181.1,20170807,60.98,78.08,71.96,4.026492,350.0,18.119214,0.0,0.0,0.0,2017080
SPRINGFIELD CAPITAL AP,IL,39.8447,-89.6839,181.1,20170811,60.08,82.94,73.22,5.816044,350.0,18.119214,0.0,0.0,0.05905515,2017081
SPRINGFIELD CAPITAL AP,IL,39.8447,-89.6839,181.1,20170913,55.04,73.94,66.38,3.131716,350.0,10.961006,0.0,0.0,0.0,2017091
QUINCY RGNL AP,IL,39.9369,-91.1919,234.4,20170310,26.24,39.02,34.34,12.974252,350.0,25.948504,0.0,0.0,0.0,2017031
QUINCY RGNL AP,IL,39.9369,-91.1919,234.4,20170619,60.98,82.94,71.42,7.158208,350.0,21.027236,0.0,0.0,0.0,2017061
ROCKFORD GTR ROCKFORD AP,IL,42.1928,-89.0931,222.5,20170123,37.04,44.06,38.84,7.605596,350.0,14.092722,0.0,0.0,0.0,2017012
ROCKFORD GTR ROCKFORD AP,IL,42.1928,-89.0931,222.5,20170707,64.94,87.08,80.78,8.724066,350.0,25.948504,0.0,0.0,0.0,2017070
ROCKFORD GTR ROCKFORD AP,IL,42.1928,-89.0931,222.5,20170714,62.06,69.98,68.18,6.934514,350.0,18.119214,0.0,0.0,0.0,2017071
ROCKFORD GTR ROCKFORD AP,IL,42.1928,-89.0931,222.5,20170829,57.02,75.92,64.58,3.35541,350.0,12.079476,0.0,0.0,0.0,2017082
CHICAGO OHARE INTL AP,IL,41.995,-87.9336,200.6,20170112,19.22,28.22,26.06,11.1847,350.0,21.027236,0.1968505,0.0,0.05118113,2017011
CHICAGO OHARE INTL AP,IL,41.995,-87.9336,200.6,20170407,37.04,53.96,43.88,10.961006,350.0,25.948504,0.0,0.0,0.0,2017040
CHICAGO OHARE INTL AP,IL,41.995,-87.9336,200.6,20170612,73.04,95.0,84.92,11.632088,350.0,33.106712,0.0,0.0,0.0,2017061
CHICAGO OHARE INTL AP,IL,41.995,-87.9336,200.6,20170723,69.98,89.96,78.8,5.816044,350.0,36.014734,0.0,0.0,0.20866153,2017072
PEORIA GTR PEORIA AP,IL,40.6675,-89.6839,198.1,20170112,20.12,32.0,31.1,6.934514,340.0,21.922012,0.0,0.0,0.25984266,2017011
PEORIA GTR PEORIA AP,IL,40.6675,-89.6839,198.1,20170311,22.1,33.98,28.58,5.368656,340.0,14.092722,0.0,0.0,0.0,2017031
PEORIA GTR PEORIA AP,IL,40.6675,-89.6839,198.1,20170721,75.02,95.0,85.28,8.500372,340.0,27.96175,0.0,0.0,0.0,2017072
MOLINE QUAD CITY INTL AP,IL,41.4653,-90.5233,180.4,20170810,64.94,87.08,74.12,5.816044,340.0,25.053728,0.0,0.0,0.0,2017081
SPRINGFIELD CAPITAL AP,IL,39.8447,-89.6839,181.1,20170406,42.98,55.04,46.94,14.987498,340.0,34.001488,0.0,0.0,0.03149608,2017040
SPRINGFIELD CAPITAL AP,IL,39.8447,-89.6839,181.1,20170714,64.94,84.92,77.72,7.158208,340.0,18.119214,0.0,0.0,0.0,2017071
SPRINGFIELD CAPITAL AP,IL,39.8447,-89.6839,181.1,20170905,51.08,73.94,66.74,11.632088,340.0,29.974996,0.0,0.0,0.0,2017090
SPRINGFIELD CAPITAL AP,IL,39.8447,-89.6839,181.1,20170906,46.04,68.0,56.48,7.605596,340.0,21.027236,0.0,0.0,0.0,2017090
QUINCY RGNL AP,IL,39.9369,-91.1919,234.4,20170122,35.96,48.02,42.44,12.30317,340.0,25.053728,0.0,0.0,0.0,2017012
