station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
FT WAYNE INTL AP,IN,40.9706,-85.2064,241.1,20170322,22.1,37.94,31.46,10.961006,360.0,27.96175,0.0,0.0,0.0,2017032
FT WAYNE INTL AP,IN,40.9706,-85.2064,241.1,20170626,55.04,73.04,63.32,10.961006,360.0,29.08022,0.0,0.0,0.1181103,2017062
SOUTH BEND MICHIANA RGNL AP,IN,41.7072,-86.3164,235.6,20170321,29.12,50.0,40.28,12.079476,360.0,29.08022,0.0,0.0,0.0,2017032
SOUTH BEND MICHIANA RGNL AP,IN,41.7072,-86.3164,235.6,20170421,37.04,51.08,47.48,13.869028,360.0,31.093466,0.0,0.0,0.0,2017042
SOUTH BEND MICHIANA RGNL AP,IN,41.7072,-86.3164,235.6,20170525,48.02,60.08,57.38,11.408394,360.0,21.922012,0.0,0.0,0.01181103,2017052
SOUTH BEND MICHIANA RGNL AP,IN,41.7072,-86.3164,235.6,20170603,51.08,84.02,68.72,4.697574,360.0,21.027236,0.0,0.0,0.0,2017060
EVANSVILLE REGIONAL AP,IN,38.0442,-87.5206,121.9,20170105,14.18,25.16,23.72,6.934514,360.0,17.000744,0.393701,0.0,0.05118113,2017010
EVANSVILLE REGIONAL AP,IN,38.0442,-87.5206,121.9,20170107,5.18,20.12,12.2,6.039738,360.0,18.119214,0.0,0.0,0.0,2017010
EVANSVILLE REGIONAL AP,IN,38.0442,-87.5206,121.9,20170203,17.24,35.06,28.94,6.487126,360.0,21.922012,0.0,0.0,0.0,2017020
EVANSVILLE REGIONAL AP,IN,38.0442,-87.5206,121.9,20170215,30.2,48.02,42.8,9.171454,360.0,25.948504,0.0,0.0,0.0,2017021
EVANSVILLE REGIONAL AP,IN,38.0442,-87.5206,121.9,20170321,46.94,66.02,59.36,10.961006,360.0,31.093466,0.0,0.0,0.0,2017032
EVANSVILLE REGIONAL AP,IN,38.0442,-87.5206,121.9,20170401,42.08,53.06,47.3,4.47388,360.0,16.105968,0.0,0.0,0.0,2017040
EVANSVILLE REGIONAL AP,IN,38.0442,-87.5206,121.9,20170504,48.92,64.04,53.78,11.408394,360.0,42.949248,0.0,0.0,0.85826818,2017050
EVANSVILLE REGIONAL AP,IN,38.0442,-87.5206,121.9,20170505,42.98,64.04,52.16,11.408394,360.0,40.936002,0.0,0.0,1.46850473,2017050
