station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
WICHITA,KS,37.6544,-97.4425,406.9,20170103,20.12,39.92,34.88,19.685072,360.0,40.936002,0.0,0.0,0.0,2017010
WICHITA,KS,37.6544,-97.4425,406.9,20170211,44.06,73.04,59.18,9.618842,360.0,29.974996,0.0,0.0,0.0,2017021
WICHITA,KS,37.6544,-97.4425,406.9,20170212,31.1,51.98,51.08,14.987498,360.0,36.014734,0.0,0.0,0.0,2017021
WICHITA,KS,37.6544,-97.4425,406.9,20170215,30.2,59.0,42.44,9.618842,360.0,19.908766,0.0,0.0,0.0,2017021
WICHITA,KS,37.6544,-97.4425,406.9,20170228,44.06,68.0,59.36,14.316416,360.0,42.949248,0.0,0.0,0.0,2017022
WICHITA,KS,37.6544,-97.4425,406.9,20170325,42.98,46.94,47.12,15.211192,360.0,36.90951,0.0,0.0,0.1181103,2017032
WICHITA,KS,37.6544,-97.4425,406.9,20170416,57.02,73.04,67.46,10.513618,360.0,31.988242,0.0,0.0,2.05118221,2017041
WICHITA,KS,37.6544,-97.4425,406.9,20170425,46.04,75.02,64.94,14.763804,360.0,36.014734,0.0,0.0,0.01181103,2017042
WICHITA,KS,37.6544,-97.4425,406.9,20170714,71.96,89.06,77.36,7.605596,360.0,21.922012,0.0,0.0,0.70078778,2017071
CONCORDIA MUNI AP,KS,39.5514,-97.6508,447.8,20170104,7.16,19.22,13.64,8.276678,360.0,19.01399,0.5118113,0.0,0.03149608,2017010
CONCORDIA MUNI AP,KS,39.5514,-97.6508,447.8,20170111,15.26,48.02,37.22,17.000744,360.0,36.90951,0.0,0.0,0.0,2017011
CONCORDIA MUNI AP,KS,39.5514,-97.6508,447.8,20170114,24.26,33.98,27.14,2.460634,360.0,8.94776,0.0,0.0,0.0,2017011
CONCORDIA MUNI AP,KS,39.5514,-97.6508,447.8,20170214,27.14,55.04,38.84,10.513618,360.0,27.96175,0.0,0.0,0.0,2017021
CONCORDIA MUNI AP,KS,39.5514,-97.6508,447.8,20170325,39.02,42.08,41.36,12.30317,360.0,29.08022,0.0,0.0,0.37007894,2017032
DODGE CITY,KS,37.7608,-99.9683,789.4,20170103,11.12,31.1,26.96,16.77705,360.0,35.119958,0.0,0.0,0.0,2017010
DODGE CITY,KS,37.7608,-99.9683,789.4,20170208,17.24,35.96,28.22,10.06623,360.0,29.974996,0.0,0.0,0.0,2017020
DODGE CITY,KS,37.7608,-99.9683,789.4,20170211,44.96,68.0,59.0,11.408394,360.0,36.90951,0.0,0.0,0.0,2017021
DODGE CITY,KS,37.7608,-99.9683,789.4,20170214,28.22,50.0,40.28,13.869028,360.0,31.093466,0.0,0.0,0.01181103,2017021
DODGE CITY,KS,37.7608,-99.9683,789.4,20170222,35.06,77.0,56.3,9.842536,360.0,23.040482,0.0,0.0,0.0,2017022
DODGE CITY,KS,37.7608,-99.9683,789.4,20170223,32.0,80.06,57.56,18.119214,360.0,55.028724,0.0,0.0,0.0,2017022
DODGE CITY,KS,37.7608,-99.9683,789.4,20170313,28.22,42.98,36.32,13.42164,360.0,38.922756,0.0,0.0,0.0,2017031
DODGE CITY,KS,37.7608,-99.9683,789.4,20170428,39.02,68.0,53.96,13.42164,360.0,38.02798,0.0,0.0,0.51968532,2017042
DODGE CITY,KS,37.7608,-99.9683,789.4,20170430,32.0,37.04,34.16,25.501116,360.0,51.002232,2.5196864,1.181103,0.83070911,2017043
DODGE CITY,KS,37.7608,-99.9683,789.4,20170504,37.94,68.0,51.8,10.961006,360.0,29.974996,0.0,0.0,0.0,2017050
DODGE CITY,KS,37.7608,-99.9683,789.4,20170511,46.04,64.04,58.64,16.105968,360.0,31.988242,0.0,0.0,0.5118113,2017051
DODGE CITY,KS,37.7608,-99.9683,789.4,20170519,48.02,57.92,56.12,17.000744,360.0,35.119958,0.0,0.0,0.96063044,2017051
DODGE CITY,KS,37.7608,-99.9683,789.4,20170615,66.02,96.08,79.88,11.408394,360.0,46.080964,0.0,0.0,0.0,2017061
TOPEKA MUNI AP,KS,39.0725,-95.6261,267.0,20170203,23.18,37.04,27.86,5.144962,360.0,17.000744,0.0,0.0,0.0,2017020
TOPEKA MUNI AP,KS,39.0725,-95.6261,267.0,20170211,42.98,69.98,56.66,6.039738,360.0,25.053728,0.0,0.0,0.0,2017021
TOPEKA MUNI AP,KS,39.0725,-95.6261,267.0,20170331,42.98,50.0,45.68,7.158208,360.0,16.105968,0.0,0.0,0.0,2017033
TOPEKA MUNI AP,KS,39.0725,-95.6261,267.0,20170405,39.02,60.08,49.46,14.316416,360.0,52.120702,0.0,0.0,0.46063017,2017040
TOPEKA MUNI AP,KS,39.0725,-95.6261,267.0,20170512,51.98,75.02,64.04,8.724066,360.0,27.96175,0.0,0.0,0.0,2017051
TOPEKA MUNI AP,KS,39.0725,-95.6261,267.0,20170623,62.06,80.96,78.44,9.618842,360.0,31.988242,0.0,0.0,0.0,2017062
TOPEKA MUNI AP,KS,39.0725,-95.6261,267.0,20170804,53.06,78.98,68.18,2.908022,360.0,19.01399,0.0,0.0,0.0,2017080
TOPEKA MUNI AP,KS,39.0725,-95.6261,267.0,20170806,64.94,75.02,68.72,4.026492,360.0,14.092722,0.0,0.0,0.0,2017080
TOPEKA MUNI AP,KS,39.0725,-95.6261,267.0,20170820,69.08,91.94,81.68,10.513618,360.0,31.988242,0.0,0.0,0.14960638,2017082
TOPEKA MUNI AP,KS,39.0725,-95.6261,267.0,20170828,60.08,82.94,71.42,4.250186,360.0,19.01399,0.0,0.0,0.0,2017082
WICHITA,KS,37.6544,-97.4425,406.9,20170102,39.92,57.92,49.64,10.06623,350.0,29.974996,0.0,0.0,0.05118113,2017010
WICHITA,KS,37.6544,-97.4425,406.9,20170112,16.16,33.08,25.16,13.645334,350.0,29.08022,0.0,0.0,0.0,2017011
WICHITA,KS,37.6544,-97.4425,406.9,20170214,37.04,51.08,43.16,10.513618,350.0,25.053728,0.0,0.0,0.01181103,2017021
WICHITA,KS,37.6544,-97.4425,406.9,20170328,44.06,55.04,52.16,14.316416,350.0,38.02798,0.0,0.0,1.8897648,2017032
WICHITA,KS,37.6544,-97.4425,406.9,20170404,44.06,51.98,49.82,18.119214,350.0,38.02798,0.0,0.0,1.00000054,2017040
WICHITA,KS,37.6544,-97.4425,406.9,20170422,44.06,60.98,50.0,12.750558,350.0,31.093466,0.0,0.0,0.0,2017042
WICHITA,KS,37.6544,-97.4425,406.9,20170524,46.94,68.0,56.66,8.724066,350.0,25.053728,0.0,0.0,0.0,2017052
WICHITA,KS,37.6544,-97.4425,406.9,20170618,64.04,84.92,75.74,9.618842,350.0,31.988242,0.0,0.0,0.35826791,2017061
CONCORDIA MUNI AP,KS,39.5514,-97.6508,447.8,20170102,31.1,46.94,39.02,10.289924,350.0,29.08022,0.0,0.0,0.0,2017010
CONCORDIA MUNI AP,KS,39.5514,-97.6508,447.8,20170107,4.1,24.26,12.02,6.71082,350.0,18.119214,0.0,1.181103,0.0,2017010
CONCORDIA MUNI AP,KS,39.5514,-97.6508,447.8,20170122,27.14,46.04,39.02,8.500372,350.0,27.96175,0.0,0.0,0.0,2017012
CONCORDIA MUNI AP,KS,39.5514,-97.6508,447.8,20170212,33.08,51.08,44.96,10.513618,350.0,29.974996,0.0,0.0,0.0,2017021
CONCORDIA MUNI AP,KS,39.5514,-97.6508,447.8,20170617,66.92,93.02,82.4,8.724066,350.0,31.093466,0.0,0.0,0.03149608,2017061
CONCORDIA MUNI AP,KS,39.5514,-97.6508,447.8,20170806,62.96,73.04,67.64,6.71082,350.0,17.000744,0.0,0.0,0.0,2017080
DODGE CITY,KS,37.7608,-99.9683,789.4,20170228,35.06,62.06,48.74,12.750558,350.0,46.080964,0.0,0.0,0.0,2017022
DODGE CITY,KS,37.7608,-99.9683,789.4,20170329,39.02,46.04,44.06,23.711564,350.0,46.080964,0.0,0.0,1.14960692,2017032
DODGE CITY,KS,37.7608,-99.9683,789.4,20170426,37.94,59.0,46.94,16.105968,350.0,38.02798,0.0,0.0,0.0,2017042
DODGE CITY,KS,37.7608,-99.9683,789.4,20170502,39.02,66.92,53.6,11.1847,350.0,34.001488,0.0,0.0,0.27952771,2017050
DODGE CITY,KS,37.7608,-99.9683,789.4,20170522,48.02,64.94,57.74,8.724066,350.0,31.988242,0.0,0.0,0.09842525,2017052
DODGE CITY,KS,37.7608,-99.9683,789.4,20170604,60.98,82.94,67.64,6.487126,350.0,33.106712,0.0,0.0,0.05118113,2017060
DODGE CITY,KS,37.7608,-99.9683,789.4,20170803,60.98,80.06,73.58,10.513618,350.0,27.066974,0.0,0.0,0.0,2017080
TOPEKA MUNI AP,KS,39.0725,-95.6261,267.0,20170102,37.94,50.0,42.62,5.816044,350.0,19.908766,0.0,0.0,0.18897648,2017010
TOPEKA MUNI AP,KS,39.0725,-95.6261,267.0,20170202,19.22,35.06,27.5,8.052984,350.0,25.053728,0.0,0.0,0.0,2017020
TOPEKA MUNI AP,KS,39.0725,-95.6261,267.0,20170208,18.14,29.12,27.5,12.079476,350.0,31.988242,0.0,0.0,0.0,2017020
TOPEKA MUNI AP,KS,39.0725,-95.6261,267.0,20170317,48.02,73.04,62.78,7.605596,350.0,25.948504,0.0,0.0,0.0,2017031
TOPEKA MUNI AP,KS,39.0725,-95.6261,267.0,20170324,50.0,69.98,68.54,10.737312,350.0,29.974996,0.0,0.0,0.18110246,2017032
TOPEKA MUNI AP,KS,39.0725,-95.6261,267.0,20170504,39.92,69.98,53.78,10.513618,350.0,36.90951,0.0,0.0,0.0,2017050
TOPEKA MUNI AP,KS,39.0725,-95.6261,267.0,20170605,62.96,93.02,76.82,1.565858,350.0,14.987498,0.0,0.0,0.0,2017060
TOPEKA MUNI AP,KS,39.0725,-95.6261,267.0,20170625,55.94,77.0,69.62,4.47388,350.0,14.987498,0.0,0.0,0.0,2017062
TOPEKA MUNI AP,KS,39.0725,-95.6261,267.0,20170629,66.02,82.94,77.72,8.500372,350.0,40.041226,0.0,0.0,1.75196945,2017062
TOPEKA MUNI AP,KS,39.0725,-95.6261,267.0,20170727,73.94,87.08,78.26,6.263432,350.0,19.01399,0.0,0.0,0.03149608,2017072
