station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
PADUCAH,KY,37.0683,-88.7719,119.5,20170106,14.18,21.2,18.32,9.618842,360.0,19.908766,0.0,0.0,0.0,2017010
PADUCAH,KY,37.0683,-88.7719,119.5,20170208,31.1,48.92,48.02,11.632088,360.0,29.08022,0.0,0.0,0.0,2017020
PADUCAH,KY,37.0683,-88.7719,119.5,20170505,46.04,66.02,53.42,14.316416,360.0,40.041226,0.0,0.0,0.61811057,2017050
PADUCAH,KY,37.0683,-88.7719,119.5,20170506,44.96,75.92,58.82,10.06623,360.0,35.119958,0.0,0.0,0.0,2017050
PADUCAH,KY,37.0683,-88.7719,119.5,20170808,64.94,84.92,73.94,6.039738,360.0,21.922012,0.0,0.0,0.0,2017080
PADUCAH,KY,37.0683,-88.7719,119.5,20170823,57.92,82.04,73.58,4.026492,360.0,21.922012,0.0,0.0,0.0,2017082
JACKSON,KY,37.5908,-83.3131,415.7,20170311,26.24,39.92,32.36,3.802798,360.0,12.974252,0.0,0.0,0.0,2017031
CINCINNATI NORTHERN KY AP,KY,39.0431,-84.6717,264.9,20170319,32.0,50.0,39.92,4.47388,360.0,16.105968,0.0,0.0,0.0,2017031
CINCINNATI NORTHERN KY AP,KY,39.0431,-84.6717,264.9,20170428,44.96,73.94,57.74,8.724066,360.0,53.015478,0.0,0.0,0.55905542,2017042
CINCINNATI NORTHERN KY AP,KY,39.0431,-84.6717,264.9,20170505,44.06,55.94,51.08,16.105968,360.0,36.014734,0.0,0.0,1.00000054,2017050
CINCINNATI NORTHERN KY AP,KY,39.0431,-84.6717,264.9,20170601,50.0,78.98,68.0,2.908022,360.0,16.105968,0.0,0.0,0.0,2017060
CINCINNATI NORTHERN KY AP,KY,39.0431,-84.6717,264.9,20170602,50.0,82.94,68.0,2.908022,360.0,17.000744,0.0,0.0,0.0,2017060
CINCINNATI NORTHERN KY AP,KY,39.0431,-84.6717,264.9,20170823,62.06,78.98,71.78,7.381902,360.0,17.000744,0.0,0.0,0.0,2017082
CINCINNATI NORTHERN KY AP,KY,39.0431,-84.6717,264.9,20170824,57.92,78.08,68.54,6.487126,360.0,19.908766,0.0,0.0,0.0,2017082
LEXINGTON BLUEGRASS AP,KY,38.0408,-84.6058,298.7,20170521,62.06,80.06,70.34,8.500372,360.0,29.08022,0.0,0.0,0.5905515,2017052
LEXINGTON BLUEGRASS AP,KY,38.0408,-84.6058,298.7,20170623,66.92,86.0,75.74,12.30317,360.0,33.106712,0.0,0.0,3.16141903,2017062
LEXINGTON BLUEGRASS AP,KY,38.0408,-84.6058,298.7,20170808,60.08,82.04,70.16,6.263432,360.0,18.119214,0.0,0.0,0.0,2017080
LEXINGTON BLUEGRASS AP,KY,38.0408,-84.6058,298.7,20170830,60.98,82.04,71.42,1.789552,360.0,10.06623,0.0,0.0,0.0,2017083
LOUISVILLE INTL AP,KY,38.1811,-85.7392,148.7,20170106,12.2,20.12,17.42,9.618842,360.0,19.01399,0.0,1.968505,0.0,2017010
LOUISVILLE INTL AP,KY,38.1811,-85.7392,148.7,20170107,9.14,20.12,13.1,9.842536,360.0,19.01399,0.0,0.0,0.0,2017010
LOUISVILLE INTL AP,KY,38.1811,-85.7392,148.7,20170114,37.94,42.08,39.38,4.026492,360.0,10.961006,0.0,0.0,0.33070884,2017011
LOUISVILLE INTL AP,KY,38.1811,-85.7392,148.7,20170309,42.98,75.02,57.74,9.618842,360.0,35.119958,0.0,0.0,0.0,2017030
LOUISVILLE INTL AP,KY,38.1811,-85.7392,148.7,20170313,31.1,42.98,36.5,7.381902,360.0,19.01399,0.0,0.0,0.05905515,2017031
LOUISVILLE INTL AP,KY,38.1811,-85.7392,148.7,20170401,44.96,53.96,48.2,7.381902,360.0,17.000744,0.0,0.0,0.0,2017040
LOUISVILLE INTL AP,KY,38.1811,-85.7392,148.7,20170613,73.04,93.92,84.38,8.052984,360.0,38.02798,0.0,0.0,0.0,2017061
