station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
LAKE CHARLES,LA,30.125,-93.2158,4.0,20170106,30.2,44.96,41.36,17.000744,360.0,38.02798,0.0,0.0,0.24015761,2017010
LAKE CHARLES,LA,30.125,-93.2158,4.0,20170107,23.18,41.0,31.28,12.974252,360.0,36.90951,0.0,0.0,0.0,2017010
LAKE CHARLES,LA,30.125,-93.2158,4.0,20170202,53.06,78.08,64.58,5.816044,360.0,21.922012,0.0,0.0,0.72834685,2017020
LAKE CHARLES,LA,30.125,-93.2158,4.0,20170313,44.96,66.92,57.2,8.500372,360.0,23.040482,0.0,0.0,0.0,2017031
LAKE CHARLES,LA,30.125,-93.2158,4.0,20170314,41.0,66.92,52.16,6.487126,360.0,21.922012,,0.0,0.0,2017031
LAKE CHARLES,LA,30.125,-93.2158,4.0,20170528,69.98,89.06,82.04,8.052984,360.0,31.093466,0.0,0.0,1.92126088,2017052
NEW ORLEANS INTL AP,LA,29.9933,-90.2511,1.2,20170209,51.08,68.0,63.32,9.171454,360.0,34.001488,0.0,0.0,0.0,2017020
NEW ORLEANS INTL AP,LA,29.9933,-90.2511,1.2,20170310,64.04,80.06,70.52,3.35541,360.0,14.987498,0.0,0.0,0.0,2017031
NEW ORLEANS INTL AP,LA,29.9933,-90.2511,1.2,20170821,75.02,93.02,84.38,4.026492,360.0,25.948504,0.0,0.0,0.11023628,2017082
SHREVEPORT,LA,32.4506,-93.8411,83.2,20170107,19.22,39.02,26.96,5.59235,360.0,19.01399,0.0,0.0,0.0,2017010
SHREVEPORT,LA,32.4506,-93.8411,83.2,20170117,51.98,57.92,57.02,4.921268,360.0,17.000744,0.0,0.0,0.33858286,2017011
SHREVEPORT,LA,32.4506,-93.8411,83.2,20170209,41.0,60.98,53.24,8.500372,360.0,21.922012,0.0,0.0,0.0,2017020
SHREVEPORT,LA,32.4506,-93.8411,83.2,20170307,46.94,73.04,67.82,9.618842,360.0,35.119958,0.0,0.0,0.33858286,2017030
SHREVEPORT,LA,32.4506,-93.8411,83.2,20170314,33.98,62.06,48.38,4.697574,360.0,19.01399,0.0,0.0,0.0,2017031
SHREVEPORT,LA,32.4506,-93.8411,83.2,20170606,71.96,89.06,77.18,6.71082,360.0,25.053728,0.0,0.0,0.0,2017060
SHREVEPORT,LA,32.4506,-93.8411,83.2,20170830,69.98,73.94,72.68,15.882274,360.0,31.988242,0.0,0.0,2.96063152,2017083
SHREVEPORT,LA,32.4506,-93.8411,83.2,20170906,60.98,82.04,73.58,8.052984,360.0,23.935258,0.0,0.0,0.0,2017090
NEW ORLEANS INTL AP,LA,29.9933,-90.2511,1.2,20170105,46.04,66.02,54.86,5.144962,350.0,21.027236,,0.0,0.16929143,2017010
NEW ORLEANS INTL AP,LA,29.9933,-90.2511,1.2,20170106,33.08,53.96,49.28,14.092722,350.0,34.001488,,0.0,0.57874047,2017010
NEW ORLEANS INTL AP,LA,29.9933,-90.2511,1.2,20170107,27.14,39.02,33.44,15.211192,350.0,35.119958,0.0,0.0,0.0,2017010
NEW ORLEANS INTL AP,LA,29.9933,-90.2511,1.2,20170126,46.94,64.04,60.26,10.513618,350.0,25.053728,0.0,0.0,0.0,2017012
NEW ORLEANS INTL AP,LA,29.9933,-90.2511,1.2,20170127,44.06,53.06,49.64,9.171454,350.0,21.027236,0.0,0.0,0.0,2017012
NEW ORLEANS INTL AP,LA,29.9933,-90.2511,1.2,20170529,68.0,84.92,77.72,7.158208,350.0,31.988242,0.0,0.0,0.77952798,2017052
NEW ORLEANS INTL AP,LA,29.9933,-90.2511,1.2,20170725,75.92,89.96,82.22,5.816044,350.0,23.040482,0.0,0.0,0.0,2017072
NEW ORLEANS INTL AP,LA,29.9933,-90.2511,1.2,20170818,77.0,95.0,84.56,4.921268,350.0,12.974252,0.0,0.0,0.0,2017081
NEW ORLEANS INTL AP,LA,29.9933,-90.2511,1.2,20170902,73.94,89.06,81.68,4.026492,350.0,14.092722,0.0,0.0,0.0,2017090
LAKE CHARLES,LA,30.125,-93.2158,4.0,20170104,44.06,53.96,54.32,8.500372,340.0,23.935258,0.0,0.0,0.0,2017010
LAKE CHARLES,LA,30.125,-93.2158,4.0,20170125,57.92,73.94,65.84,7.82929,340.0,25.053728,0.0,0.0,0.11023628,2017012
LAKE CHARLES,LA,30.125,-93.2158,4.0,20170225,48.02,69.98,61.34,10.513618,340.0,35.119958,0.0,0.0,0.0,2017022
LAKE CHARLES,LA,30.125,-93.2158,4.0,20170301,62.06,80.06,73.58,10.513618,340.0,29.08022,0.0,0.0,0.0393701,2017030
LAKE CHARLES,LA,30.125,-93.2158,4.0,20170406,50.0,77.0,63.14,6.487126,340.0,27.066974,,,0.0,2017040
LAKE CHARLES,LA,30.125,-93.2158,4.0,20170411,60.98,77.0,67.64,7.605596,340.0,29.974996,0.0,0.0,1.35039443,2017041
LAKE CHARLES,LA,30.125,-93.2158,4.0,20170427,53.96,82.04,67.1,8.94776,340.0,23.935258,0.0,0.0,0.0,2017042
LAKE CHARLES,LA,30.125,-93.2158,4.0,20170504,55.94,71.06,63.86,13.645334,340.0,36.90951,,,0.0,2017050
LAKE CHARLES,LA,30.125,-93.2158,4.0,20170521,69.08,84.02,76.64,6.71082,340.0,23.935258,0.0,0.0,1.37007948,2017052
LAKE CHARLES,LA,30.125,-93.2158,4.0,20170804,75.02,91.94,81.14,2.460634,340.0,21.922012,0.0,0.0,0.40944904,2017080
