station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
BOSTON LOGAN INTL AP,MA,42.3606,-71.0106,3.7,20170220,33.08,48.02,44.24,11.1847,360.0,23.935258,0.0,,0.0,2017022
BOSTON LOGAN INTL AP,MA,42.3606,-71.0106,3.7,20170609,55.04,78.98,63.5,10.06623,360.0,29.08022,0.0,,0.0,2017060
BOSTON LOGAN INTL AP,MA,42.3606,-71.0106,3.7,20170713,57.92,69.98,65.66,10.513618,360.0,23.935258,0.0,,0.14173236,2017071
WORCESTER RGNL AP,MA,42.2706,-71.8731,304.8,20170107,14.18,18.14,16.52,10.513618,360.0,31.093466,4.8031522,,0.24015761,2017010
WORCESTER RGNL AP,MA,42.2706,-71.8731,304.8,20170328,33.08,37.04,35.42,5.144962,360.0,14.092722,0.0,,0.64173263,2017032
WORCESTER RGNL AP,MA,42.2706,-71.8731,304.8,20170426,42.08,55.04,47.3,9.171454,360.0,23.040482,0.0,,0.44881914,2017042
WORCESTER RGNL AP,MA,42.2706,-71.8731,304.8,20170607,46.94,69.08,55.76,8.052984,360.0,21.922012,0.0,0.0,0.01968505,2017060
WORCESTER RGNL AP,MA,42.2706,-71.8731,304.8,20170830,55.94,71.06,60.8,8.052984,360.0,19.908766,0.0,,0.05118113,2017083
BOSTON LOGAN INTL AP,MA,42.3606,-71.0106,3.7,20170523,53.06,68.0,57.02,6.487126,350.0,19.908766,0.0,,0.0,2017052
BOSTON LOGAN INTL AP,MA,42.3606,-71.0106,3.7,20170825,62.96,75.92,67.82,7.82929,350.0,19.01399,0.0,,0.0,2017082
WORCESTER RGNL AP,MA,42.2706,-71.8731,304.8,20170320,29.12,50.0,37.94,10.06623,350.0,25.053728,0.0,,0.0,2017032
WORCESTER RGNL AP,MA,42.2706,-71.8731,304.8,20170414,39.92,59.0,50.54,6.71082,350.0,21.922012,0.0,,0.0,2017041
WORCESTER RGNL AP,MA,42.2706,-71.8731,304.8,20170730,59.0,78.08,66.74,7.381902,350.0,17.000744,0.0,,0.0,2017073
WORCESTER RGNL AP,MA,42.2706,-71.8731,304.8,20170902,44.96,66.92,55.94,6.487126,350.0,16.105968,0.0,,0.0,2017090
BOSTON LOGAN INTL AP,MA,42.3606,-71.0106,3.7,20170107,17.24,24.26,22.64,14.316416,340.0,36.90951,7.0078778,,0.53149635,2017010
BOSTON LOGAN INTL AP,MA,42.3606,-71.0106,3.7,20170119,31.1,46.04,36.68,8.052984,340.0,21.922012,0.0,,0.0,2017011
BOSTON LOGAN INTL AP,MA,42.3606,-71.0106,3.7,20170501,44.96,48.02,46.94,9.171454,340.0,18.119214,0.0,,0.0,2017050
BOSTON LOGAN INTL AP,MA,42.3606,-71.0106,3.7,20170515,46.94,60.98,51.44,14.316416,340.0,35.119958,0.0,,0.07086618,2017051
BOSTON LOGAN INTL AP,MA,42.3606,-71.0106,3.7,20170802,68.0,80.96,73.76,8.500372,340.0,40.936002,0.0,,0.96063044,2017080
WORCESTER RGNL AP,MA,42.2706,-71.8731,304.8,20170514,39.02,48.02,43.16,14.763804,340.0,34.001488,0.0,,1.09055177,2017051
WORCESTER RGNL AP,MA,42.2706,-71.8731,304.8,20170826,53.06,71.06,61.88,5.368656,340.0,14.987498,0.0,,0.0,2017082
WORCESTER RGNL AP,MA,42.2706,-71.8731,304.8,20170827,55.94,73.04,63.32,4.921268,340.0,16.105968,0.0,,0.0,2017082
