station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
BRANDON A,MB,49.9167,-99.95,409.0,20170101,-2.2,17.42,7.52,,,,0.0,18.503947,0.01574804,2017010
BRANDON A,MB,49.9167,-99.95,409.0,20170102,0.68,8.24,4.46,,,,1.1023628,18.503947,0.10236226,2017010
BRANDON A,MB,49.9167,-99.95,409.0,20170103,-18.76,1.04,-8.86,,,,0.393701,19.68505,0.01574804,2017010
BRANDON A,MB,49.9167,-99.95,409.0,20170104,-22.9,-9.22,-16.06,,,,0.0,19.68505,0.0,2017010
BRANDON A,MB,49.9167,-99.95,409.0,20170105,-20.92,-2.38,-11.74,,,,0.0,19.68505,0.0,2017010
BRANDON A,MB,49.9167,-99.95,409.0,20170106,-20.38,3.2,-8.68,,,,0.0,19.68505,0.0,2017010
BRANDON A,MB,49.9167,-99.95,409.0,20170107,-22.18,-7.96,-15.16,,,,0.0,19.68505,0.0,2017010
BRANDON A,MB,49.9167,-99.95,409.0,20170108,-19.12,3.38,-7.96,,,,0.0,19.68505,0.0,2017010
BRANDON A,MB,49.9167,-99.95,409.0,20170109,-21.82,-3.28,-12.64,,,,1.3385834,19.68505,0.1181103,2017010
BRANDON A,MB,49.9167,-99.95,409.0,20170110,-10.66,1.22,-4.72,,,,0.0,20.866153,0.0,2017011
BRANDON A,MB,49.9167,-99.95,409.0,20170111,-27.58,-2.74,-15.16,,,,0.1574804,20.866153,0.01574804,2017011
BRANDON A,MB,49.9167,-99.95,409.0,20170112,-27.76,4.64,-11.56,,,,0.4724412,20.866153,0.0393701,2017011
BRANDON A,MB,49.9167,-99.95,409.0,20170113,-30.1,-0.76,-15.52,,,,0.0,20.866153,0.0,2017011
BRANDON A,MB,49.9167,-99.95,409.0,20170114,-11.92,5.72,-3.1,,,,0.0,20.866153,0.0,2017011
BRANDON A,MB,49.9167,-99.95,409.0,20170115,-0.76,16.16,7.7,,,,0.0,20.866153,0.0,2017011
BRANDON A,MB,49.9167,-99.95,409.0,20170116,5.54,22.46,14.0,,,,0.0,20.472452,0.0,2017011
BRANDON A,MB,49.9167,-99.95,409.0,20170117,3.38,27.5,15.44,,,,0.0,20.472452,0.0,2017011
BRANDON A,MB,49.9167,-99.95,409.0,20170118,13.1,34.88,23.9,,,,0.0,20.472452,0.0,2017011
BRANDON A,MB,49.9167,-99.95,409.0,20170119,16.16,30.74,23.36,,,,0.0,20.078751,0.0,2017011
BRANDON A,MB,49.9167,-99.95,409.0,20170120,7.16,32.36,19.76,,,,0.0,19.68505,0.0,2017012
BRANDON A,MB,49.9167,-99.95,409.0,20170121,32.0,33.08,32.54,,,,0.0,18.897648,0.0,2017012
BRANDON A,MB,49.9167,-99.95,409.0,20170122,28.22,32.18,30.2,,,,0.0,16.929143,0.0,2017012
BRANDON A,MB,49.9167,-99.95,409.0,20170123,22.64,28.4,25.52,,,,0.5511814,15.74804,0.02362206,2017012
BRANDON A,MB,49.9167,-99.95,409.0,20170124,20.3,23.9,22.1,,,,0.0787402,16.141741,0.00787402,2017012
BRANDON A,MB,49.9167,-99.95,409.0,20170125,6.8,21.38,14.0,,,,0.5118113,16.141741,0.00787402,2017012
BRANDON A,MB,49.9167,-99.95,409.0,20170126,9.14,19.22,14.18,,,,0.0,16.141741,0.0,2017012
BRANDON A,MB,49.9167,-99.95,409.0,20170127,13.28,26.42,19.76,,,,0.0,,0.0,2017012
BRANDON A,MB,49.9167,-99.95,409.0,20170128,14.72,29.84,22.28,,,,0.0,,0.0,2017012
BRANDON A,MB,49.9167,-99.95,409.0,20170129,16.88,24.26,20.48,,,,0.0,15.354339,0.0,2017012
BRANDON A,MB,49.9167,-99.95,409.0,20170130,21.56,36.32,28.94,,,,0.1574804,15.354339,0.03149608,2017013
BRANDON A,MB,49.9167,-99.95,409.0,20170131,-7.06,28.58,10.76,,,,0.0,14.173236,0.0,2017013
BRANDON A,MB,49.9167,-99.95,409.0,20170201,-10.48,7.16,-1.66,,,,0.0,14.173236,0.0,2017020
BRANDON A,MB,49.9167,-99.95,409.0,20170202,-7.06,7.7,0.32,,,,0.0,14.173236,0.0,2017020
BRANDON A,MB,49.9167,-99.95,409.0,20170203,-3.1,9.14,3.02,,,,0.0,14.173236,0.0,2017020
BRANDON A,MB,49.9167,-99.95,409.0,20170204,-2.38,15.44,6.44,,,,0.1574804,14.173236,0.00787402,2017020
BRANDON A,MB,49.9167,-99.95,409.0,20170205,-7.78,4.82,-1.48,,,,1.968505,14.173236,0.1574804,2017020
BRANDON A,MB,49.9167,-99.95,409.0,20170206,-2.92,4.46,0.68,,,,1.7322844,16.141741,0.13385834,2017020
BRANDON A,MB,49.9167,-99.95,409.0,20170207,-16.78,-0.94,-8.86,,,,0.5511814,17.716545,0.0393701,2017020
BRANDON A,MB,49.9167,-99.95,409.0,20170208,-23.62,-1.12,-12.46,,,,0.0,17.716545,0.0,2017020
BRANDON A,MB,49.9167,-99.95,409.0,20170209,-16.96,12.92,-2.02,,,,1.4173236,17.716545,0.12598432,2017020
BRANDON A,MB,49.9167,-99.95,409.0,20170210,-2.02,19.22,8.6,,,,0.0,18.110246,0.0,2017021
BRANDON A,MB,49.9167,-99.95,409.0,20170211,1.22,29.66,15.44,,,,0.0,18.110246,0.0,2017021
BRANDON A,MB,49.9167,-99.95,409.0,20170212,4.82,25.7,15.26,,,,0.0,18.110246,0.0,2017021
BRANDON A,MB,49.9167,-99.95,409.0,20170213,10.04,37.04,23.54,,,,0.0,18.110246,0.0,2017021
BRANDON A,MB,49.9167,-99.95,409.0,20170214,9.86,29.84,19.76,,,,0.0,,0.0,2017021
BRANDON A,MB,49.9167,-99.95,409.0,20170215,5.36,32.54,18.86,,,,0.0,16.929143,0.0,2017021
BRANDON A,MB,49.9167,-99.95,409.0,20170216,11.3,36.86,24.08,,,,0.0,16.141741,0.0,2017021
BRANDON A,MB,49.9167,-99.95,409.0,20170217,21.56,39.38,30.38,,,,0.0,15.354339,0.0,2017021
BRANDON A,MB,49.9167,-99.95,409.0,20170218,25.88,38.12,32.0,,,,0.0,12.598432,0.0,2017021
BRANDON A,MB,49.9167,-99.95,409.0,20170219,28.04,33.62,30.74,,,,0.0,10.629927,0.00787402,2017021
BRANDON A,MB,49.9167,-99.95,409.0,20170220,32.36,34.88,33.62,,,,0.0,9.055123,0.0,2017022
BRANDON A,MB,49.9167,-99.95,409.0,20170221,31.64,36.86,34.34,,,,0.0393701,7.87402,0.01574804,2017022
BRANDON A,MB,49.9167,-99.95,409.0,20170222,28.4,35.96,32.18,,,,0.0,7.086618,0.0,2017022
BRANDON A,MB,49.9167,-99.95,409.0,20170223,17.6,29.84,23.72,,,,0.0,5.905515,0.0,2017022
BRANDON A,MB,49.9167,-99.95,409.0,20170224,10.04,22.1,15.98,,,,0.1574804,5.511814,0.01574804,2017022
BRANDON A,MB,49.9167,-99.95,409.0,20170225,-2.38,16.7,7.16,,,,0.393701,5.905515,0.02362206,2017022
BRANDON A,MB,49.9167,-99.95,409.0,20170226,-8.5,17.96,4.64,,,,0.1574804,5.905515,0.00787402,2017022
BRANDON A,MB,49.9167,-99.95,409.0,20170227,-8.32,11.3,1.4,,,,0.0,5.905515,0.0,2017022
BRANDON A,MB,49.9167,-99.95,409.0,20170228,-14.62,14.36,-0.22,,,,0.0,5.905515,0.0,2017022
BRANDON A,MB,49.9167,-99.95,409.0,20170301,-2.56,17.78,7.52,,,,0.0,5.905515,0.0,2017030
BRANDON A,MB,49.9167,-99.95,409.0,20170302,-6.88,6.08,-0.4,,,,0.0787402,5.905515,0.00787402,2017030
BRANDON A,MB,49.9167,-99.95,409.0,20170303,-7.42,27.5,10.04,,,,0.0,5.905515,0.0,2017030
BRANDON A,MB,49.9167,-99.95,409.0,20170304,16.52,38.66,27.5,,,,0.0,5.905515,0.0,2017030
BRANDON A,MB,49.9167,-99.95,409.0,20170305,20.12,34.7,27.32,,,,0.0,5.118113,0.0,2017030
BRANDON A,MB,49.9167,-99.95,409.0,20170306,5.18,33.62,19.4,,,,6.299216,4.330711,0.62204758,2017030
BRANDON A,MB,49.9167,-99.95,409.0,20170307,5.18,10.22,7.7,,,,10.0000054,13.385834,0.92913436,2017030
BRANDON A,MB,49.9167,-99.95,409.0,20170308,0.14,9.14,4.64,,,,0.0,17.322844,0.0,2017030
BRANDON A,MB,49.9167,-99.95,409.0,20170309,-12.28,2.84,-4.72,,,,0.0,17.322844,0.0,2017030
BRANDON A,MB,49.9167,-99.95,409.0,20170310,-17.68,-0.22,-9.04,,,,0.0,17.322844,0.0,2017031
BRANDON A,MB,49.9167,-99.95,409.0,20170311,-8.32,4.1,-2.2,,,,0.0,16.929143,0.0,2017031
BRANDON A,MB,49.9167,-99.95,409.0,20170312,-9.58,7.88,-0.94,,,,0.1574804,16.929143,0.00787402,2017031
BRANDON A,MB,49.9167,-99.95,409.0,20170313,-16.6,10.22,-3.28,,,,0.0,16.929143,0.0,2017031
BRANDON A,MB,49.9167,-99.95,409.0,20170314,-6.16,21.38,7.52,,,,0.0,16.929143,0.0,2017031
BRANDON A,MB,49.9167,-99.95,409.0,20170315,14.0,30.92,22.46,,,,0.0,16.929143,0.0,2017031
BRANDON A,MB,49.9167,-99.95,409.0,20170316,20.84,35.42,28.04,,,,0.0,16.535442,0.11023628,2017031
BRANDON A,MB,49.9167,-99.95,409.0,20170317,15.44,34.16,24.8,,,,0.0787402,12.992133,0.00787402,2017031
BRANDON A,MB,49.9167,-99.95,409.0,20170318,7.52,32.9,20.12,,,,0.0,12.598432,0.0,2017031
BRANDON A,MB,49.9167,-99.95,409.0,20170319,26.96,42.08,34.52,,,,0.0,11.417329,0.0,2017031
BRANDON A,MB,49.9167,-99.95,409.0,20170320,12.38,37.4,24.8,,,,0.0,10.629927,0.0,2017032
BRANDON A,MB,49.9167,-99.95,409.0,20170321,5.72,15.62,10.58,,,,0.0,10.236226,0.0,2017032
BRANDON A,MB,49.9167,-99.95,409.0,20170322,8.96,29.12,19.04,,,,0.0,9.842525,0.0,2017032
BRANDON A,MB,49.9167,-99.95,409.0,20170323,18.5,40.1,29.3,,,,0.0,9.842525,0.0,2017032
BRANDON A,MB,49.9167,-99.95,409.0,20170324,23.72,32.0,27.86,,,,0.0,8.661422,0.0,2017032
