station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
SALISBURY WICOMICO RGNL AP,MD,38.3406,-75.5103,14.6,20170305,18.14,39.02,28.76,6.487126,360.0,21.922012,0.0,0.0,0.0,2017030
SALISBURY WICOMICO RGNL AP,MD,38.3406,-75.5103,14.6,20170320,32.0,53.96,42.98,6.71082,360.0,19.908766,0.0,0.0,0.0,2017032
SALISBURY WICOMICO RGNL AP,MD,38.3406,-75.5103,14.6,20170329,42.08,64.94,56.66,7.605596,360.0,21.922012,0.0,0.0,0.0,2017032
SALISBURY WICOMICO RGNL AP,MD,38.3406,-75.5103,14.6,20170405,48.92,75.02,62.42,10.06623,360.0,27.066974,0.0,0.0,0.0,2017040
SALISBURY WICOMICO RGNL AP,MD,38.3406,-75.5103,14.6,20170714,71.06,93.92,83.48,6.71082,360.0,48.09421,0.0,0.0,2.53937145,2017071
SALISBURY WICOMICO RGNL AP,MD,38.3406,-75.5103,14.6,20170901,59.0,69.98,66.74,7.158208,360.0,19.908766,0.0,0.0,0.0,2017090
BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,20170106,24.26,33.08,30.38,7.605596,360.0,23.935258,0.1181103,0.0,0.01181103,2017010
BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,20170115,33.08,42.98,36.14,3.35541,360.0,16.105968,0.0,0.0,0.0,2017011
BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,20170329,48.02,64.04,58.64,8.94776,360.0,25.053728,0.0,0.0,0.0,2017032
BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,20170402,39.02,64.94,51.62,6.71082,360.0,21.027236,0.0,0.0,0.0,2017040
BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,20170730,60.08,82.94,71.6,5.59235,360.0,21.027236,0.0,0.0,0.0,2017073
BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,20170831,60.98,82.94,71.24,6.039738,360.0,19.908766,0.0,0.0,0.01181103,2017083
SALISBURY WICOMICO RGNL AP,MD,38.3406,-75.5103,14.6,20170702,69.08,93.92,81.5,3.802798,350.0,17.000744,0.0,0.0,0.0,2017070
SALISBURY WICOMICO RGNL AP,MD,38.3406,-75.5103,14.6,20170725,66.92,82.04,75.74,6.71082,350.0,31.988242,0.0,0.0,0.18110246,2017072
SALISBURY WICOMICO RGNL AP,MD,38.3406,-75.5103,14.6,20170823,69.08,86.0,79.52,5.368656,350.0,17.000744,0.0,0.0,0.01181103,2017082
BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,20170220,37.04,64.04,53.42,6.487126,350.0,25.053728,0.0,0.0,0.0,2017022
BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,20170519,66.92,91.94,79.88,7.381902,350.0,35.119958,0.0,0.0,0.35826791,2017051
BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,20170621,66.92,89.06,78.26,6.934514,350.0,25.948504,0.0,0.0,0.0,2017062
BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,20170707,71.96,89.06,77.54,6.934514,350.0,25.053728,0.0,0.0,0.22834658,2017070
BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,20170716,62.06,89.06,76.46,3.802798,350.0,18.119214,0.0,0.0,0.0,2017071
BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,20170721,75.02,93.02,86.18,4.697574,350.0,17.000744,0.0,0.0,0.0,2017072
BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,20170813,66.02,84.02,73.76,4.47388,350.0,18.119214,0.0,0.0,0.0,2017081
BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,20170816,68.0,89.06,76.82,2.908022,350.0,17.000744,0.0,0.0,0.0,2017081
BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,20170820,64.94,86.0,75.02,3.35541,350.0,19.01399,0.0,0.0,0.0,2017082
BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,20170830,57.02,78.08,66.74,4.250186,350.0,17.000744,0.0,0.0,0.0,2017083
BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,20170909,50.0,71.06,61.88,5.368656,350.0,23.040482,0.0,0.0,0.0,2017090
SALISBURY WICOMICO RGNL AP,MD,38.3406,-75.5103,14.6,20170115,35.06,44.96,38.12,5.144962,340.0,17.000744,,0.0,0.0,2017011
SALISBURY WICOMICO RGNL AP,MD,38.3406,-75.5103,14.6,20170118,46.94,55.04,52.88,7.605596,340.0,21.027236,,0.0,0.0,2017011
SALISBURY WICOMICO RGNL AP,MD,38.3406,-75.5103,14.6,20170119,32.0,51.08,46.22,4.026492,340.0,14.092722,0.0,0.0,0.0,2017011
