station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,20170321,21.2,46.04,34.52,3.802798,360.0,19.908766,0.0,7.9921303,0.0,2017032
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,20170411,35.96,77.0,56.12,5.368656,360.0,23.935258,0.0,0.0,0.0,2017041
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,20170414,30.2,57.92,44.78,8.500372,360.0,27.066974,0.0,0.0,0.0,2017041
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,20170515,44.96,48.92,46.58,15.211192,360.0,34.001488,0.0,0.0,0.20078751,2017051
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,20170527,44.96,64.04,52.7,8.500372,360.0,23.935258,0.0,0.0,0.0393701,2017052
PORTLAND INTL JETPORT,ME,43.6497,-70.3003,13.7,20170211,7.16,15.26,9.86,11.1847,360.0,23.935258,5.9842552,9.055123,0.20866153,2017021
PORTLAND INTL JETPORT,ME,43.6497,-70.3003,13.7,20170325,29.12,42.08,36.5,6.263432,360.0,16.105968,0.0,5.118113,0.0,2017032
PORTLAND INTL JETPORT,ME,43.6497,-70.3003,13.7,20170519,53.06,84.92,75.38,14.092722,360.0,36.014734,0.0,0.0,0.0,2017051
PORTLAND INTL JETPORT,ME,43.6497,-70.3003,13.7,20170520,46.94,68.0,57.02,8.276678,360.0,21.922012,0.0,0.0,0.0,2017052
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,20170104,31.1,35.06,32.54,6.71082,350.0,23.935258,0.1181103,7.9921303,0.57086645,2017010
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,20170107,-0.76,16.16,8.78,4.026492,350.0,17.000744,0.7086618,7.9921303,0.01181103,2017010
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,20170209,7.16,27.14,18.86,15.65858,350.0,34.001488,3.8976399,2.9921276,0.22834658,2017020
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,20170213,19.22,25.16,20.48,22.3694,350.0,53.015478,21.4960746,17.9921357,0.90157529,2017021
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,20170214,0.14,27.14,19.22,5.144962,350.0,27.96175,0.0,30.9842687,0.0,2017021
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,20170220,21.2,37.94,34.88,12.750558,350.0,27.96175,0.0,20.9842633,0.0,2017022
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,20170306,7.16,37.04,20.48,5.368656,350.0,19.908766,0.0,0.0,0.0,2017030
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,20170510,39.02,53.06,45.32,8.500372,350.0,23.040482,0.0,0.0,0.1181103,2017051
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,20170521,35.06,71.06,55.94,6.487126,350.0,21.027236,0.0,0.0,0.0,2017052
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,20170712,62.06,82.04,70.7,5.816044,350.0,21.922012,0.0,0.0,0.0,2017071
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,20170902,48.02,73.94,59.9,6.263432,350.0,19.908766,0.0,0.0,0.0,2017090
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,20170906,60.08,68.0,66.02,5.368656,350.0,19.01399,0.0,0.0,0.37007894,2017090
PORTLAND INTL JETPORT,ME,43.6497,-70.3003,13.7,20170220,25.16,42.08,38.3,12.079476,350.0,31.988242,0.0,9.842525,0.0,2017022
PORTLAND INTL JETPORT,ME,43.6497,-70.3003,13.7,20170304,7.16,17.24,14.18,16.553356,350.0,42.949248,0.0,0.0,0.0,2017030
PORTLAND INTL JETPORT,ME,43.6497,-70.3003,13.7,20170414,32.0,60.98,46.76,7.605596,350.0,21.922012,0.0,0.0,0.0,2017041
PORTLAND INTL JETPORT,ME,43.6497,-70.3003,13.7,20170515,42.98,57.02,48.74,10.961006,350.0,36.014734,0.0,0.0,0.0393701,2017051
PORTLAND INTL JETPORT,ME,43.6497,-70.3003,13.7,20170613,64.94,91.04,81.5,8.94776,350.0,29.08022,0.0,0.0,0.0,2017061
PORTLAND INTL JETPORT,ME,43.6497,-70.3003,13.7,20170816,55.94,82.04,72.5,8.052984,350.0,23.935258,0.0,0.0,0.0,2017081
PORTLAND INTL JETPORT,ME,43.6497,-70.3003,13.7,20170906,59.0,71.96,65.48,5.816044,350.0,27.066974,0.0,0.0,0.61811057,2017090
