station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
FLINT BISHOP INTL AP,MI,42.9667,-83.7494,234.7,20170605,51.98,68.0,63.32,10.289924,360.0,25.053728,0.0,0.0,0.05118113,2017060
LANSING CAPITAL CITY AP,MI,42.7803,-84.5789,256.3,20170322,17.24,35.96,26.42,6.71082,360.0,18.119214,0.0,0.0,0.0,2017032
LANSING CAPITAL CITY AP,MI,42.7803,-84.5789,256.3,20170503,35.06,60.98,46.58,5.368656,360.0,18.119214,0.0,0.0,0.0,2017050
LANSING CAPITAL CITY AP,MI,42.7803,-84.5789,256.3,20170815,62.96,82.04,71.78,2.908022,360.0,12.079476,0.0,0.0,0.35039389,2017081
MUSKEGON CO AP,MI,43.1711,-86.2367,190.5,20170908,48.92,71.06,58.46,5.144962,360.0,18.119214,0.0,0.0,0.0,2017090
SAULT STE MARIE SANDERSON FLD,MI,46.4794,-84.3572,220.1,20170406,35.06,46.04,41.72,12.30317,360.0,31.988242,0.0,0.0,0.0,2017040
HOUGHTON LK ROSCOMMON AP,MI,44.3592,-84.6739,350.8,20170320,32.0,53.96,40.46,5.816044,360.0,19.01399,0.0,0.0,0.05118113,2017032
HOUGHTON LK ROSCOMMON AP,MI,44.3592,-84.6739,350.8,20170526,51.98,69.08,58.82,5.59235,360.0,17.000744,0.0,0.0,0.0,2017052
HOUGHTON LK ROSCOMMON AP,MI,44.3592,-84.6739,350.8,20170706,64.04,87.08,74.66,5.816044,360.0,46.97574,0.0,0.0,0.94881941,2017070
HOUGHTON LK ROSCOMMON AP,MI,44.3592,-84.6739,350.8,20170716,55.94,75.92,69.26,7.605596,360.0,19.908766,0.0,0.0,0.0,2017071
HOUGHTON LK ROSCOMMON AP,MI,44.3592,-84.6739,350.8,20170723,60.08,78.08,68.0,6.263432,360.0,31.093466,0.0,0.0,0.31889781,2017072
DETROIT METRO AP,MI,42.2314,-83.3308,192.3,20170216,26.24,33.98,28.22,8.94776,360.0,23.935258,0.0,0.0,0.0,2017021
DETROIT METRO AP,MI,42.2314,-83.3308,192.3,20170322,22.1,39.02,30.56,8.500372,360.0,29.974996,0.0,0.0,0.0,2017032
DETROIT METRO AP,MI,42.2314,-83.3308,192.3,20170325,41.0,46.94,48.56,10.06623,360.0,25.053728,0.0,0.0,0.01181103,2017032
DETROIT METRO AP,MI,42.2314,-83.3308,192.3,20170414,44.96,64.04,52.34,8.94776,360.0,21.027236,0.0,0.0,0.0,2017041
DETROIT METRO AP,MI,42.2314,-83.3308,192.3,20170512,44.06,66.92,55.22,5.816044,360.0,19.908766,0.0,0.0,0.0,2017051
DETROIT METRO AP,MI,42.2314,-83.3308,192.3,20170605,55.94,71.06,67.82,10.289924,360.0,25.053728,0.0,0.0,0.0,2017060
DETROIT METRO AP,MI,42.2314,-83.3308,192.3,20170802,66.02,89.06,76.28,7.605596,360.0,25.948504,0.0,0.0,0.25984266,2017080
