station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
DULUTH,MN,46.8369,-92.2097,435.3,20170314,-2.74,29.12,12.92,4.921268,360.0,19.01399,0.0,3.93701,0.0,2017031
DULUTH,MN,46.8369,-92.2097,435.3,20170723,51.98,64.94,57.74,3.802798,360.0,16.105968,0.0,0.0,0.0,2017072
INTL FALLS INTL AP,MN,48.5614,-93.3981,360.6,20170228,15.26,29.12,23.0,7.82929,360.0,18.119214,0.3149608,9.842525,0.01181103,2017022
INTL FALLS INTL AP,MN,48.5614,-93.3981,360.6,20170301,5.18,24.26,16.52,6.039738,360.0,18.119214,0.0,9.842525,0.0,2017030
INTL FALLS INTL AP,MN,48.5614,-93.3981,360.6,20170405,22.1,46.94,36.32,6.039738,360.0,21.922012,0.0,0.0,0.0,2017040
INTL FALLS INTL AP,MN,48.5614,-93.3981,360.6,20170420,37.04,55.94,44.6,6.71082,360.0,21.922012,0.0,0.0,0.0,2017042
INTL FALLS INTL AP,MN,48.5614,-93.3981,360.6,20170505,37.04,69.98,52.34,7.605596,360.0,27.066974,0.0,0.0,0.0,2017050
INTL FALLS INTL AP,MN,48.5614,-93.3981,360.6,20170512,28.22,62.96,46.94,4.921268,360.0,19.908766,0.0,0.0,0.0,2017051
INTL FALLS INTL AP,MN,48.5614,-93.3981,360.6,20170625,42.98,62.06,54.32,7.381902,360.0,21.922012,0.0,0.0,0.35826791,2017062
INTL FALLS INTL AP,MN,48.5614,-93.3981,360.6,20170704,53.96,84.02,69.26,5.816044,360.0,52.120702,0.0,0.0,1.05118167,2017070
INTL FALLS INTL AP,MN,48.5614,-93.3981,360.6,20170709,50.0,80.96,64.22,2.013246,360.0,14.092722,0.0,0.0,0.0,2017070
INTL FALLS INTL AP,MN,48.5614,-93.3981,360.6,20170811,41.0,77.0,60.8,1.11847,360.0,12.974252,0.0,0.0,0.0,2017081
INTL FALLS INTL AP,MN,48.5614,-93.3981,360.6,20170817,48.92,69.08,61.52,5.368656,360.0,18.119214,0.0,0.0,0.6299216,2017081
MINNEAPOLIS/ST PAUL AP,MN,44.8831,-93.2289,265.8,20170125,29.12,32.0,30.92,13.869028,360.0,25.948504,2.2047256,1.181103,0.09055123,2017012
MINNEAPOLIS/ST PAUL AP,MN,44.8831,-93.2289,265.8,20170215,19.22,35.96,27.86,7.605596,360.0,23.935258,0.0,0.0,0.0,2017021
MINNEAPOLIS/ST PAUL AP,MN,44.8831,-93.2289,265.8,20170502,37.94,62.06,45.86,10.513618,360.0,31.988242,0.0,0.0,0.03149608,2017050
MINNEAPOLIS/ST PAUL AP,MN,44.8831,-93.2289,265.8,20170706,75.92,93.92,83.48,8.94776,360.0,31.093466,0.0,0.0,0.0,2017070
MINNEAPOLIS/ST PAUL AP,MN,44.8831,-93.2289,265.8,20170823,55.94,77.0,66.56,6.934514,360.0,21.922012,0.0,0.0,0.0,2017082
ROCHESTER INTL AP,MN,43.9042,-92.4917,397.5,20170215,19.22,32.0,26.42,9.618842,360.0,23.935258,0.0,0.0,0.0,2017021
ROCHESTER INTL AP,MN,43.9042,-92.4917,397.5,20170327,37.04,44.96,39.74,5.368656,360.0,12.079476,0.0,0.0,0.0,2017032
ROCHESTER INTL AP,MN,43.9042,-92.4917,397.5,20170404,41.0,57.02,47.66,11.1847,360.0,25.948504,0.0,0.0,0.27952771,2017040
ROCHESTER INTL AP,MN,43.9042,-92.4917,397.5,20170406,33.08,51.08,41.72,14.763804,360.0,35.119958,0.0,0.0,0.0,2017040
