station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
COLUMBIA RGNL AP,MO,38.8169,-92.2183,272.2,20170122,39.02,50.0,48.38,14.092722,360.0,29.08022,0.0,0.0,0.09055123,2017012
COLUMBIA RGNL AP,MO,38.8169,-92.2183,272.2,20170212,35.96,55.04,50.54,12.526864,360.0,31.988242,0.0,0.0,0.0,2017021
COLUMBIA RGNL AP,MO,38.8169,-92.2183,272.2,20170313,30.2,39.02,36.68,12.526864,360.0,27.066974,0.0,0.0,0.09842525,2017031
COLUMBIA RGNL AP,MO,38.8169,-92.2183,272.2,20170812,59.0,80.06,70.34,4.697574,360.0,14.987498,0.0,0.0,0.0,2017081
COLUMBIA RGNL AP,MO,38.8169,-92.2183,272.2,20170913,53.96,84.92,67.82,5.368656,360.0,17.000744,0.0,0.0,0.0,2017091
KANSAS CITY INTL AP,MO,39.2972,-94.7306,306.3,20170122,32.0,46.04,43.16,10.737312,360.0,23.935258,0.0,0.0,0.0,2017012
KANSAS CITY INTL AP,MO,39.2972,-94.7306,306.3,20170211,46.94,66.92,58.28,8.500372,360.0,21.027236,0.0,0.0,0.0,2017021
KANSAS CITY INTL AP,MO,39.2972,-94.7306,306.3,20170420,50.0,69.98,63.86,10.289924,360.0,23.935258,0.0,0.0,0.24015761,2017042
KANSAS CITY INTL AP,MO,39.2972,-94.7306,306.3,20170524,48.02,66.02,55.04,8.500372,360.0,25.053728,0.0,0.0,0.0,2017052
KANSAS CITY INTL AP,MO,39.2972,-94.7306,306.3,20170713,71.06,87.98,80.96,9.618842,360.0,42.054472,0.0,0.0,0.11023628,2017071
KANSAS CITY INTL AP,MO,39.2972,-94.7306,306.3,20170818,62.06,89.06,74.12,7.82929,360.0,31.988242,0.0,0.0,0.09055123,2017081
KANSAS CITY INTL AP,MO,39.2972,-94.7306,306.3,20170821,68.0,82.94,76.82,10.737312,360.0,44.962494,0.0,0.0,4.07874236,2017082
ST JOSEPH ROSECRANS AP,MO,39.7736,-94.9233,249.3,20170208,13.1,27.14,24.26,13.42164,360.0,33.106712,,,0.0,2017020
ST JOSEPH ROSECRANS AP,MO,39.7736,-94.9233,249.3,20170212,21.2,51.98,46.94,12.974252,360.0,33.106712,,,0.0,2017021
ST JOSEPH ROSECRANS AP,MO,39.7736,-94.9233,249.3,20170313,24.26,41.0,33.98,16.553356,360.0,38.02798,,,0.0,2017031
ST JOSEPH ROSECRANS AP,MO,39.7736,-94.9233,249.3,20170318,33.98,64.04,49.28,5.368656,360.0,19.908766,,,0.0,2017031
ST JOSEPH ROSECRANS AP,MO,39.7736,-94.9233,249.3,20170411,39.02,66.02,48.2,6.263432,360.0,19.01399,,,0.0,2017041
ST LOUIS LAMBERT INTL AP,MO,38.7525,-90.3736,161.8,20170122,39.92,55.04,51.98,11.408394,360.0,29.08022,0.0,0.0,0.0,2017012
ST LOUIS LAMBERT INTL AP,MO,38.7525,-90.3736,161.8,20170202,26.24,37.94,32.72,8.500372,360.0,23.040482,0.0,0.0,0.0,2017020
ST LOUIS LAMBERT INTL AP,MO,38.7525,-90.3736,161.8,20170313,32.0,39.92,37.22,10.289924,360.0,23.935258,1.2992133,1.181103,0.18110246,2017031
ST LOUIS LAMBERT INTL AP,MO,38.7525,-90.3736,161.8,20170416,60.08,77.0,73.22,6.934514,360.0,21.027236,0.0,0.0,0.24015761,2017041
ST LOUIS LAMBERT INTL AP,MO,38.7525,-90.3736,161.8,20170507,48.02,77.0,62.06,4.026492,360.0,19.01399,0.0,0.0,0.0,2017050
ST LOUIS LAMBERT INTL AP,MO,38.7525,-90.3736,161.8,20170606,66.02,82.04,75.92,11.1847,360.0,21.922012,0.0,0.0,0.0,2017060
ST LOUIS LAMBERT INTL AP,MO,38.7525,-90.3736,161.8,20170607,59.0,82.04,73.04,8.052984,360.0,29.974996,0.0,0.0,0.0,2017060
ST LOUIS LAMBERT INTL AP,MO,38.7525,-90.3736,161.8,20170714,73.94,91.94,82.4,6.934514,360.0,17.000744,0.0,0.0,0.16929143,2017071
ST LOUIS LAMBERT INTL AP,MO,38.7525,-90.3736,161.8,20170807,64.94,80.96,71.6,6.71082,360.0,21.027236,0.0,0.0,0.0,2017080
ST LOUIS LAMBERT INTL AP,MO,38.7525,-90.3736,161.8,20170811,69.08,84.02,77.54,8.052984,360.0,27.066974,0.0,0.0,0.0393701,2017081
ST LOUIS LAMBERT INTL AP,MO,38.7525,-90.3736,161.8,20170827,64.04,87.08,74.84,5.368656,360.0,16.105968,0.0,0.0,0.0,2017082
SPRINGFIELD,MO,37.2353,-93.4003,389.5,20170411,39.92,68.0,53.42,5.144962,360.0,14.987498,0.0,0.0,0.0,2017041
SPRINGFIELD,MO,37.2353,-93.4003,389.5,20170420,57.92,73.04,67.82,7.605596,360.0,21.922012,0.0,0.0,0.98031549,2017042
SPRINGFIELD,MO,37.2353,-93.4003,389.5,20170530,55.94,77.0,68.54,5.368656,360.0,25.053728,0.0,0.0,0.01968505,2017053
SPRINGFIELD,MO,37.2353,-93.4003,389.5,20170625,60.08,82.04,70.34,5.59235,360.0,17.000744,0.0,0.0,0.0,2017062
SPRINGFIELD,MO,37.2353,-93.4003,389.5,20170901,57.92,78.98,68.18,6.71082,360.0,19.01399,0.0,0.0,0.0,2017090
SPRINGFIELD,MO,37.2353,-93.4003,389.5,20170904,68.0,89.96,77.72,9.842536,360.0,25.948504,0.0,0.0,0.0,2017090
VICHY ROLLA NATIONAL AP,MO,38.1311,-91.7683,343.5,20170202,21.2,35.96,30.74,8.052984,360.0,21.922012,,,0.0,2017020
VICHY ROLLA NATIONAL AP,MO,38.1311,-91.7683,343.5,20170212,27.14,55.04,51.26,10.513618,360.0,29.974996,,,0.0,2017021
VICHY ROLLA NATIONAL AP,MO,38.1311,-91.7683,343.5,20170309,41.0,73.94,55.94,12.079476,360.0,36.90951,,,0.09055123,2017030
VICHY ROLLA NATIONAL AP,MO,38.1311,-91.7683,343.5,20170615,62.06,87.98,76.28,8.94776,360.0,40.041226,,,0.98818951,2017061
VICHY ROLLA NATIONAL AP,MO,38.1311,-91.7683,343.5,20170626,50.0,78.98,65.48,4.697574,360.0,29.08022,,,0.05905515,2017062
VICHY ROLLA NATIONAL AP,MO,38.1311,-91.7683,343.5,20170715,64.04,86.0,77.36,5.59235,360.0,19.01399,,,0.0,2017071
VICHY ROLLA NATIONAL AP,MO,38.1311,-91.7683,343.5,20170728,66.92,86.0,76.82,7.82929,360.0,21.922012,,,0.0,2017072
COLUMBIA RGNL AP,MO,38.8169,-92.2183,272.2,20170208,19.22,33.98,31.46,12.526864,350.0,29.08022,0.0,0.0,0.0,2017020
COLUMBIA RGNL AP,MO,38.8169,-92.2183,272.2,20170215,27.14,48.92,39.74,8.94776,350.0,23.040482,0.0,0.0,0.0,2017021
COLUMBIA RGNL AP,MO,38.8169,-92.2183,272.2,20170318,39.02,62.06,52.52,9.171454,350.0,25.053728,0.0,0.0,0.0,2017031
COLUMBIA RGNL AP,MO,38.8169,-92.2183,272.2,20170505,41.0,71.96,56.48,10.513618,350.0,35.119958,0.0,0.0,0.0,2017050
COLUMBIA RGNL AP,MO,38.8169,-92.2183,272.2,20170522,48.92,73.94,61.52,8.276678,350.0,29.08022,0.0,0.0,0.01968505,2017052
COLUMBIA RGNL AP,MO,38.8169,-92.2183,272.2,20170802,64.04,89.06,77.0,5.368656,350.0,21.922012,0.0,0.0,0.0,2017080
COLUMBIA RGNL AP,MO,38.8169,-92.2183,272.2,20170827,62.06,80.96,71.6,5.59235,350.0,21.027236,0.0,0.0,0.0393701,2017082
KANSAS CITY INTL AP,MO,39.2972,-94.7306,306.3,20170112,17.24,30.2,22.46,9.618842,350.0,21.922012,0.0,0.0,0.0,2017011
KANSAS CITY INTL AP,MO,39.2972,-94.7306,306.3,20170221,42.98,71.96,57.74,6.263432,350.0,14.987498,0.0,0.0,0.0,2017022
KANSAS CITY INTL AP,MO,39.2972,-94.7306,306.3,20170314,23.18,33.98,26.96,8.276678,350.0,14.987498,0.0,0.0,0.01181103,2017031
KANSAS CITY INTL AP,MO,39.2972,-94.7306,306.3,20170504,37.94,68.0,52.16,11.632088,350.0,33.106712,0.0,0.0,0.0,2017050
KANSAS CITY INTL AP,MO,39.2972,-94.7306,306.3,20170616,66.02,91.04,78.62,11.1847,350.0,65.094954,0.0,0.0,0.75984293,2017061
KANSAS CITY INTL AP,MO,39.2972,-94.7306,306.3,20170804,51.98,78.08,66.38,4.921268,350.0,18.119214,0.0,0.0,0.0,2017080
KANSAS CITY INTL AP,MO,39.2972,-94.7306,306.3,20170820,68.0,87.08,78.26,12.30317,350.0,46.97574,0.0,0.0,0.75984293,2017082
