station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
JACKSON INTL AP,MS,32.3206,-90.0778,100.6,20170104,33.98,57.02,50.72,9.171454,360.0,25.053728,0.0,0.0,0.0,2017010
JACKSON INTL AP,MS,32.3206,-90.0778,100.6,20170105,33.08,50.0,40.82,4.697574,360.0,21.922012,0.0,0.0,0.01181103,2017010
JACKSON INTL AP,MS,32.3206,-90.0778,100.6,20170107,17.24,33.08,24.44,12.079476,360.0,29.974996,0.0,0.9842525,0.0,2017010
JACKSON INTL AP,MS,32.3206,-90.0778,100.6,20170203,37.94,55.04,46.76,10.289924,360.0,21.922012,0.0,0.0,0.0,2017020
JACKSON INTL AP,MS,32.3206,-90.0778,100.6,20170522,64.94,73.94,68.36,3.131716,360.0,12.974252,0.0,0.0,1.20078805,2017052
JACKSON INTL AP,MS,32.3206,-90.0778,100.6,20170624,71.96,87.98,78.26,5.144962,360.0,16.105968,0.0,0.0,0.0,2017062
JACKSON INTL AP,MS,32.3206,-90.0778,100.6,20170905,69.08,91.04,78.98,4.47388,360.0,27.96175,0.0,0.0,0.20078751,2017090
JACKSON INTL AP,MS,32.3206,-90.0778,100.6,20170909,60.98,84.92,71.42,8.052984,360.0,23.040482,0.0,0.0,0.0,2017090
HATTIESBURG CHAIN MUNI AP,MS,31.2819,-89.2531,46.0,20170108,20.12,42.98,29.12,3.802798,360.0,14.092722,0.0,0.0,0.0,2017010
HATTIESBURG CHAIN MUNI AP,MS,31.2819,-89.2531,46.0,20170222,51.98,71.06,58.46,3.579104,360.0,17.000744,0.0,0.0,0.0,2017022
HATTIESBURG CHAIN MUNI AP,MS,31.2819,-89.2531,46.0,20170310,55.94,75.92,69.08,3.579104,360.0,17.000744,0.0,0.0,0.05905515,2017031
HATTIESBURG CHAIN MUNI AP,MS,31.2819,-89.2531,46.0,20170319,48.02,82.94,64.58,2.013246,360.0,12.974252,0.0,0.0,0.0,2017031
HATTIESBURG CHAIN MUNI AP,MS,31.2819,-89.2531,46.0,20170528,71.06,86.0,79.16,4.921268,360.0,38.922756,0.0,0.0,0.16929143,2017052
HATTIESBURG CHAIN MUNI AP,MS,31.2819,-89.2531,46.0,20170726,71.96,93.92,81.32,2.684328,360.0,12.974252,0.0,0.0,0.0,2017072
HATTIESBURG CHAIN MUNI AP,MS,31.2819,-89.2531,46.0,20170906,62.06,80.06,74.66,5.368656,360.0,18.119214,0.0,0.0,0.0,2017090
HATTIESBURG CHAIN MUNI AP,MS,31.2819,-89.2531,46.0,20170908,55.04,82.04,67.82,3.579104,360.0,18.119214,0.0,0.0,0.0,2017090
HATTIESBURG CHAIN MUNI AP,MS,31.2819,-89.2531,46.0,20170911,62.06,80.06,69.44,10.289924,360.0,29.974996,0.0,0.0,0.0,2017091
MERIDIAN KEY FLD,MS,32.3347,-88.7442,89.6,20170104,35.06,57.02,52.88,9.618842,360.0,25.948504,0.0,0.0,0.0,2017010
MERIDIAN KEY FLD,MS,32.3347,-88.7442,89.6,20170105,32.0,53.96,42.26,4.697574,360.0,17.000744,0.0,0.0,0.0393701,2017010
MERIDIAN KEY FLD,MS,32.3347,-88.7442,89.6,20170106,27.14,39.92,37.4,13.869028,360.0,25.948504,0.787402,0.0,0.55905542,2017010
MERIDIAN KEY FLD,MS,32.3347,-88.7442,89.6,20170107,20.12,35.96,27.32,12.079476,360.0,27.96175,0.0,0.0,0.0,2017010
MERIDIAN KEY FLD,MS,32.3347,-88.7442,89.6,20170202,46.04,77.0,58.46,8.276678,360.0,25.053728,0.0,0.0,0.0,2017020
MERIDIAN KEY FLD,MS,32.3347,-88.7442,89.6,20170424,51.08,73.04,59.36,5.368656,360.0,21.922012,0.0,0.0,0.0,2017042
MERIDIAN KEY FLD,MS,32.3347,-88.7442,89.6,20170528,71.96,86.0,79.7,6.71082,360.0,34.001488,0.0,0.0,0.0,2017052
MERIDIAN KEY FLD,MS,32.3347,-88.7442,89.6,20170812,75.02,93.02,82.58,2.908022,360.0,19.01399,0.0,0.0,0.01968505,2017081
MERIDIAN KEY FLD,MS,32.3347,-88.7442,89.6,20170902,64.94,89.06,75.92,1.789552,360.0,12.079476,0.0,0.0,0.0,2017090
MERIDIAN KEY FLD,MS,32.3347,-88.7442,89.6,20170906,59.0,82.04,74.12,6.934514,360.0,23.935258,0.0,0.0,0.0,2017090
GREENVILLE ASOS,MS,33.4825,-90.9853,39.0,20170104,32.0,48.02,44.24,12.974252,360.0,29.974996,0.0,0.0,0.0,2017010
GREENVILLE ASOS,MS,33.4825,-90.9853,39.0,20170106,21.2,31.1,28.22,18.566602,360.0,31.988242,,0.0,0.0,2017010
GREENVILLE ASOS,MS,33.4825,-90.9853,39.0,20170203,33.08,46.94,40.28,12.526864,360.0,23.935258,0.0,0.0,0.0,2017020
GREENVILLE ASOS,MS,33.4825,-90.9853,39.0,20170209,32.0,48.02,42.44,8.94776,360.0,27.066974,0.0,0.0,0.0,2017020
GREENVILLE ASOS,MS,33.4825,-90.9853,39.0,20170307,44.96,68.0,62.42,10.737312,360.0,36.90951,0.0,0.0,0.55905542,2017030
GREENVILLE ASOS,MS,33.4825,-90.9853,39.0,20170313,35.96,48.02,42.62,6.263432,360.0,27.96175,0.0,0.0,0.05905515,2017031
GREENVILLE ASOS,MS,33.4825,-90.9853,39.0,20170511,64.04,82.94,72.86,9.618842,360.0,29.974996,0.0,0.0,0.01181103,2017051
GREENVILLE ASOS,MS,33.4825,-90.9853,39.0,20170512,64.04,82.04,70.16,10.06623,360.0,25.053728,0.0,0.0,0.1181103,2017051
GREENVILLE ASOS,MS,33.4825,-90.9853,39.0,20170608,57.92,82.94,71.24,6.487126,360.0,19.01399,0.0,0.0,0.0,2017060
GREENVILLE ASOS,MS,33.4825,-90.9853,39.0,20170906,55.04,78.98,69.44,7.82929,360.0,25.053728,0.0,0.0,0.0,2017090
GREENWOOD LEFLORE AP,MS,33.4964,-90.0867,40.5,20170103,51.08,66.92,60.8,7.605596,360.0,27.066974,0.0,0.0,0.0,2017010
GREENWOOD LEFLORE AP,MS,33.4964,-90.0867,40.5,20170104,30.2,50.0,46.76,8.052984,360.0,25.053728,0.0,0.0,0.0,2017010
GREENWOOD LEFLORE AP,MS,33.4964,-90.0867,40.5,20170106,22.1,33.08,30.92,11.855782,360.0,27.066974,,0.0,0.01181103,2017010
GREENWOOD LEFLORE AP,MS,33.4964,-90.0867,40.5,20170203,30.2,51.08,42.8,8.052984,360.0,21.027236,0.0,0.0,0.0,2017020
GREENWOOD LEFLORE AP,MS,33.4964,-90.0867,40.5,20170208,42.98,78.98,64.4,10.06623,360.0,36.014734,,0.0,0.0,2017020
