station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170101,17.96,35.42,26.6,,,,0.393701,3.149608,0.0393701,2017010
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170102,16.7,30.02,23.36,,,,0.0,2.755907,0.0,2017010
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170103,11.84,26.78,19.22,,,,0.0,2.755907,0.0,2017010
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170104,25.7,43.7,34.7,,,,0.7086618,2.755907,0.73228386,2017010
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170105,21.56,35.42,28.4,,,,0.1574804,1.574804,0.00787402,2017010
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170106,9.14,23.9,16.52,,,,0.5511814,1.968505,0.0393701,2017010
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170107,4.82,14.18,9.5,,,,5.2755934,1.968505,0.4330711,2017010
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170108,-3.82,15.98,6.08,,,,5.0393728,10.236226,0.37007894,2017010
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170109,-7.42,4.28,-1.66,,,,0.0,11.023628,0.0,2017010
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170110,-9.76,31.1,10.58,,,,2.362206,11.023628,0.14173236,2017011
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170111,29.84,45.86,37.94,,,,0.0,11.81103,0.11023628,2017011
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170112,32.54,47.3,39.92,,,,0.0,3.93701,0.14960638,2017011
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170113,6.98,46.22,26.6,,,,0.0393701,0.787402,0.02362206,2017011
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170114,2.12,12.02,6.98,,,,0.0,0.787402,0.0,2017011
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170115,3.56,17.96,10.76,,,,0.0,0.787402,0.0,2017011
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170116,0.68,31.46,15.98,,,,0.0,0.787402,0.0,2017011
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170117,10.58,27.86,19.22,,,,0.0,0.787402,0.0,2017011
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170118,8.96,25.34,17.06,,,,0.0,0.787402,0.0,2017011
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170119,17.24,29.66,23.36,,,,2.2047256,0.787402,0.20472452,2017011
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170120,24.62,28.04,26.24,,,,0.3149608,2.362206,0.01574804,2017012
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170121,24.62,30.74,27.68,,,,0.2755907,2.362206,0.01574804,2017012
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170122,24.62,30.38,27.5,,,,0.3149608,2.755907,0.02755907,2017012
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170123,12.38,30.56,21.38,,,,0.0,2.755907,0.0,2017012
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170124,13.82,32.36,23.0,,,,1.2598432,2.755907,1.4173236,2017012
MONCTON INTL A,NB,46.1167,-64.6833,71.0,20170125,32.0,34.7,33.44,,,,0.0,0.787402,0.64566964,2017012
