station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
HICKORY FAA AP,NC,35.7425,-81.3819,348.4,20170322,41.0,62.96,58.64,5.144962,360.0,23.040482,,,0.0,2017032
HICKORY FAA AP,NC,35.7425,-81.3819,348.4,20170513,51.98,73.94,58.46,2.908022,360.0,10.961006,,,0.05118113,2017051
HICKORY FAA AP,NC,35.7425,-81.3819,348.4,20170815,71.96,87.98,77.36,1.789552,360.0,17.000744,,,0.09055123,2017081
HICKORY FAA AP,NC,35.7425,-81.3819,348.4,20170823,69.08,87.98,78.62,2.23694,360.0,18.119214,,,0.0,2017082
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170216,30.2,51.98,39.92,8.724066,360.0,33.106712,0.0,0.0,0.0,2017021
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170217,28.22,68.0,44.06,4.250186,360.0,14.092722,0.0,0.0,0.0,2017021
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170226,28.22,53.96,39.56,7.158208,360.0,25.053728,0.0,0.0,0.0,2017022
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170412,55.94,78.08,66.74,6.934514,360.0,23.040482,0.0,0.0,0.0,2017041
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170528,60.08,78.98,68.72,6.263432,360.0,23.935258,0.0,0.0,0.0787402,2017052
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170709,60.98,84.02,69.62,3.579104,360.0,12.974252,0.0,0.0,0.01968505,2017070
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170813,68.0,82.04,72.5,3.35541,360.0,14.092722,0.0,0.0,0.07086618,2017081
RALEIGH DURHAM INTL AP,NC,35.8922,-78.7819,126.8,20170118,44.96,69.98,62.78,6.487126,360.0,27.066974,0.0,0.0,0.0,2017011
RALEIGH DURHAM INTL AP,NC,35.8922,-78.7819,126.8,20170718,71.06,89.06,78.26,5.144962,360.0,19.908766,0.0,0.0,0.0,2017071
PIEDMONT TRIAD INTL AP,NC,36.0969,-79.9433,271.3,20170319,33.98,57.92,48.2,8.276678,360.0,31.988242,0.0,0.0,0.0,2017031
WILMINGTON INTL AP,NC,34.2675,-77.8997,10.1,20170319,35.96,57.02,52.16,11.855782,360.0,34.001488,0.0,0.0,0.01968505,2017031
ELIZABETH CITY CGAS,NC,36.2606,-76.175,4.0,20170106,33.08,44.06,41.18,12.30317,360.0,23.040482,0.1968505,0.0,0.16141741,2017010
ELIZABETH CITY CGAS,NC,36.2606,-76.175,4.0,20170115,37.94,50.0,44.96,6.934514,360.0,17.000744,,0.0,0.0,2017011
ELIZABETH CITY CGAS,NC,36.2606,-76.175,4.0,20170202,39.02,60.08,50.0,5.368656,360.0,14.092722,0.0,0.0,0.0,2017020
ELIZABETH CITY CGAS,NC,36.2606,-76.175,4.0,20170402,44.06,62.06,54.68,8.276678,360.0,19.908766,0.0,0.0,0.0,2017040
ELIZABETH CITY CGAS,NC,36.2606,-76.175,4.0,20170715,73.94,93.02,83.12,8.052984,360.0,23.935258,0.0,0.0,0.01181103,2017071
ELIZABETH CITY CGAS,NC,36.2606,-76.175,4.0,20170829,66.92,80.96,74.66,13.42164,360.0,38.02798,0.0,0.0,0.18110246,2017082
CHARLOTTE DOUGLAS AP,NC,35.2236,-80.9553,221.9,20170425,53.96,71.06,58.28,6.934514,360.0,18.119214,0.0,0.0,0.01968505,2017042
CHARLOTTE DOUGLAS AP,NC,35.2236,-80.9553,221.9,20170703,71.96,91.94,80.78,4.026492,360.0,27.066974,0.0,0.0,0.92126034,2017070
CHARLOTTE DOUGLAS AP,NC,35.2236,-80.9553,221.9,20170705,69.98,91.04,77.18,3.802798,360.0,31.988242,0.0,0.0,0.07086618,2017070
CHARLOTTE DOUGLAS AP,NC,35.2236,-80.9553,221.9,20170815,71.96,91.04,78.44,3.35541,360.0,29.974996,0.0,0.0,0.94881941,2017081
CHARLOTTE DOUGLAS AP,NC,35.2236,-80.9553,221.9,20170823,73.04,93.02,81.14,4.921268,360.0,33.106712,0.0,0.0,0.01968505,2017082
CHARLOTTE DOUGLAS AP,NC,35.2236,-80.9553,221.9,20170906,53.96,68.0,66.38,5.368656,360.0,21.027236,0.0,0.0,0.90944931,2017090
HICKORY FAA AP,NC,35.7425,-81.3819,348.4,20170203,30.2,46.94,43.34,4.697574,350.0,19.01399,,,0.0393701,2017020
HICKORY FAA AP,NC,35.7425,-81.3819,348.4,20170311,35.06,48.92,42.08,5.368656,350.0,18.119214,,,0.0,2017031
HICKORY FAA AP,NC,35.7425,-81.3819,348.4,20170603,60.98,87.08,73.22,2.460634,350.0,14.987498,,,0.0,2017060
HICKORY FAA AP,NC,35.7425,-81.3819,348.4,20170702,66.92,87.98,75.92,3.131716,350.0,14.092722,,,0.0,2017070
HICKORY FAA AP,NC,35.7425,-81.3819,348.4,20170705,69.08,89.06,77.0,2.684328,350.0,29.08022,,,0.12992133,2017070
HICKORY FAA AP,NC,35.7425,-81.3819,348.4,20170905,60.08,84.92,69.98,4.026492,350.0,23.935258,,,0.37007894,2017090
HICKORY FAA AP,NC,35.7425,-81.3819,348.4,20170908,50.0,77.0,62.42,2.23694,350.0,10.961006,,,0.0,2017090
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170106,25.16,35.06,32.72,12.750558,350.0,27.96175,4.8031522,0.0,0.33858286,2017010
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170113,39.92,69.08,54.14,3.131716,350.0,17.000744,0.0,0.0,0.0,2017011
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170219,37.94,60.98,49.28,11.855782,350.0,31.093466,0.0,0.0,0.0,2017021
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170304,28.22,59.0,39.02,4.250186,350.0,21.922012,0.0,0.0,0.0,2017030
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170328,51.98,73.04,62.06,6.934514,350.0,23.935258,0.0,0.0,0.14960638,2017032
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170507,41.0,62.06,49.28,9.171454,350.0,29.974996,0.0,0.0,0.0,2017050
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170510,53.06,82.94,68.72,6.039738,350.0,21.922012,0.0,0.0,0.0,2017051
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170514,44.96,77.0,62.42,5.816044,350.0,23.040482,0.0,0.0,0.0,2017051
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170526,50.0,78.08,64.04,4.921268,350.0,21.922012,0.0,0.0,0.0,2017052
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170608,59.0,71.96,64.58,3.35541,350.0,14.987498,0.0,0.0,0.07086618,2017060
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170625,57.02,73.94,69.44,8.94776,350.0,27.96175,0.0,0.0,0.0,2017062
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170701,66.02,87.08,74.12,4.250186,350.0,33.106712,0.0,0.0,0.01968505,2017070
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170724,68.0,87.08,75.38,6.934514,350.0,23.935258,0.0,0.0,0.0,2017072
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170805,60.08,82.04,70.52,7.605596,350.0,21.027236,0.0,0.0,0.0,2017080
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170815,69.98,84.92,75.74,4.47388,350.0,19.908766,0.0,0.0,0.0,2017081
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170917,55.04,84.02,68.36,3.802798,350.0,16.105968,0.0,0.0,0.0,2017091
PIEDMONT TRIAD INTL AP,NC,36.0969,-79.9433,271.3,20170531,62.96,82.94,73.04,5.816044,350.0,25.053728,0.0,0.0,0.01181103,2017053
WILMINGTON INTL AP,NC,34.2675,-77.8997,10.1,20170322,39.92,66.92,62.42,11.1847,350.0,38.922756,0.0,0.0,0.01968505,2017032
WILMINGTON INTL AP,NC,34.2675,-77.8997,10.1,20170418,60.98,71.06,66.92,7.82929,350.0,27.96175,0.0,0.0,0.0,2017041
ELIZABETH CITY CGAS,NC,36.2606,-76.175,4.0,20170729,69.08,80.06,76.46,12.974252,350.0,33.106712,0.0,0.0,0.57086645,2017072
ELIZABETH CITY CGAS,NC,36.2606,-76.175,4.0,20170909,57.92,77.0,67.46,10.961006,350.0,23.935258,0.0,0.0,0.0,2017090
CHARLOTTE DOUGLAS AP,NC,35.2236,-80.9553,221.9,20170104,33.98,60.08,52.88,6.263432,350.0,29.08022,0.0,0.0,0.0,2017010
CHARLOTTE DOUGLAS AP,NC,35.2236,-80.9553,221.9,20170203,33.98,53.96,47.66,7.82929,350.0,25.948504,0.0,0.0,0.0393701,2017020
CHARLOTTE DOUGLAS AP,NC,35.2236,-80.9553,221.9,20170318,46.94,71.06,57.2,8.724066,350.0,27.96175,0.0,0.0,0.25984266,2017031
CHARLOTTE DOUGLAS AP,NC,35.2236,-80.9553,221.9,20170515,51.98,87.98,73.04,4.250186,350.0,14.987498,0.0,0.0,0.0,2017051
CHARLOTTE DOUGLAS AP,NC,35.2236,-80.9553,221.9,20170625,64.04,84.02,74.66,5.144962,350.0,18.119214,0.0,0.0,0.0,2017062
CHARLOTTE DOUGLAS AP,NC,35.2236,-80.9553,221.9,20170626,60.98,84.02,72.86,4.47388,350.0,12.974252,0.0,0.0,0.0,2017062
CHARLOTTE DOUGLAS AP,NC,35.2236,-80.9553,221.9,20170715,71.06,93.02,79.52,4.697574,350.0,36.014734,0.0,0.0,0.74015788,2017071
CHARLOTTE DOUGLAS AP,NC,35.2236,-80.9553,221.9,20170729,71.06,89.06,79.88,8.94776,350.0,29.08022,0.0,0.0,0.0,2017072
HICKORY FAA AP,NC,35.7425,-81.3819,348.4,20170222,50.0,59.0,54.14,2.460634,340.0,8.052984,,,0.12992133,2017022
HICKORY FAA AP,NC,35.7425,-81.3819,348.4,20170506,42.98,60.98,53.06,8.052984,340.0,31.988242,,,0.01181103,2017050
HICKORY FAA AP,NC,35.7425,-81.3819,348.4,20170805,64.94,87.08,74.48,3.579104,340.0,14.092722,,,0.0,2017080
HICKORY FAA AP,NC,35.7425,-81.3819,348.4,20170916,62.06,84.92,71.96,1.565858,340.0,10.961006,,,0.0,2017091
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170104,30.2,53.96,47.48,13.42164,340.0,38.922756,0.0,0.0,0.0,2017010
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170105,25.16,44.06,33.98,6.263432,340.0,23.935258,0.0,0.0,0.0,2017010
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170107,13.1,25.16,21.92,18.790296,340.0,38.922756,2.2047256,7.086618,0.20866153,2017010
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170108,8.24,22.1,14.54,12.750558,340.0,36.90951,0.0,5.905515,0.0,2017010
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170123,46.94,53.06,50.54,10.06623,340.0,36.014734,0.0,0.0,1.03149662,2017012
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170127,29.12,39.02,35.24,12.30317,340.0,29.974996,0.0,0.0,0.0,2017012
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170130,26.24,42.98,33.8,7.82929,340.0,40.936002,0.0,0.0,0.0,2017013
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170202,41.0,51.98,49.28,10.513618,340.0,27.066974,0.0,0.0,0.03149608,2017020
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170203,27.14,42.98,41.18,11.408394,340.0,29.974996,0.0,0.0,0.0,2017020
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170204,21.2,42.08,30.38,7.605596,340.0,23.040482,0.0,0.0,0.0,2017020
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170205,30.2,57.92,39.56,8.724066,340.0,21.027236,0.0,0.0,0.0,2017020
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170209,26.24,53.06,43.34,22.3694,340.0,48.988986,0.0,0.0,0.07086618,2017020
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170210,22.1,53.96,33.62,8.276678,340.0,29.08022,0.0,0.0,0.0,2017021
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170213,33.98,55.94,49.46,14.316416,340.0,42.949248,0.0,0.0,0.0,2017021
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170214,26.24,62.06,41.18,4.026492,340.0,19.908766,0.0,0.0,0.0,2017021
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170301,48.02,71.06,61.88,14.092722,340.0,44.067718,0.0,0.0,0.18110246,2017030
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170303,28.22,48.02,38.84,10.513618,340.0,35.119958,0.0,0.0,0.0,2017030
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170308,37.94,64.04,53.78,10.513618,340.0,38.02798,0.0,0.0,0.0,2017030
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170310,37.04,60.08,49.82,13.645334,340.0,40.936002,0.0,0.0,0.20078751,2017031
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170312,30.2,51.08,37.04,8.276678,340.0,21.027236,1.8110246,1.968505,0.20866153,2017031
ASHEVILLE RGNL AP,NC,35.4319,-82.5375,645.3,20170315,19.22,32.0,24.8,19.01399,340.0,44.067718,0.0,0.0,0.0,2017031
