station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
FARGO HECTOR INTL AP,ND,46.9253,-96.8111,274.3,20170223,22.1,31.1,30.38,14.316416,360.0,31.988242,0.0,0.0,0.0,2017022
FARGO HECTOR INTL AP,ND,46.9253,-96.8111,274.3,20170228,18.14,31.1,24.98,15.211192,360.0,27.96175,0.0,0.0,0.0,2017022
FARGO HECTOR INTL AP,ND,46.9253,-96.8111,274.3,20170302,8.24,19.22,14.54,8.94776,360.0,21.922012,0.0,0.0,0.0,2017030
FARGO HECTOR INTL AP,ND,46.9253,-96.8111,274.3,20170310,-2.74,12.2,3.74,10.961006,360.0,23.935258,0.0,0.0,0.0,2017031
FARGO HECTOR INTL AP,ND,46.9253,-96.8111,274.3,20170328,31.1,59.0,42.26,5.144962,360.0,14.092722,0.0,0.0,0.0,2017032
FARGO HECTOR INTL AP,ND,46.9253,-96.8111,274.3,20170331,31.1,62.06,45.14,5.368656,360.0,25.948504,0.0,0.0,0.0,2017033
FARGO HECTOR INTL AP,ND,46.9253,-96.8111,274.3,20170409,27.14,53.06,49.64,17.671826,360.0,40.936002,0.0,0.0,0.0,2017040
FARGO HECTOR INTL AP,ND,46.9253,-96.8111,274.3,20170422,37.04,71.06,53.78,14.316416,360.0,36.014734,0.0,0.0,0.0,2017042
FARGO HECTOR INTL AP,ND,46.9253,-96.8111,274.3,20170517,48.92,57.92,54.5,20.803542,360.0,40.936002,0.0,0.0,0.0,2017051
FARGO HECTOR INTL AP,ND,46.9253,-96.8111,274.3,20170531,44.96,78.08,60.26,9.618842,360.0,29.974996,0.0,0.0,0.0,2017053
FARGO HECTOR INTL AP,ND,46.9253,-96.8111,274.3,20170608,55.04,84.92,70.34,6.487126,360.0,31.988242,0.0,0.0,0.0,2017060
FARGO HECTOR INTL AP,ND,46.9253,-96.8111,274.3,20170701,51.08,78.08,62.78,7.82929,360.0,23.040482,0.0,0.0,0.0,2017070
FARGO HECTOR INTL AP,ND,46.9253,-96.8111,274.3,20170702,46.04,75.92,64.22,6.487126,360.0,18.119214,0.0,0.0,0.0,2017070
