station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
GRAND ISLAND AP,NE,40.9611,-98.3136,560.8,20170111,9.14,41.0,27.5,19.01399,360.0,36.90951,0.1181103,0.0,0.01181103,2017011
GRAND ISLAND AP,NE,40.9611,-98.3136,560.8,20170214,26.24,53.06,36.68,11.408394,360.0,31.093466,0.0,0.0,0.0,2017021
GRAND ISLAND AP,NE,40.9611,-98.3136,560.8,20170217,33.08,71.96,53.06,9.842536,360.0,23.935258,0.0,0.0,0.0,2017021
GRAND ISLAND AP,NE,40.9611,-98.3136,560.8,20170330,35.96,44.06,39.2,14.092722,360.0,35.119958,0.0,0.0,0.0,2017033
GRAND ISLAND AP,NE,40.9611,-98.3136,560.8,20170405,31.1,60.08,48.56,16.553356,360.0,36.014734,0.0,0.0,0.0,2017040
GRAND ISLAND AP,NE,40.9611,-98.3136,560.8,20170617,59.0,80.06,72.14,10.06623,360.0,25.053728,0.0,0.0,0.0,2017061
GRAND ISLAND AP,NE,40.9611,-98.3136,560.8,20170807,57.92,78.08,66.2,5.816044,360.0,19.01399,0.0,0.0,0.0,2017080
LINCOLN MUNI AP,NE,40.8508,-96.7475,362.7,20170102,30.2,37.94,37.04,10.513618,360.0,25.948504,0.0,0.0,0.0,2017010
LINCOLN MUNI AP,NE,40.8508,-96.7475,362.7,20170112,10.22,23.18,15.26,9.171454,360.0,21.922012,0.0,0.0,0.0,2017011
LINCOLN MUNI AP,NE,40.8508,-96.7475,362.7,20170208,12.2,22.1,19.76,13.42164,360.0,29.08022,0.1968505,0.0,0.01181103,2017020
LINCOLN MUNI AP,NE,40.8508,-96.7475,362.7,20170416,44.06,71.06,61.88,8.052984,360.0,21.922012,0.0,0.0,0.0,2017041
LINCOLN MUNI AP,NE,40.8508,-96.7475,362.7,20170504,39.92,71.96,56.3,10.513618,360.0,31.988242,0.0,0.0,0.0,2017050
LINCOLN MUNI AP,NE,40.8508,-96.7475,362.7,20170506,53.96,82.04,67.82,6.71082,360.0,23.040482,0.0,0.0,0.0,2017050
LINCOLN MUNI AP,NE,40.8508,-96.7475,362.7,20170510,53.06,66.02,62.96,8.94776,360.0,23.935258,0.0,0.0,0.38188997,2017051
LINCOLN MUNI AP,NE,40.8508,-96.7475,362.7,20170801,64.94,87.08,75.2,5.59235,360.0,29.08022,0.0,0.0,0.0,2017080
LINCOLN MUNI AP,NE,40.8508,-96.7475,362.7,20170802,64.04,87.98,75.56,4.026492,360.0,12.079476,0.0,0.0,0.0,2017080
LINCOLN MUNI AP,NE,40.8508,-96.7475,362.7,20170803,55.94,77.0,73.94,13.42164,360.0,31.988242,0.0,0.0,0.0,2017080
LINCOLN MUNI AP,NE,40.8508,-96.7475,362.7,20170906,42.98,71.96,58.1,5.59235,360.0,27.066974,0.0,0.0,0.0,2017090
NORFOLK KARL STEFAN AP,NE,41.9856,-97.4353,472.7,20170214,27.14,48.92,37.22,11.408394,360.0,31.093466,0.0,0.0,0.0,2017021
NORFOLK KARL STEFAN AP,NE,41.9856,-97.4353,472.7,20170409,44.06,66.02,57.56,10.513618,360.0,44.067718,0.0,0.0,0.14960638,2017040
NORFOLK KARL STEFAN AP,NE,41.9856,-97.4353,472.7,20170503,42.08,64.04,52.88,6.487126,360.0,23.040482,0.0,0.0,0.05118113,2017050
NORFOLK KARL STEFAN AP,NE,41.9856,-97.4353,472.7,20170506,46.94,78.98,63.32,6.487126,360.0,16.105968,0.0,0.0,0.0,2017050
NORFOLK KARL STEFAN AP,NE,41.9856,-97.4353,472.7,20170716,66.02,95.0,80.06,5.816044,360.0,14.092722,0.0,0.0,0.0,2017071
