station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,20170523,48.92,71.06,57.56,4.47388,360.0,21.027236,0.0,0.0,0.0,2017052
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,20170526,48.92,62.06,53.24,6.71082,360.0,23.935258,0.0,0.0,1.18897702,2017052
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,20170531,51.98,73.04,59.54,5.816044,360.0,21.922012,0.0,0.0,0.14173236,2017053
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,20170827,42.98,75.92,59.36,3.131716,360.0,12.974252,0.0,0.0,0.0,2017082
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,20170830,50.0,75.02,62.42,2.013246,360.0,17.000744,0.0,0.0,0.0,2017083
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,20170107,6.26,19.22,13.64,3.35541,350.0,12.974252,1.4173236,9.842525,0.11023628,2017010
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,20170119,26.24,39.92,31.46,2.013246,350.0,16.105968,0.0,11.81103,0.0,2017011
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,20170514,39.92,50.0,45.14,9.395148,350.0,27.066974,0.0,0.0,0.88976426,2017051
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,20170607,48.02,78.08,59.0,4.026492,350.0,19.908766,0.0,0.0,0.18897648,2017060
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,20170712,60.98,87.98,73.58,2.908022,350.0,19.01399,0.0,0.0,0.03149608,2017071
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,20170305,6.26,29.12,14.36,15.434886,340.0,36.014734,0.0,7.87402,0.0,2017030
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,20170310,18.14,33.08,31.46,5.59235,340.0,31.093466,0.3149608,7.086618,0.01181103,2017031
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,20170730,46.04,82.04,64.76,4.250186,340.0,21.027236,0.0,0.0,0.0,2017073
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,20170808,55.94,78.08,66.92,3.131716,340.0,21.922012,0.0,0.0,0.29133874,2017080
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,20170106,9.14,28.22,24.62,3.802798,330.0,16.105968,0.1968505,11.023628,0.01181103,2017010
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,20170108,-0.76,20.12,14.0,7.158208,330.0,23.935258,0.0,11.81103,0.0,2017010
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,20170109,-4.9,19.22,8.96,3.802798,330.0,19.908766,0.0,11.023628,0.0,2017010
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,20170115,10.22,33.98,22.1,4.697574,330.0,23.935258,0.0,7.87402,0.0,2017011
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,20170131,9.14,28.22,20.48,4.250186,330.0,19.908766,0.3149608,9.055123,0.01968505,2017013
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,20170209,8.24,32.0,26.6,12.30317,330.0,38.02798,6.299216,11.81103,0.53937037,2017020
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,20170306,2.12,42.98,21.74,2.23694,330.0,10.961006,0.0,7.87402,0.0,2017030
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,20170603,41.0,66.92,55.04,8.276678,330.0,31.093466,0.0,0.0,0.0,2017060
