station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
NEWARK INTL AP,NJ,40.6825,-74.1694,2.1,20170114,28.22,33.98,31.64,5.368656,360.0,17.000744,1.4173236,0.0,0.09842525,2017011
NEWARK INTL AP,NJ,40.6825,-74.1694,2.1,20170319,33.08,48.02,38.66,13.42164,360.0,27.96175,0.0,3.149608,0.0,2017031
NEWARK INTL AP,NJ,40.6825,-74.1694,2.1,20170722,71.06,91.94,85.28,7.381902,360.0,17.000744,0.0,0.0,0.38976399,2017072
NEWARK INTL AP,NJ,40.6825,-74.1694,2.1,20170730,60.08,82.94,72.32,8.500372,360.0,19.908766,0.0,0.0,0.0,2017073
ATLANTIC CITY INTL AP,NJ,39.4494,-74.5672,18.3,20170514,46.94,73.94,56.66,13.645334,360.0,31.988242,0.0,0.0,0.0,2017051
ATLANTIC CITY INTL AP,NJ,39.4494,-74.5672,18.3,20170906,62.06,78.08,71.96,6.71082,360.0,23.935258,0.0,0.0,1.75984347,2017090
NEWARK INTL AP,NJ,40.6825,-74.1694,2.1,20170124,35.96,41.0,37.76,18.342908,350.0,36.014734,0.0,0.0,0.77952798,2017012
NEWARK INTL AP,NJ,40.6825,-74.1694,2.1,20170417,57.92,75.02,70.52,14.987498,350.0,33.106712,0.0,0.0,0.0,2017041
NEWARK INTL AP,NJ,40.6825,-74.1694,2.1,20170830,60.08,80.06,67.82,10.961006,350.0,23.935258,0.0,0.0,0.0,2017083
ATLANTIC CITY INTL AP,NJ,39.4494,-74.5672,18.3,20170314,25.16,44.06,37.04,23.264176,350.0,46.97574,0.0,0.0,3.01968667,2017031
ATLANTIC CITY INTL AP,NJ,39.4494,-74.5672,18.3,20170328,46.04,57.02,51.98,5.59235,350.0,18.119214,0.0,0.0,0.31102379,2017032
ATLANTIC CITY INTL AP,NJ,39.4494,-74.5672,18.3,20170412,50.0,78.98,66.02,7.605596,350.0,27.96175,0.0,0.0,0.0,2017041
