station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
DEER LAKE A,NL,49.2167,-57.4,22.0,20170101,16.7,31.28,23.9,,,,1.8897648,23.228359,0.18897648,2017010
DEER LAKE A,NL,49.2167,-57.4,22.0,20170102,22.1,32.9,27.5,,,,0.5511814,24.803163,0.05511814,2017010
DEER LAKE A,NL,49.2167,-57.4,22.0,20170103,-4.9,24.08,9.5,,,,0.0,25.196864,0.0,2017010
DEER LAKE A,NL,49.2167,-57.4,22.0,20170104,-5.26,36.14,15.44,,,,0.0,24.409462,0.0,2017010
DEER LAKE A,NL,49.2167,-57.4,22.0,20170105,26.96,41.9,34.52,,,,0.1574804,21.653555,0.01574804,2017010
DEER LAKE A,NL,49.2167,-57.4,22.0,20170106,21.56,28.58,24.98,,,,0.0,19.291349,0.0,2017010
DEER LAKE A,NL,49.2167,-57.4,22.0,20170107,18.86,22.46,20.66,,,,0.393701,19.291349,0.0393701,2017010
DEER LAKE A,NL,49.2167,-57.4,22.0,20170108,17.96,27.32,22.64,,,,7.7165396,23.228359,0.77165396,2017010
DEER LAKE A,NL,49.2167,-57.4,22.0,20170109,10.94,19.22,15.08,,,,1.2598432,24.015761,0.12598432,2017010
DEER LAKE A,NL,49.2167,-57.4,22.0,20170110,10.94,24.08,17.42,,,,,24.015761,0.06299216,2017011
DEER LAKE A,NL,49.2167,-57.4,22.0,20170111,0.5,36.32,18.32,,,,1.574804,24.015761,0.1574804,2017011
DEER LAKE A,NL,49.2167,-57.4,22.0,20170112,26.42,44.06,35.24,,,,0.0,24.803163,0.22047256,2017011
DEER LAKE A,NL,49.2167,-57.4,22.0,20170113,10.4,42.62,26.42,,,,0.787402,19.68505,0.4330711,2017011
DEER LAKE A,NL,49.2167,-57.4,22.0,20170114,4.64,11.48,8.06,,,,2.1259854,18.897648,0.21259854,2017011
DEER LAKE A,NL,49.2167,-57.4,22.0,20170115,-12.82,13.82,0.5,,,,1.2598432,20.472452,0.12598432,2017011
DEER LAKE A,NL,49.2167,-57.4,22.0,20170116,-8.32,21.92,6.8,,,,0.1574804,20.472452,0.01574804,2017011
DEER LAKE A,NL,49.2167,-57.4,22.0,20170117,-9.76,23.9,6.98,,,,0.8661422,20.472452,0.08661422,2017011
DEER LAKE A,NL,49.2167,-57.4,22.0,20170118,-14.98,13.1,-0.94,,,,0.0,20.472452,0.0,2017011
DEER LAKE A,NL,49.2167,-57.4,22.0,20170119,-3.1,15.44,6.08,,,,0.1574804,19.68505,0.01574804,2017011
DEER LAKE A,NL,49.2167,-57.4,22.0,20170120,11.66,28.94,20.3,,,,0.8661422,20.078751,0.08661422,2017012
DEER LAKE A,NL,49.2167,-57.4,22.0,20170121,2.48,28.76,15.62,,,,0.0,19.68505,0.0,2017012
DEER LAKE A,NL,49.2167,-57.4,22.0,20170122,15.26,28.4,21.74,,,,1.2598432,19.68505,0.12598432,2017012
DEER LAKE A,NL,49.2167,-57.4,22.0,20170123,6.44,19.04,12.74,,,,0.0,20.866153,0.0,2017012
DEER LAKE A,NL,49.2167,-57.4,22.0,20170124,0.32,30.92,15.62,,,,0.0,21.259854,0.0,2017012
DEER LAKE A,NL,49.2167,-57.4,22.0,20170125,5.0,27.86,16.34,,,,0.0787402,21.259854,0.10236226,2017012
DEER LAKE A,NL,49.2167,-57.4,22.0,20170126,27.5,33.44,30.38,,,,1.6535442,19.291349,0.3543309,2017012
DEER LAKE A,NL,49.2167,-57.4,22.0,20170127,24.26,33.08,28.58,,,,8.3464612,22.047256,0.83464612,2017012
DEER LAKE A,NL,49.2167,-57.4,22.0,20170128,24.08,27.5,25.7,,,,2.362206,26.377967,0.2362206,2017012
DEER LAKE A,NL,49.2167,-57.4,22.0,20170129,26.06,30.02,28.04,,,,1.968505,26.771668,0.1968505,2017012
DEER LAKE A,NL,49.2167,-57.4,22.0,20170130,16.7,31.1,23.9,,,,0.9842525,27.165369,0.09448824,2017013
DEER LAKE A,NL,49.2167,-57.4,22.0,20170131,8.6,24.26,16.34,,,,0.0787402,27.165369,0.00787402,2017013
DEER LAKE A,NL,49.2167,-57.4,22.0,20170201,13.82,22.82,18.32,,,,1.0236226,27.165369,0.09448824,2017020
DEER LAKE A,NL,49.2167,-57.4,22.0,20170202,7.16,22.1,14.54,,,,0.0,27.55907,0.0,2017020
DEER LAKE A,NL,49.2167,-57.4,22.0,20170203,-0.22,22.28,10.94,,,,2.9921276,27.55907,0.29921276,2017020
DEER LAKE A,NL,49.2167,-57.4,22.0,20170204,2.48,12.02,7.16,,,,1.2598432,29.133874,0.12598432,2017020
DEER LAKE A,NL,49.2167,-57.4,22.0,20170205,-1.84,11.48,4.82,,,,0.0787402,29.527575,0.00787402,2017020
DEER LAKE A,NL,49.2167,-57.4,22.0,20170206,1.04,19.04,10.04,,,,11.023628,30.314977,1.1023628,2017020
DEER LAKE A,NL,49.2167,-57.4,22.0,20170207,-4.0,11.84,3.92,,,,1.7322844,36.614193,0.17322844,2017020
DEER LAKE A,NL,49.2167,-57.4,22.0,20170208,-10.66,19.76,4.46,,,,5.511814,37.401595,0.59842552,2017020
DEER LAKE A,NL,49.2167,-57.4,22.0,20170209,8.06,26.96,17.42,,,,0.9055123,41.732306,0.08661422,2017020
DEER LAKE A,NL,49.2167,-57.4,22.0,20170210,13.82,36.86,25.34,,,,4.2519708,42.519708,0.42519708,2017021
DEER LAKE A,NL,49.2167,-57.4,22.0,20170211,4.28,16.7,10.4,,,,1.3385834,44.488213,0.12598432,2017021
DEER LAKE A,NL,49.2167,-57.4,22.0,20170212,-18.04,19.04,0.5,,,,0.0,44.488213,0.0,2017021
DEER LAKE A,NL,49.2167,-57.4,22.0,20170213,-20.74,16.52,-2.2,,,,0.393701,44.094512,0.0393701,2017021
DEER LAKE A,NL,49.2167,-57.4,22.0,20170214,15.62,26.96,21.2,,,,3.3858286,44.488213,0.33858286,2017021
DEER LAKE A,NL,49.2167,-57.4,22.0,20170216,20.12,34.88,27.5,,,,0.393701,45.669316,0.0393701,2017021
DEER LAKE A,NL,49.2167,-57.4,22.0,20170217,27.86,35.6,31.64,,,,0.1574804,44.488213,0.00787402,2017021
DEER LAKE A,NL,49.2167,-57.4,22.0,20170218,24.08,29.3,26.6,,,,0.1574804,44.881914,0.0393701,2017021
DEER LAKE A,NL,49.2167,-57.4,22.0,20170219,20.12,34.34,27.14,,,,0.4724412,44.881914,0.04724412,2017021
DEER LAKE A,NL,49.2167,-57.4,22.0,20170220,13.46,27.86,20.66,,,,0.9448824,44.881914,0.09448824,2017022
DEER LAKE A,NL,49.2167,-57.4,22.0,20170221,10.04,30.02,19.94,,,,0.0,44.094512,0.0,2017022
DEER LAKE A,NL,49.2167,-57.4,22.0,20170222,16.7,34.88,25.7,,,,0.0,42.913409,0.0,2017022
DEER LAKE A,NL,49.2167,-57.4,22.0,20170223,18.32,39.74,28.94,,,,0.393701,42.126007,0.05511814,2017022
DEER LAKE A,NL,49.2167,-57.4,22.0,20170224,30.38,37.22,33.8,,,,1.574804,38.976399,0.34645688,2017022
DEER LAKE A,NL,49.2167,-57.4,22.0,20170225,23.9,31.1,27.5,,,,0.5511814,38.976399,0.05511814,2017022
DEER LAKE A,NL,49.2167,-57.4,22.0,20170226,28.58,53.96,41.36,,,,0.0,37.401595,0.0,2017022
DEER LAKE A,NL,49.2167,-57.4,22.0,20170227,23.18,29.3,26.24,,,,1.574804,26.771668,0.1574804,2017022
DEER LAKE A,NL,49.2167,-57.4,22.0,20170228,16.88,27.86,22.28,,,,1.181103,28.740173,0.09448824,2017022
DEER LAKE A,NL,49.2167,-57.4,22.0,20170301,2.66,32.72,17.6,,,,3.0708678,29.133874,0.85826818,2017030
DEER LAKE A,NL,49.2167,-57.4,22.0,20170302,21.92,32.72,27.32,,,,2.0472452,28.346472,0.50393728,2017030
DEER LAKE A,NL,49.2167,-57.4,22.0,20170303,15.8,27.14,21.38,,,,0.0,30.314977,0.08661422,2017030
DEER LAKE A,NL,49.2167,-57.4,22.0,20170304,9.14,16.52,12.74,,,,0.8661422,30.314977,0.11023628,2017030
DEER LAKE A,NL,49.2167,-57.4,22.0,20170305,16.52,28.04,22.28,,,,3.3858286,31.49608,0.33858286,2017030
DEER LAKE A,NL,49.2167,-57.4,22.0,20170306,11.3,32.36,21.74,,,,0.0,33.070884,0.0,2017030
DEER LAKE A,NL,49.2167,-57.4,22.0,20170307,-2.56,34.34,15.8,,,,0.0,32.283482,0.0,2017030
DEER LAKE A,NL,49.2167,-57.4,22.0,20170308,2.66,35.78,19.22,,,,0.0787402,31.49608,0.25196864,2017030
DEER LAKE A,NL,49.2167,-57.4,22.0,20170309,30.74,41.54,36.14,,,,0.0787402,25.196864,0.0787402,2017030
DEER LAKE A,NL,49.2167,-57.4,22.0,20170310,17.96,31.28,24.62,,,,0.5511814,24.803163,0.04724412,2017031
DEER LAKE A,NL,49.2167,-57.4,22.0,20170311,12.56,21.02,16.7,,,,10.0787456,25.984266,1.00000054,2017031
DEER LAKE A,NL,49.2167,-57.4,22.0,20170312,12.74,23.9,18.32,,,,0.5511814,35.039389,0.05511814,2017031
DEER LAKE A,NL,49.2167,-57.4,22.0,20170313,6.08,27.5,16.7,,,,0.0,35.039389,0.0,2017031
DEER LAKE A,NL,49.2167,-57.4,22.0,20170314,1.4,30.74,15.98,,,,0.0,33.464585,0.0,2017031
DEER LAKE A,NL,49.2167,-57.4,22.0,20170315,19.58,33.8,26.6,,,,0.393701,36.614193,0.13385834,2017031
DEER LAKE A,NL,49.2167,-57.4,22.0,20170316,19.22,36.14,27.68,,,,1.1023628,35.826791,0.11417329,2017031
DEER LAKE A,NL,49.2167,-57.4,22.0,20170317,19.22,32.0,25.52,,,,0.5511814,35.826791,0.05511814,2017031
DEER LAKE A,NL,49.2167,-57.4,22.0,20170318,7.52,32.54,19.94,,,,0.4724412,36.220492,0.04724412,2017031
DEER LAKE A,NL,49.2167,-57.4,22.0,20170319,-2.74,39.02,18.14,,,,0.0,35.039389,0.0,2017031
DEER LAKE A,NL,49.2167,-57.4,22.0,20170320,14.54,31.1,22.82,,,,0.1574804,33.070884,0.01574804,2017032
DEER LAKE A,NL,49.2167,-57.4,22.0,20170321,24.08,32.0,28.04,,,,5.2755934,32.677183,0.52755934,2017032
DEER LAKE A,NL,49.2167,-57.4,22.0,20170322,21.74,35.78,28.76,,,,0.0,35.039389,0.0,2017032
DEER LAKE A,NL,49.2167,-57.4,22.0,20170323,13.46,30.38,21.92,,,,3.0708678,34.251987,0.3149608,2017032
DEER LAKE A,NL,49.2167,-57.4,22.0,20170324,5.9,22.28,14.0,,,,0.0787402,35.826791,0.00787402,2017032
DEER LAKE A,NL,49.2167,-57.4,22.0,20170325,-0.04,33.26,16.52,,,,0.0,35.826791,0.06299216,2017032
DEER LAKE A,NL,49.2167,-57.4,22.0,20170326,-6.52,17.42,5.36,,,,0.0,35.826791,0.0,2017032
DEER LAKE A,NL,49.2167,-57.4,22.0,20170327,6.8,25.88,16.34,,,,0.0,35.43309,0.0,2017032
DEER LAKE A,NL,49.2167,-57.4,22.0,20170328,6.26,38.48,22.28,,,,0.0,,0.0,2017032
DEER LAKE A,NL,49.2167,-57.4,22.0,20170329,26.6,39.92,33.26,,,,0.9448824,33.464585,0.09448824,2017032
DEER LAKE A,NL,49.2167,-57.4,22.0,20170330,29.84,32.54,31.1,,,,3.543309,33.858286,0.3543309,2017033
DEER LAKE A,NL,49.2167,-57.4,22.0,20170331,29.84,33.62,31.64,,,,0.5511814,34.251987,0.05511814,2017033
DEER LAKE A,NL,49.2167,-57.4,22.0,20170401,15.08,35.96,25.52,,,,0.0,34.251987,0.0,2017040
DEER LAKE A,NL,49.2167,-57.4,22.0,20170402,12.92,32.54,22.64,,,,0.0,31.889781,0.0,2017040
DEER LAKE A,NL,49.2167,-57.4,22.0,20170403,25.34,32.54,28.94,,,,1.968505,31.889781,0.1968505,2017040
DEER LAKE A,NL,49.2167,-57.4,22.0,20170404,27.86,37.4,32.72,,,,0.0,33.070884,0.0,2017040
DEER LAKE A,NL,49.2167,-57.4,22.0,20170405,22.64,37.22,29.84,,,,,32.677183,0.0,2017040
DEER LAKE A,NL,49.2167,-57.4,22.0,20170406,20.66,41.9,31.28,,,,0.0,30.708678,0.0,2017040
DEER LAKE A,NL,49.2167,-57.4,22.0,20170407,31.46,42.44,37.04,,,,0.0,28.740173,0.69291376,2017040
DEER LAKE A,NL,49.2167,-57.4,22.0,20170408,35.78,54.5,45.14,,,,0.0,24.803163,0.01574804,2017040
DEER LAKE A,NL,49.2167,-57.4,22.0,20170409,32.36,42.8,37.58,,,,0.0,,0.0,2017040
DEER LAKE A,NL,49.2167,-57.4,22.0,20170410,33.62,48.38,41.0,,,,0.0,17.716545,0.0,2017041
DEER LAKE A,NL,49.2167,-57.4,22.0,20170411,30.56,54.14,42.44,,,,0.0,15.74804,0.0,2017041
DEER LAKE A,NL,49.2167,-57.4,22.0,20170412,31.1,40.28,35.78,,,,0.0,12.598432,0.05511814,2017041
DEER LAKE A,NL,49.2167,-57.4,22.0,20170413,31.64,39.56,35.6,,,,0.0,11.81103,0.0787402,2017041
DEER LAKE A,NL,49.2167,-57.4,22.0,20170414,29.12,36.32,32.72,,,,0.0,11.023628,0.0,2017041
DEER LAKE A,NL,49.2167,-57.4,22.0,20170415,25.88,41.72,33.8,,,,0.0,9.842525,0.0,2017041
DEER LAKE A,NL,49.2167,-57.4,22.0,20170416,23.72,35.78,29.66,,,,1.2598432,9.842525,0.12598432,2017041
DEER LAKE A,NL,49.2167,-57.4,22.0,20170417,14.0,27.5,20.66,,,,2.1259854,9.842525,0.21259854,2017041
DEER LAKE A,NL,49.2167,-57.4,22.0,20170418,0.5,28.04,14.18,,,,0.0,9.842525,0.0,2017041
DEER LAKE A,NL,49.2167,-57.4,22.0,20170419,-4.54,34.52,14.9,,,,0.0,9.842525,0.0,2017041
DEER LAKE A,NL,49.2167,-57.4,22.0,20170420,7.16,42.26,24.62,,,,0.0,9.448824,0.0,2017042
DEER LAKE A,NL,49.2167,-57.4,22.0,20170421,21.38,40.64,30.92,,,,0.0,8.267721,0.0,2017042
DEER LAKE A,NL,49.2167,-57.4,22.0,20170422,26.96,37.94,32.54,,,,0.0,7.87402,0.0,2017042
DEER LAKE A,NL,49.2167,-57.4,22.0,20170423,28.58,45.68,37.22,,,,0.0,5.905515,0.0,2017042
DEER LAKE A,NL,49.2167,-57.4,22.0,20170424,27.14,40.82,33.98,,,,0.0,5.905515,0.0,2017042
DEER LAKE A,NL,49.2167,-57.4,22.0,20170425,25.52,35.42,30.38,,,,0.0,5.511814,0.0,2017042
DEER LAKE A,NL,49.2167,-57.4,22.0,20170426,24.44,51.44,37.94,,,,0.0,5.511814,0.49606326,2017042
DEER LAKE A,NL,49.2167,-57.4,22.0,20170427,32.0,45.14,38.66,,,,0.0,5.118113,1.6141741,2017042
DEER LAKE A,NL,49.2167,-57.4,22.0,20170428,32.0,37.58,34.88,,,,0.0,3.543309,0.22834658,2017042
DEER LAKE A,NL,49.2167,-57.4,22.0,20170429,35.42,49.46,42.44,,,,0.0,1.968505,0.0787402,2017042
DEER LAKE A,NL,49.2167,-57.4,22.0,20170430,22.28,44.06,33.26,,,,0.0,0.393701,0.0,2017043
DEER LAKE A,NL,49.2167,-57.4,22.0,20170501,20.12,41.36,30.74,,,,0.0,0.0,0.0,2017050
DEER LAKE A,NL,49.2167,-57.4,22.0,20170502,18.86,44.06,31.46,,,,0.0,0.0,0.03149608,2017050
DEER LAKE A,NL,49.2167,-57.4,22.0,20170503,34.7,49.82,42.26,,,,0.0,0.0,0.22047256,2017050
DEER LAKE A,NL,49.2167,-57.4,22.0,20170504,26.24,46.22,36.32,,,,0.0,0.0,0.0,2017050
DEER LAKE A,NL,49.2167,-57.4,22.0,20170505,25.34,57.92,41.72,,,,0.0,0.0,0.0,2017050
DEER LAKE A,NL,49.2167,-57.4,22.0,20170506,29.3,55.76,42.62,,,,0.0,0.0,0.04724412,2017050
DEER LAKE A,NL,49.2167,-57.4,22.0,20170507,34.88,59.36,47.12,,,,0.0,0.0,0.0,2017050
DEER LAKE A,NL,49.2167,-57.4,22.0,20170508,34.88,63.32,49.1,,,,0.0,0.0,0.0,2017050
DEER LAKE A,NL,49.2167,-57.4,22.0,20170509,34.88,49.82,42.44,,,,0.0,,0.00787402,2017050
DEER LAKE A,NL,49.2167,-57.4,22.0,20170510,35.24,51.98,43.7,,,,0.0,,0.0,2017051
DEER LAKE A,NL,49.2167,-57.4,22.0,20170511,34.52,49.28,41.9,,,,0.0,,0.00787402,2017051
DEER LAKE A,NL,49.2167,-57.4,22.0,20170512,28.04,56.66,42.44,,,,0.0,,0.0,2017051
DEER LAKE A,NL,49.2167,-57.4,22.0,20170513,27.14,58.1,42.62,,,,0.0,,0.0,2017051
DEER LAKE A,NL,49.2167,-57.4,22.0,20170514,26.42,71.06,48.74,,,,0.0,,0.0,2017051
DEER LAKE A,NL,49.2167,-57.4,22.0,20170515,29.3,69.62,49.46,,,,0.0,,0.11023628,2017051
DEER LAKE A,NL,49.2167,-57.4,22.0,20170516,37.04,40.46,38.84,,,,0.0,,0.80315004,2017051
DEER LAKE A,NL,49.2167,-57.4,22.0,20170517,38.12,47.3,42.8,,,,0.0,,0.0,2017051
DEER LAKE A,NL,49.2167,-57.4,22.0,20170518,35.78,61.16,48.56,,,,0.0,,0.01574804,2017051
DEER LAKE A,NL,49.2167,-57.4,22.0,20170519,36.32,57.74,47.12,,,,0.0,,0.30708678,2017051
DEER LAKE A,NL,49.2167,-57.4,22.0,20170520,33.44,38.48,35.96,,,,0.2362206,,0.3149608,2017052
DEER LAKE A,NL,49.2167,-57.4,22.0,20170521,34.7,42.44,38.66,,,,0.0,,0.01574804,2017052
DEER LAKE A,NL,49.2167,-57.4,22.0,20170522,27.14,58.28,42.8,,,,0.0,,0.0,2017052
DEER LAKE A,NL,49.2167,-57.4,22.0,20170523,25.52,66.38,46.04,,,,0.0,,0.01574804,2017052
DEER LAKE A,NL,49.2167,-57.4,22.0,20170524,36.5,54.14,45.32,,,,0.0,,0.0,2017052
DEER LAKE A,NL,49.2167,-57.4,22.0,20170525,30.38,61.52,46.04,,,,0.0,,0.0,2017052
DEER LAKE A,NL,49.2167,-57.4,22.0,20170526,29.12,69.8,49.46,,,,0.0,,0.0,2017052
DEER LAKE A,NL,49.2167,-57.4,22.0,20170527,32.9,55.22,44.06,,,,0.0,,0.01574804,2017052
DEER LAKE A,NL,49.2167,-57.4,22.0,20170528,33.26,49.82,41.54,,,,0.0,,0.22834658,2017052
DEER LAKE A,NL,49.2167,-57.4,22.0,20170529,26.06,52.16,39.2,,,,0.0,,0.0,2017052
DEER LAKE A,NL,49.2167,-57.4,22.0,20170530,24.62,65.66,45.14,,,,0.0,,0.0,2017053
DEER LAKE A,NL,49.2167,-57.4,22.0,20170531,30.92,66.02,48.56,,,,0.0,,0.04724412,2017053
DEER LAKE A,NL,49.2167,-57.4,22.0,20170601,44.6,59.36,51.98,,,,0.0,,0.10236226,2017060
DEER LAKE A,NL,49.2167,-57.4,22.0,20170602,46.76,59.54,53.24,,,,0.0,,0.393701,2017060
DEER LAKE A,NL,49.2167,-57.4,22.0,20170603,39.2,53.42,46.4,,,,0.0,,0.28346472,2017060
DEER LAKE A,NL,49.2167,-57.4,22.0,20170604,37.22,44.78,41.0,,,,0.0,,0.1574804,2017060
DEER LAKE A,NL,49.2167,-57.4,22.0,20170605,37.22,44.6,41.0,,,,0.0,,0.01574804,2017060
DEER LAKE A,NL,49.2167,-57.4,22.0,20170606,35.96,62.96,49.46,,,,0.0,,0.0,2017060
DEER LAKE A,NL,49.2167,-57.4,22.0,20170607,34.52,58.1,46.4,,,,0.0,,0.0,2017060
DEER LAKE A,NL,49.2167,-57.4,22.0,20170608,38.3,75.74,57.02,,,,0.0,,0.0,2017060
DEER LAKE A,NL,49.2167,-57.4,22.0,20170609,41.0,76.64,58.82,,,,0.0,,0.09448824,2017060
DEER LAKE A,NL,49.2167,-57.4,22.0,20170610,43.88,58.46,51.26,,,,0.0,,0.03149608,2017061
DEER LAKE A,NL,49.2167,-57.4,22.0,20170611,39.92,72.68,56.3,,,,0.0,,0.05511814,2017061
DEER LAKE A,NL,49.2167,-57.4,22.0,20170612,34.34,63.32,48.92,,,,0.0,,0.0,2017061
DEER LAKE A,NL,49.2167,-57.4,22.0,20170613,30.92,54.14,42.62,,,,0.0,,0.13385834,2017061
DEER LAKE A,NL,49.2167,-57.4,22.0,20170614,35.6,50.9,43.34,,,,0.0,,0.07086618,2017061
DEER LAKE A,NL,49.2167,-57.4,22.0,20170615,36.68,59.18,48.02,,,,0.0,,0.0,2017061
DEER LAKE A,NL,49.2167,-57.4,22.0,20170616,38.12,64.22,51.26,,,,0.0,,0.0,2017061
DEER LAKE A,NL,49.2167,-57.4,22.0,20170617,39.74,63.68,51.8,,,,0.0,,0.07086618,2017061
DEER LAKE A,NL,49.2167,-57.4,22.0,20170618,55.04,71.42,63.32,,,,0.0,,0.0393701,2017061
DEER LAKE A,NL,49.2167,-57.4,22.0,20170619,59.36,74.66,67.1,,,,0.0,,0.0393701,2017061
DEER LAKE A,NL,49.2167,-57.4,22.0,20170620,66.38,80.42,73.4,,,,0.0,,0.0,2017062
DEER LAKE A,NL,49.2167,-57.4,22.0,20170621,52.7,74.12,63.5,,,,0.0,,0.0,2017062
DEER LAKE A,NL,49.2167,-57.4,22.0,20170622,46.76,74.66,60.8,,,,0.0,,0.0,2017062
DEER LAKE A,NL,49.2167,-57.4,22.0,20170623,46.94,66.74,56.84,,,,0.0,,0.01574804,2017062
DEER LAKE A,NL,49.2167,-57.4,22.0,20170624,46.76,63.68,55.22,,,,0.0,,0.9842525,2017062
DEER LAKE A,NL,49.2167,-57.4,22.0,20170625,50.9,69.08,60.08,,,,0.0,,0.0,2017062
DEER LAKE A,NL,49.2167,-57.4,22.0,20170626,40.46,73.22,56.84,,,,0.0,,0.07086618,2017062
DEER LAKE A,NL,49.2167,-57.4,22.0,20170627,37.22,69.08,53.24,,,,0.0,,0.0,2017062
DEER LAKE A,NL,49.2167,-57.4,22.0,20170628,37.58,66.38,51.98,,,,0.0,,0.02362206,2017062
DEER LAKE A,NL,49.2167,-57.4,22.0,20170629,45.32,70.34,57.92,,,,0.0,,0.01574804,2017062
DEER LAKE A,NL,49.2167,-57.4,22.0,20170630,43.88,74.84,59.36,,,,0.0,,0.44094512,2017063
DEER LAKE A,NL,49.2167,-57.4,22.0,20170701,41.9,62.6,52.34,,,,0.0,,0.01574804,2017070
DEER LAKE A,NL,49.2167,-57.4,22.0,20170702,41.36,57.2,49.28,,,,0.0,,0.2362206,2017070
DEER LAKE A,NL,49.2167,-57.4,22.0,20170703,54.68,76.64,65.66,,,,0.0,,0.00787402,2017070
DEER LAKE A,NL,49.2167,-57.4,22.0,20170704,37.4,70.88,54.14,,,,0.0,,0.0,2017070
DEER LAKE A,NL,49.2167,-57.4,22.0,20170705,36.5,74.48,55.58,,,,0.0,,0.0,2017070
DEER LAKE A,NL,49.2167,-57.4,22.0,20170706,40.64,81.68,61.16,,,,0.0,,0.0,2017070
DEER LAKE A,NL,49.2167,-57.4,22.0,20170707,58.28,80.42,69.44,,,,0.0,,0.0,2017070
DEER LAKE A,NL,49.2167,-57.4,22.0,20170708,59.0,72.86,66.02,,,,0.0,,0.79527602,2017070
DEER LAKE A,NL,49.2167,-57.4,22.0,20170709,57.56,78.08,67.82,,,,0.0,,0.0,2017070
DEER LAKE A,NL,49.2167,-57.4,22.0,20170710,50.18,77.18,63.68,,,,0.0,,0.0,2017071
DEER LAKE A,NL,49.2167,-57.4,22.0,20170711,51.26,81.32,66.38,,,,0.0,,0.0,2017071
DEER LAKE A,NL,49.2167,-57.4,22.0,20170712,51.8,69.8,60.8,,,,0.0,,0.09448824,2017071
DEER LAKE A,NL,49.2167,-57.4,22.0,20170713,48.2,70.7,59.54,,,,0.0,,0.0,2017071
DEER LAKE A,NL,49.2167,-57.4,22.0,20170714,41.18,73.94,57.56,,,,0.0,,0.0,2017071
DEER LAKE A,NL,49.2167,-57.4,22.0,20170715,39.2,79.34,59.36,,,,0.0,,0.0,2017071
DEER LAKE A,NL,49.2167,-57.4,22.0,20170716,39.56,80.78,60.26,,,,0.0,,0.0,2017071
DEER LAKE A,NL,49.2167,-57.4,22.0,20170717,50.36,83.12,66.74,,,,0.0,,0.0,2017071
DEER LAKE A,NL,49.2167,-57.4,22.0,20170718,45.14,87.8,66.56,,,,0.0,,0.0,2017071
DEER LAKE A,NL,49.2167,-57.4,22.0,20170719,53.78,83.48,68.72,,,,0.0,,0.0,2017071
DEER LAKE A,NL,49.2167,-57.4,22.0,20170720,50.54,71.96,61.34,,,,0.0,,0.11023628,2017072
DEER LAKE A,NL,49.2167,-57.4,22.0,20170721,50.54,81.14,65.84,,,,0.0,,0.02362206,2017072
DEER LAKE A,NL,49.2167,-57.4,22.0,20170722,49.1,71.42,60.26,,,,0.0,,0.01574804,2017072
DEER LAKE A,NL,49.2167,-57.4,22.0,20170723,51.62,63.14,57.38,,,,0.0,,0.0,2017072
