station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
ROSWELL IND AIR PK,NM,33.3075,-104.5083,1112.2,20170113,44.06,48.02,46.94,5.59235,360.0,12.974252,0.0,0.0,0.0,2017011
ROSWELL IND AIR PK,NM,33.3075,-104.5083,1112.2,20170212,44.06,59.0,56.84,13.869028,360.0,34.001488,0.0,0.0,0.01181103,2017021
ROSWELL IND AIR PK,NM,33.3075,-104.5083,1112.2,20170301,35.06,62.06,53.96,8.94776,360.0,27.066974,0.0,0.0,0.0,2017030
ROSWELL IND AIR PK,NM,33.3075,-104.5083,1112.2,20170315,42.08,80.06,61.7,7.381902,360.0,21.922012,0.0,0.0,0.0,2017031
ROSWELL IND AIR PK,NM,33.3075,-104.5083,1112.2,20170401,42.98,64.04,57.74,14.316416,360.0,29.08022,0.0,0.0,0.0,2017040
ROSWELL IND AIR PK,NM,33.3075,-104.5083,1112.2,20170420,57.02,82.94,71.06,9.618842,360.0,31.988242,0.0,0.0,0.0,2017042
ROSWELL IND AIR PK,NM,33.3075,-104.5083,1112.2,20170425,57.92,84.02,75.92,16.329662,360.0,46.97574,0.0,0.0,0.0,2017042
ROSWELL IND AIR PK,NM,33.3075,-104.5083,1112.2,20170605,62.96,93.92,77.0,6.934514,360.0,40.041226,0.0,0.0,0.0,2017060
ROSWELL IND AIR PK,NM,33.3075,-104.5083,1112.2,20170606,64.94,93.92,80.24,6.934514,360.0,52.120702,0.0,0.0,0.27952771,2017060
ALBUQUERQUE INTL AP,NM,35.0419,-106.6156,1618.5,20170107,15.26,35.96,24.26,4.026492,360.0,14.987498,0.0,0.0,0.0,2017010
ALBUQUERQUE INTL AP,NM,35.0419,-106.6156,1618.5,20170113,37.04,51.98,44.06,5.816044,360.0,14.987498,0.0,0.0,0.0,2017011
ALBUQUERQUE INTL AP,NM,35.0419,-106.6156,1618.5,20170209,37.04,66.92,50.54,4.921268,360.0,14.092722,0.0,0.0,0.0,2017020
ALBUQUERQUE INTL AP,NM,35.0419,-106.6156,1618.5,20170520,39.02,71.06,55.94,5.144962,360.0,23.040482,0.0,0.0,0.0,2017052
CLAYTON MUNI AIR PK,NM,36.4486,-103.1539,1511.8,20170115,31.1,33.08,32.36,9.842536,360.0,25.053728,1.181103,0.0,0.64960665,2017011
CLAYTON MUNI AIR PK,NM,36.4486,-103.1539,1511.8,20170126,10.22,33.98,22.1,4.47388,360.0,12.079476,0.0,0.0,0.0,2017012
