station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170101,31.28,41.36,36.32,,,,0.6299216,,0.24409462,2017010
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170102,20.84,35.6,28.22,,,,0.0,,0.0,2017010
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170103,14.9,32.9,23.9,,,,0.3149608,,0.06299216,2017010
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170104,32.0,51.8,41.9,,,,0.0,,0.29133874,2017010
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170105,28.4,44.6,36.5,,,,0.0,0.0,0.0,2017010
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170106,15.8,30.02,22.82,,,,5.1968532,1.574804,0.38582698,2017010
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170107,11.3,21.2,16.16,,,,11.8897702,4.330711,0.80315004,2017010
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170108,7.16,21.02,14.0,,,,5.7480346,18.110246,0.40157502,2017010
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170109,2.84,10.94,6.8,,,,0.2362206,15.354339,0.00787402,2017010
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170110,-0.4,35.24,17.42,,,,0.0,13.385834,0.0,2017011
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170111,27.32,47.3,37.4,,,,0.0,10.629927,0.22834658,2017011
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170112,26.96,55.04,41.0,,,,0.0,3.93701,0.1574804,2017011
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170113,14.0,51.62,32.9,,,,0.0,,0.00787402,2017011
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170114,11.12,18.5,14.72,,,,0.1181103,0.0,0.01181103,2017011
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170115,10.4,24.8,17.6,,,,0.7086618,0.393701,0.05511814,2017011
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170116,5.72,37.76,21.74,,,,0.0,0.393701,0.0,2017011
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170117,12.02,35.06,23.54,,,,0.0,0.0,0.0,2017011
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170118,8.96,26.42,17.6,,,,0.0,0.0,0.0,2017011
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170119,20.84,31.28,26.06,,,,1.2204731,0.0,0.09842525,2017011
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170120,26.24,32.0,29.12,,,,0.0,0.787402,0.0,2017012
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170121,25.7,39.56,32.72,,,,0.0,0.393701,0.13385834,2017012
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170122,27.32,34.16,30.74,,,,0.0,0.0,0.0,2017012
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170123,21.38,33.08,27.14,,,,0.0,0.0,0.0,2017012
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170124,22.1,38.48,30.2,,,,0.0,,0.92126034,2017012
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170125,33.8,44.96,39.38,,,,0.0,,0.37795296,2017012
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170126,32.9,44.78,38.84,,,,0.0,,0.0393701,2017012
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170127,30.02,39.38,34.7,,,,0.2755907,0.0,0.02755907,2017012
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170128,27.5,36.5,32.0,,,,0.0,0.0,0.0,2017012
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170129,26.6,37.4,32.0,,,,0.1574804,0.0,0.01574804,2017012
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170130,19.04,35.6,27.32,,,,0.0,0.0,0.0,2017013
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170131,11.84,27.86,19.76,,,,2.1259854,0.0,0.10629927,2017013
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170201,4.82,29.3,17.06,,,,2.4409462,1.181103,0.24409462,2017020
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170202,20.3,31.64,25.88,,,,0.7086618,3.543309,0.06299216,2017020
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170203,17.24,24.08,20.66,,,,0.0,2.362206,0.0,2017020
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170204,4.1,21.74,12.92,,,,0.0,1.968505,0.0,2017020
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170205,8.6,33.8,21.2,,,,0.7086618,1.968505,0.04724412,2017020
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170206,12.2,32.18,22.1,,,,0.1574804,2.755907,0.01574804,2017020
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170207,12.02,17.96,14.9,,,,0.8267721,1.968505,0.08267721,2017020
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170208,11.48,44.42,27.86,,,,2.1653555,2.755907,0.22047256,2017020
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170209,17.96,34.34,26.06,,,,8.1889808,1.181103,0.67716572,2017020
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170210,6.44,19.22,12.74,,,,3.3858286,11.023628,0.18897648,2017021
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170211,-0.04,17.24,8.6,,,,0.0,11.023628,0.0,2017021
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170212,-0.76,25.52,12.38,,,,1.8897648,11.023628,0.09448824,2017021
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170213,19.4,29.3,24.26,,,,22.0078859,16.141741,1.47637875,2017021
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170214,20.48,26.6,23.54,,,,0.0,30.708678,0.0,2017021
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170215,20.84,30.2,25.52,,,,2.362206,22.047256,0.16535442,2017021
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170216,23.0,30.02,26.42,,,,11.8897702,31.889781,0.79527602,2017021
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170217,22.82,32.0,27.32,,,,0.0,34.645688,0.0,2017021
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170218,20.66,37.76,29.12,,,,0.0,24.409462,0.0,2017021
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170219,32.18,44.24,38.3,,,,0.0,21.653555,0.00787402,2017021
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170220,22.28,34.16,28.22,,,,0.0,19.68505,0.0,2017022
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170221,17.06,37.4,27.14,,,,0.0,18.503947,0.0,2017022
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170222,17.6,44.6,31.1,,,,0.0,17.716545,0.0,2017022
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170223,30.56,53.6,42.08,,,,0.0,15.74804,0.0,2017022
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170224,36.68,57.2,46.94,,,,0.0,12.204731,0.0,2017022
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170225,38.66,68.0,53.42,,,,0.0,8.661422,0.18110246,2017022
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170226,24.44,49.82,37.22,,,,0.0,4.330711,0.3149608,2017022
GREENWOOD A,NS,44.9833,-64.9167,28.0,20170227,23.54,43.52,33.62,,,,0.0,1.574804,0.0,2017022
