station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170101,-15.7,1.4,-7.24,,,,0.0,7.87402,0.0,2017010
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170102,-21.28,-7.42,-14.44,,,,0.0,7.87402,0.0,2017010
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170103,-15.16,0.14,-7.6,,,,0.1574804,7.87402,0.01574804,2017010
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170104,-0.4,13.1,6.26,,,,0.7086618,8.267721,0.04724412,2017010
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170105,-11.02,12.56,0.68,,,,0.0,8.267721,0.0,2017010
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170106,-16.6,7.34,-4.72,,,,0.3149608,8.267721,0.01574804,2017010
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170107,-29.02,-10.66,-19.84,,,,0.0,8.661422,0.0,2017010
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170108,-23.8,4.1,-9.94,,,,0.4724412,8.661422,0.03149608,2017010
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170109,-31.54,0.14,-15.7,,,,0.0787402,9.055123,0.00787402,2017010
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170110,-34.6,-5.62,-20.2,,,,1.0236226,8.661422,0.07086618,2017011
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170111,-32.44,-5.62,-19.12,,,,0.1574804,10.236226,0.01574804,2017011
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170112,-32.62,-16.06,-24.34,,,,0.3149608,10.236226,0.03149608,2017011
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170113,-25.24,-14.62,-20.02,,,,0.0,11.023628,0.0,2017011
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170114,-16.6,0.14,-8.32,,,,0.8661422,10.629927,0.06299216,2017011
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170115,0.14,3.2,1.58,,,,0.0787402,11.417329,0.00787402,2017011
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170116,2.3,20.84,11.48,,,,0.0,11.81103,0.0,2017011
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170117,4.28,14.36,9.32,,,,0.0787402,11.417329,0.00787402,2017011
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170118,6.62,9.14,7.88,,,,0.787402,11.81103,0.02362206,2017011
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170119,4.1,9.86,6.98,,,,0.3149608,11.81103,0.03149608,2017011
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170120,2.66,12.38,7.52,,,,5.3543336,12.598432,0.52755934,2017012
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170121,-20.02,2.66,-8.68,,,,0.0,14.960638,0.0,2017012
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170122,-28.84,-13.0,-20.92,,,,0.0,14.960638,0.0,2017012
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170123,-13.0,1.58,-5.8,,,,0.0,14.173236,0.0,2017012
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170124,-4.9,5.0,-0.04,,,,0.0,13.385834,0.0,2017012
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170125,-8.86,5.9,-1.48,,,,0.0,12.992133,0.0,2017012
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170126,-9.58,9.68,-0.04,,,,0.0,12.598432,0.0,2017012
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170127,-8.86,8.78,-0.04,,,,0.0,12.598432,0.0,2017012
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170128,6.44,13.28,9.86,,,,0.393701,12.204731,0.01574804,2017012
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170129,10.76,14.54,12.56,,,,0.393701,12.204731,0.01574804,2017012
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170130,-22.18,13.1,-4.54,,,,1.3385834,12.598432,0.0787402,2017013
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170131,-21.46,-8.32,-14.98,,,,0.1574804,12.992133,0.00787402,2017013
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170201,-30.1,-9.58,-19.84,,,,0.0,13.385834,0.0,2017020
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170202,-9.76,12.2,1.22,,,,1.3385834,12.992133,0.12598432,2017020
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170203,-23.26,-1.66,-12.46,,,,0.787402,14.173236,0.0393701,2017020
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170204,-21.64,-5.26,-13.54,,,,1.2598432,13.779535,0.0787402,2017020
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170205,-33.16,-15.7,-24.52,,,,0.0,13.779535,0.0,2017020
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170206,-32.8,-9.94,-21.46,,,,0.1574804,12.992133,0.01574804,2017020
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170207,-18.76,-5.44,-12.1,,,,0.393701,12.598432,0.01574804,2017020
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170208,-20.74,-1.12,-11.02,,,,0.787402,12.598432,0.05511814,2017020
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170209,-20.74,-4.54,-12.64,,,,0.0,12.992133,0.0,2017020
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170210,-23.44,-6.16,-14.8,,,,0.0,12.992133,0.0,2017021
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170211,-18.58,-4.72,-11.74,,,,0.1574804,12.992133,0.01574804,2017021
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170212,-14.98,4.64,-5.26,,,,1.0236226,13.385834,0.0787402,2017021
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170213,-14.62,4.1,-5.26,,,,0.0,14.173236,0.0,2017021
YELLOWKNIFE A,NT,62.4667,-114.4333,206.0,20170214,-4.54,14.9,5.18,,,,0.0,14.173236,0.0,2017021
