station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170114,22.1,27.14,25.88,2.684328,360.0,12.079476,,,0.0,2017011
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170401,27.14,57.92,41.36,5.816044,360.0,19.908766,,,0.0,2017040
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170402,27.14,57.02,42.26,7.381902,360.0,23.935258,,,0.01181103,2017040
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170421,24.26,55.04,39.92,6.039738,360.0,21.027236,0.0,0.0,0.0,2017042
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170428,24.26,44.96,34.88,10.961006,360.0,36.90951,,,0.05118113,2017042
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170507,32.0,69.98,50.36,5.816044,360.0,25.948504,,,0.0,2017050
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170529,35.96,82.04,60.62,4.921268,360.0,19.01399,,,0.0,2017052
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170618,48.02,89.06,69.8,5.368656,360.0,19.01399,,,0.0,2017061
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170624,46.04,91.04,69.08,6.263432,360.0,19.908766,,,0.0,2017062
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170731,48.02,95.0,72.32,6.039738,360.0,21.027236,,,0.0,2017073
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170814,50.0,75.92,65.84,6.263432,360.0,31.093466,,,0.0,2017081
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170902,48.02,93.02,69.26,4.47388,360.0,14.987498,,,0.0,2017090
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170905,51.98,96.08,73.22,6.039738,360.0,19.01399,,,0.0,2017090
ELY YELLAND FLD AP,NV,39.2953,-114.8467,1908.7,20170105,-19.84,35.96,27.32,14.316416,360.0,36.014734,2.9921276,3.93701,0.35826791,2017010
ELY YELLAND FLD AP,NV,39.2953,-114.8467,1908.7,20170115,22.1,28.22,26.06,7.381902,360.0,17.000744,0.0,7.086618,0.0,2017011
ELY YELLAND FLD AP,NV,39.2953,-114.8467,1908.7,20170225,4.1,32.0,15.08,6.934514,360.0,17.000744,0.0,5.118113,0.0,2017022
ELY YELLAND FLD AP,NV,39.2953,-114.8467,1908.7,20170328,25.16,50.0,34.34,10.737312,360.0,25.053728,0.0,0.0,0.0,2017032
ELY YELLAND FLD AP,NV,39.2953,-114.8467,1908.7,20170510,32.0,75.02,54.5,9.618842,360.0,25.053728,0.0,0.0,0.0,2017051
ELY YELLAND FLD AP,NV,39.2953,-114.8467,1908.7,20170517,31.1,44.06,41.54,8.94776,360.0,35.119958,0.7086618,0.0,0.07086618,2017051
ELY YELLAND FLD AP,NV,39.2953,-114.8467,1908.7,20170528,30.2,75.92,53.78,6.934514,360.0,19.01399,0.0,0.0,0.0,2017052
ELY YELLAND FLD AP,NV,39.2953,-114.8467,1908.7,20170621,46.04,96.08,73.94,9.171454,360.0,36.014734,0.0,0.0,0.0,2017062
ELY YELLAND FLD AP,NV,39.2953,-114.8467,1908.7,20170803,59.0,91.04,75.56,8.276678,360.0,38.922756,0.0,0.0,0.0,2017080
ELY YELLAND FLD AP,NV,39.2953,-114.8467,1908.7,20170809,50.0,87.08,69.44,8.500372,360.0,36.014734,0.0,0.0,0.01181103,2017080
LAS VEGAS MCCARRAN AP,NV,36.0719,-115.1633,649.5,20170401,59.0,77.0,65.48,11.632088,360.0,31.988242,0.0,0.0,0.0,2017040
RENO TAHOE INTL AP,NV,39.4839,-119.7711,1344.2,20170225,27.14,37.94,31.64,3.802798,360.0,14.092722,0.1181103,0.0,0.03149608,2017022
RENO TAHOE INTL AP,NV,39.4839,-119.7711,1344.2,20170228,25.16,44.96,34.16,5.816044,360.0,21.922012,0.0,0.0,0.0,2017022
RENO TAHOE INTL AP,NV,39.4839,-119.7711,1344.2,20170327,37.94,51.98,46.04,9.842536,360.0,29.08022,0.0,0.0,0.01968505,2017032
RENO TAHOE INTL AP,NV,39.4839,-119.7711,1344.2,20170403,41.0,62.06,51.08,5.816044,360.0,21.027236,0.0,0.0,0.0,2017040
RENO TAHOE INTL AP,NV,39.4839,-119.7711,1344.2,20170418,42.98,62.96,50.72,6.71082,360.0,23.935258,0.0,0.0,0.0393701,2017041
RENO TAHOE INTL AP,NV,39.4839,-119.7711,1344.2,20170509,42.98,78.08,59.9,4.250186,360.0,17.000744,0.0,0.0,0.0,2017050
RENO TAHOE INTL AP,NV,39.4839,-119.7711,1344.2,20170629,60.08,91.94,75.38,5.368656,360.0,21.922012,0.0,0.0,0.0,2017062
RENO TAHOE INTL AP,NV,39.4839,-119.7711,1344.2,20170707,66.02,98.96,81.86,5.368656,360.0,23.040482,0.0,0.0,0.0,2017070
RENO TAHOE INTL AP,NV,39.4839,-119.7711,1344.2,20170727,59.0,93.02,76.1,5.816044,360.0,19.908766,0.0,0.0,0.0,2017072
WINNEMUCCA MUNI AP,NV,40.9017,-117.8081,1309.4,20170621,66.02,95.0,83.66,12.526864,360.0,27.96175,0.0,0.0,0.0,2017062
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170112,23.18,35.06,27.86,3.802798,350.0,17.000744,,,0.16141741,2017011
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170113,25.16,29.12,26.6,2.908022,350.0,12.974252,,,0.05118113,2017011
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170323,29.12,48.02,35.96,7.82929,350.0,25.053728,,,0.14173236,2017032
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170325,29.12,48.02,41.36,4.921268,350.0,19.01399,,,0.33858286,2017032
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170503,32.0,73.04,51.98,5.59235,350.0,19.908766,,,0.0,2017050
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170509,35.06,71.96,53.24,7.158208,350.0,25.948504,,,0.0,2017050
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170510,35.06,75.92,55.76,7.381902,350.0,23.935258,,,0.0,2017051
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170518,30.2,51.98,37.94,5.144962,350.0,23.935258,,,0.25196864,2017051
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,20170901,46.04,89.06,64.22,5.144962,350.0,16.105968,,,0.0,2017090
ELY YELLAND FLD AP,NV,39.2953,-114.8467,1908.7,20170331,27.14,39.02,30.2,18.119214,350.0,36.014734,1.4173236,7.086618,0.0393701,2017033
ELY YELLAND FLD AP,NV,39.2953,-114.8467,1908.7,20170401,32.0,57.02,41.18,10.961006,350.0,25.948504,0.0,3.93701,0.0,2017040
ELY YELLAND FLD AP,NV,39.2953,-114.8467,1908.7,20170402,27.14,53.96,42.08,9.618842,350.0,25.948504,0.0,0.0,0.0,2017040
