station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
BINGHAMTON,NY,42.1997,-75.985,489.5,20170413,33.98,50.0,41.9,9.395148,360.0,21.922012,0.0,0.0,0.0,2017041
BINGHAMTON,NY,42.1997,-75.985,489.5,20170421,46.04,57.92,53.78,10.06623,360.0,23.935258,0.0,0.0,0.42126007,2017042
BINGHAMTON,NY,42.1997,-75.985,489.5,20170614,57.02,75.92,67.64,7.381902,360.0,18.119214,0.0,0.0,0.0,2017061
BINGHAMTON,NY,42.1997,-75.985,489.5,20170730,51.98,75.92,64.22,6.934514,360.0,19.01399,0.0,0.0,0.0,2017073
BINGHAMTON,NY,42.1997,-75.985,489.5,20170909,44.96,55.94,50.36,8.052984,360.0,21.922012,0.0,0.0,0.0,2017090
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170107,20.12,25.16,23.54,13.645334,360.0,29.08022,9.6850446,1.181103,0.51968532,2017010
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170114,26.24,33.08,29.84,5.368656,360.0,21.922012,1.4960638,0.0,0.12992133,2017011
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170422,46.94,53.06,49.82,8.052984,360.0,19.908766,0.0,0.0,0.07086618,2017042
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170626,59.0,78.08,70.88,8.724066,360.0,27.96175,0.0,0.0,0.0,2017062
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170725,62.06,71.06,64.94,6.71082,360.0,17.000744,0.0,0.0,0.0,2017072
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170816,64.94,87.08,75.38,6.71082,360.0,21.027236,0.0,0.0,0.0,2017081
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170909,53.96,69.98,61.88,9.395148,360.0,21.922012,0.0,0.0,0.0,2017090
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170911,53.06,77.0,64.22,6.71082,360.0,18.119214,0.0,0.0,0.0,2017091
BUFFALO,NY,42.9486,-78.7369,211.2,20170911,44.96,73.94,58.82,3.802798,360.0,14.092722,0.0,0.0,0.0,2017091
ALBANY AP,NY,42.7431,-73.8092,95.1,20170325,31.1,39.92,38.12,6.263432,360.0,19.908766,0.1181103,1.968505,0.22047256,2017032
ALBANY AP,NY,42.7431,-73.8092,95.1,20170401,33.08,44.06,37.04,8.052984,360.0,18.119214,0.1968505,0.0,0.07086618,2017040
ALBANY AP,NY,42.7431,-73.8092,95.1,20170713,62.96,78.08,69.26,5.368656,360.0,25.948504,0.0,0.0,0.12992133,2017071
ALBANY AP,NY,42.7431,-73.8092,95.1,20170829,53.96,64.04,59.54,1.565858,360.0,6.934514,0.0,0.0,0.0,2017082
ALBANY AP,NY,42.7431,-73.8092,95.1,20170917,60.08,86.0,70.7,0.894776,360.0,8.052984,0.0,0.0,0.0,2017091
GLENS FALLS AP,NY,43.35,-73.6167,97.8,20170114,12.2,25.16,19.04,3.802798,360.0,14.092722,,,0.0,2017011
GLENS FALLS AP,NY,43.35,-73.6167,97.8,20170304,12.02,35.06,16.88,11.855782,360.0,36.014734,0.0,0.0,0.0,2017030
GLENS FALLS AP,NY,43.35,-73.6167,97.8,20170322,17.24,39.02,26.06,13.42164,360.0,40.041226,,,0.0,2017032
GLENS FALLS AP,NY,43.35,-73.6167,97.8,20170422,39.92,55.04,50.54,5.144962,360.0,21.027236,,0.0,0.0,2017042
GLENS FALLS AP,NY,43.35,-73.6167,97.8,20170808,51.08,78.98,67.46,4.250186,360.0,12.974252,,,0.01968505,2017080
GLENS FALLS AP,NY,43.35,-73.6167,97.8,20170824,50.0,71.96,62.42,2.908022,360.0,12.974252,,,0.0,2017082
GLENS FALLS AP,NY,43.35,-73.6167,97.8,20170826,41.0,73.04,56.66,2.013246,360.0,12.974252,,,0.0,2017082
GLENS FALLS AP,NY,43.35,-73.6167,97.8,20170905,57.92,75.02,66.74,5.144962,360.0,21.027236,,,0.0393701,2017090
GLENS FALLS AP,NY,43.35,-73.6167,97.8,20170916,55.94,82.94,67.64,1.11847,360.0,8.94776,,,0.0,2017091
ROCHESTER GTR INTL AP,NY,43.1167,-77.6767,162.5,20170328,42.08,51.08,48.74,5.368656,360.0,16.105968,0.0,0.0,0.0,2017032
ROCHESTER GTR INTL AP,NY,43.1167,-77.6767,162.5,20170406,33.08,51.98,47.3,11.408394,360.0,27.066974,0.5118113,0.0,1.38189051,2017040
ROCHESTER GTR INTL AP,NY,43.1167,-77.6767,162.5,20170507,39.02,46.94,42.8,12.526864,360.0,31.988242,0.0,0.0,0.0787402,2017050
ROCHESTER GTR INTL AP,NY,43.1167,-77.6767,162.5,20170509,37.04,51.08,43.88,6.71082,360.0,19.908766,0.0,0.0,0.0,2017050
ROCHESTER GTR INTL AP,NY,43.1167,-77.6767,162.5,20170605,55.94,66.02,60.26,6.039738,360.0,27.96175,0.0,0.0,0.68897675,2017060
ROCHESTER GTR INTL AP,NY,43.1167,-77.6767,162.5,20170616,66.92,87.08,75.2,5.816044,360.0,21.027236,0.0,0.0,0.0,2017061
ROCHESTER GTR INTL AP,NY,43.1167,-77.6767,162.5,20170815,64.94,80.96,71.6,6.71082,360.0,23.935258,0.0,0.0,0.51968532,2017081
ROCHESTER GTR INTL AP,NY,43.1167,-77.6767,162.5,20170826,48.02,71.96,58.82,5.144962,360.0,14.987498,0.0,0.0,0.0,2017082
ROCHESTER GTR INTL AP,NY,43.1167,-77.6767,162.5,20170909,48.02,64.94,57.2,6.71082,360.0,19.01399,,0.0,0.0,2017090
NEW YORK JFK INTL AP,NY,40.6386,-73.7622,3.4,20170320,35.06,55.04,42.98,12.526864,360.0,27.066974,0.0,0.0,0.0,2017032
NEW YORK JFK INTL AP,NY,40.6386,-73.7622,3.4,20170422,50.0,57.92,52.88,7.82929,360.0,25.053728,0.0,0.0,0.11023628,2017042
NEW YORK JFK INTL AP,NY,40.6386,-73.7622,3.4,20170825,64.04,80.06,71.42,6.71082,360.0,21.027236,0.0,0.0,0.0,2017082
NEW YORK JFK INTL AP,NY,40.6386,-73.7622,3.4,20170830,60.08,80.06,67.28,12.750558,360.0,25.948504,0.0,0.0,0.05118113,2017083
NEW YORK JFK INTL AP,NY,40.6386,-73.7622,3.4,20170911,55.94,80.06,67.46,6.487126,360.0,16.105968,0.0,0.0,0.0,2017091
BINGHAMTON,NY,42.1997,-75.985,489.5,20170305,2.12,27.14,10.58,6.263432,350.0,14.987498,0.0,0.0,0.0,2017030
BINGHAMTON,NY,42.1997,-75.985,489.5,20170319,25.16,39.02,30.92,7.82929,350.0,21.027236,0.0,16.141741,0.0,2017031
BINGHAMTON,NY,42.1997,-75.985,489.5,20170320,22.1,37.94,29.84,4.697574,350.0,17.000744,0.0,12.992133,0.0,2017032
BINGHAMTON,NY,42.1997,-75.985,489.5,20170329,30.2,44.96,38.66,13.645334,350.0,33.106712,0.0,0.0,0.0,2017032
BINGHAMTON,NY,42.1997,-75.985,489.5,20170408,28.22,44.06,33.98,12.30317,350.0,36.90951,0.0,0.0,0.0,2017040
BINGHAMTON,NY,42.1997,-75.985,489.5,20170422,37.04,46.04,44.06,8.500372,350.0,19.908766,0.0,0.0,0.0,2017042
BINGHAMTON,NY,42.1997,-75.985,489.5,20170522,46.94,62.96,55.04,7.381902,350.0,21.027236,0.0,0.0,0.42126007,2017052
BINGHAMTON,NY,42.1997,-75.985,489.5,20170613,64.94,82.94,75.38,8.94776,350.0,19.908766,0.0,0.0,0.0393701,2017061
BINGHAMTON,NY,42.1997,-75.985,489.5,20170702,60.08,78.98,68.18,5.59235,350.0,18.119214,0.0,0.0,0.0,2017070
BINGHAMTON,NY,42.1997,-75.985,489.5,20170720,64.94,82.04,72.68,6.263432,350.0,21.027236,0.0,0.0,0.22047256,2017072
BINGHAMTON,NY,42.1997,-75.985,489.5,20170824,53.06,69.08,60.26,6.487126,350.0,19.908766,0.0,0.0,0.0,2017082
BINGHAMTON,NY,42.1997,-75.985,489.5,20170825,50.0,68.0,58.46,6.487126,350.0,21.027236,0.0,0.0,0.0,2017082
BINGHAMTON,NY,42.1997,-75.985,489.5,20170901,42.08,60.08,51.08,7.605596,350.0,23.040482,0.0,0.0,0.0,2017090
BINGHAMTON,NY,42.1997,-75.985,489.5,20170910,44.96,62.96,49.28,7.605596,350.0,21.922012,0.0,0.0,0.0,2017091
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170130,25.16,37.04,30.92,9.395148,350.0,25.948504,0.0,0.0,0.0,2017013
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170305,14.18,33.08,22.28,16.329662,350.0,38.02798,0.0,0.0,0.0,2017030
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170510,44.96,60.98,52.16,4.921268,350.0,17.000744,0.0,0.0,0.0,2017051
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170513,46.04,51.08,49.46,12.974252,350.0,31.988242,0.0,0.0,1.31889835,2017051
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170825,62.06,78.98,69.98,6.263432,350.0,18.119214,0.0,0.0,0.0,2017082
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170826,57.92,78.08,68.36,4.697574,350.0,16.105968,0.0,0.0,0.0,2017082
NEW YORK LAGUARDIA AP,NY,40.7794,-73.8803,3.4,20170305,17.24,37.94,24.98,12.526864,350.0,27.96175,0.0,0.0,0.0,2017030
NEW YORK LAGUARDIA AP,NY,40.7794,-73.8803,3.4,20170417,59.0,73.04,70.88,13.869028,350.0,33.106712,0.0,0.0,0.0,2017041
