station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
CLEVELAND,OH,41.4131,-81.86,232.6,20170423,35.96,64.04,50.0,4.921268,360.0,18.119214,0.0,0.0,0.0,2017042
CLEVELAND,OH,41.4131,-81.86,232.6,20170509,35.96,62.06,49.46,6.039738,360.0,18.119214,0.0,0.0,0.0,2017050
CLEVELAND,OH,41.4131,-81.86,232.6,20170605,59.0,71.06,67.46,10.289924,360.0,25.053728,0.0,0.0,0.07086618,2017060
CLEVELAND,OH,41.4131,-81.86,232.6,20170808,62.06,80.96,72.86,7.605596,360.0,19.01399,0.0,0.0,0.0,2017080
CLEVELAND,OH,41.4131,-81.86,232.6,20170814,62.96,84.92,73.4,4.250186,360.0,14.987498,0.0,0.0,0.0,2017081
CLEVELAND,OH,41.4131,-81.86,232.6,20170826,51.98,73.94,63.32,5.59235,360.0,19.01399,0.0,0.0,0.0,2017082
CLEVELAND,OH,41.4131,-81.86,232.6,20170827,53.06,78.98,67.46,5.144962,360.0,17.000744,0.0,0.0,0.0,2017082
COLUMBUS PORT COLUMBUS INTL AP,OH,39.9914,-82.8808,246.9,20170309,33.98,62.96,50.36,5.816044,360.0,25.053728,0.0,0.0,0.03149608,2017030
COLUMBUS PORT COLUMBUS INTL AP,OH,39.9914,-82.8808,246.9,20170313,25.16,42.08,31.28,9.618842,360.0,19.908766,0.5905515,0.0,0.05118113,2017031
COLUMBUS PORT COLUMBUS INTL AP,OH,39.9914,-82.8808,246.9,20170322,27.14,42.08,37.04,12.750558,360.0,29.974996,0.0,0.0,0.0,2017032
COLUMBUS PORT COLUMBUS INTL AP,OH,39.9914,-82.8808,246.9,20170505,44.96,57.02,53.6,13.42164,360.0,35.119958,0.0,0.0,0.72047283,2017050
COLUMBUS PORT COLUMBUS INTL AP,OH,39.9914,-82.8808,246.9,20170723,69.08,80.96,76.28,5.368656,360.0,27.066974,0.0,0.0,1.03937064,2017072
COLUMBUS PORT COLUMBUS INTL AP,OH,39.9914,-82.8808,246.9,20170824,55.94,78.08,66.74,7.381902,360.0,25.053728,0.0,0.0,0.0,2017082
YOUNGSTOWN RGNL AP,OH,41.2544,-80.6739,359.7,20170322,19.22,33.08,30.92,14.092722,360.0,34.001488,0.0,0.0,0.0,2017032
YOUNGSTOWN RGNL AP,OH,41.2544,-80.6739,359.7,20170509,29.12,64.04,46.58,4.250186,360.0,19.01399,0.0,0.0,0.0,2017050
YOUNGSTOWN RGNL AP,OH,41.2544,-80.6739,359.7,20170527,48.92,73.94,60.98,4.250186,360.0,14.987498,0.0,0.0,0.03149608,2017052
YOUNGSTOWN RGNL AP,OH,41.2544,-80.6739,359.7,20170614,60.98,89.06,75.92,2.684328,360.0,12.974252,0.0,0.0,0.0,2017061
MANSFIELD LAHM MUNI AP,OH,40.8203,-82.5178,394.7,20170512,44.06,62.06,52.34,6.487126,360.0,19.01399,0.0,0.0,0.0,2017051
MANSFIELD LAHM MUNI AP,OH,40.8203,-82.5178,394.7,20170605,53.96,75.02,67.64,10.513618,360.0,23.935258,0.0,0.0,0.0,2017060
MANSFIELD LAHM MUNI AP,OH,40.8203,-82.5178,394.7,20170705,59.0,84.92,71.6,3.35541,360.0,14.092722,0.0,0.0,0.0,2017070
MANSFIELD LAHM MUNI AP,OH,40.8203,-82.5178,394.7,20170723,64.94,84.02,75.38,6.039738,360.0,29.08022,0.0,0.0,0.98818951,2017072
MANSFIELD LAHM MUNI AP,OH,40.8203,-82.5178,394.7,20170727,62.96,82.04,71.78,4.250186,360.0,16.105968,0.0,0.0,0.01968505,2017072
AKRON CANTON RGNL AP,OH,40.9167,-81.4333,368.2,20170321,33.08,57.02,46.22,9.171454,360.0,31.988242,0.0,0.0,0.0,2017032
AKRON CANTON RGNL AP,OH,40.9167,-81.4333,368.2,20170422,39.92,55.04,48.02,10.737312,360.0,23.040482,0.0,0.0,0.0,2017042
AKRON CANTON RGNL AP,OH,40.9167,-81.4333,368.2,20170515,39.02,71.96,55.76,4.697574,360.0,16.105968,0.0,0.0,0.0,2017051
AKRON CANTON RGNL AP,OH,40.9167,-81.4333,368.2,20170807,60.98,80.06,69.08,4.921268,360.0,16.105968,0.0,0.0,0.0,2017080
DAYTON INTL AP,OH,39.9061,-84.2186,304.8,20170115,25.16,33.08,29.66,4.026492,360.0,10.961006,0.0,0.0,0.0,2017011
DAYTON INTL AP,OH,39.9061,-84.2186,304.8,20170322,23.18,39.02,33.26,12.526864,360.0,29.974996,0.0,0.0,0.0,2017032
DAYTON INTL AP,OH,39.9061,-84.2186,304.8,20170417,51.98,69.08,62.6,7.158208,360.0,21.922012,0.0,0.0,0.0,2017041
DAYTON INTL AP,OH,39.9061,-84.2186,304.8,20170505,42.98,48.92,47.12,19.685072,360.0,40.041226,0.0,0.0,0.92913436,2017050
DAYTON INTL AP,OH,39.9061,-84.2186,304.8,20170716,62.96,82.94,73.22,7.381902,360.0,27.066974,0.0,0.0,0.09842525,2017071
TOLEDO EXPRESS AP,OH,41.5886,-83.8014,203.9,20170401,35.96,55.94,41.54,6.71082,360.0,19.01399,0.0,0.0,0.0,2017040
CLEVELAND,OH,41.4131,-81.86,232.6,20170113,26.24,33.08,30.02,8.276678,350.0,18.119214,0.0,0.0,0.0,2017011
CLEVELAND,OH,41.4131,-81.86,232.6,20170319,35.06,39.02,36.68,6.039738,350.0,14.987498,0.0,0.0,0.01968505,2017031
CLEVELAND,OH,41.4131,-81.86,232.6,20170505,44.96,53.06,50.9,16.77705,350.0,35.119958,0.0,0.0,0.75196891,2017050
CLEVELAND,OH,41.4131,-81.86,232.6,20170724,68.0,75.92,72.5,11.632088,350.0,29.08022,0.0,0.0,0.0,2017072
CLEVELAND,OH,41.4131,-81.86,232.6,20170727,66.02,87.08,76.28,5.816044,350.0,16.105968,0.0,0.0,0.0,2017072
CLEVELAND,OH,41.4131,-81.86,232.6,20170731,62.06,87.08,75.38,4.697574,350.0,21.027236,0.0,0.0,0.0,2017073
CLEVELAND,OH,41.4131,-81.86,232.6,20170815,66.92,89.96,75.56,6.487126,350.0,19.908766,0.0,0.0,0.0,2017081
CLEVELAND,OH,41.4131,-81.86,232.6,20170917,62.96,84.92,72.86,3.579104,350.0,14.092722,0.0,0.0,0.0,2017091
COLUMBUS PORT COLUMBUS INTL AP,OH,39.9914,-82.8808,246.9,20170519,55.94,84.02,74.3,5.144962,350.0,35.119958,0.0,0.0,1.48818978,2017051
COLUMBUS PORT COLUMBUS INTL AP,OH,39.9914,-82.8808,246.9,20170728,66.92,84.02,74.48,10.737312,350.0,29.974996,0.0,0.0,0.0,2017072
COLUMBUS PORT COLUMBUS INTL AP,OH,39.9914,-82.8808,246.9,20170830,62.06,82.04,69.44,3.802798,350.0,16.105968,0.0,0.0,0.0,2017083
YOUNGSTOWN RGNL AP,OH,41.2544,-80.6739,359.7,20170319,32.0,37.94,34.16,6.039738,350.0,14.092722,0.0,0.0,0.0,2017031
YOUNGSTOWN RGNL AP,OH,41.2544,-80.6739,359.7,20170329,37.94,57.02,45.68,9.171454,350.0,21.922012,0.0,0.0,0.0,2017032
YOUNGSTOWN RGNL AP,OH,41.2544,-80.6739,359.7,20170417,46.04,64.94,59.36,9.171454,350.0,25.948504,0.0,0.0,0.0,2017041
YOUNGSTOWN RGNL AP,OH,41.2544,-80.6739,359.7,20170717,60.08,80.06,72.5,4.697574,350.0,14.092722,0.0,0.0,0.03149608,2017071
YOUNGSTOWN RGNL AP,OH,41.2544,-80.6739,359.7,20170731,57.02,84.92,71.6,3.579104,350.0,16.105968,0.0,0.0,0.0,2017073
YOUNGSTOWN RGNL AP,OH,41.2544,-80.6739,359.7,20170813,55.04,78.08,66.2,3.579104,350.0,14.987498,0.0,0.0,0.0,2017081
YOUNGSTOWN RGNL AP,OH,41.2544,-80.6739,359.7,20170815,57.92,84.02,72.32,5.59235,350.0,19.01399,0.0,0.0,0.0,2017081
MANSFIELD LAHM MUNI AP,OH,40.8203,-82.5178,394.7,20170607,50.0,62.06,56.12,7.381902,350.0,21.027236,0.0,0.0,0.0,2017060
MANSFIELD LAHM MUNI AP,OH,40.8203,-82.5178,394.7,20170715,62.96,78.98,70.7,4.921268,350.0,14.987498,0.0,0.0,0.0,2017071
MANSFIELD LAHM MUNI AP,OH,40.8203,-82.5178,394.7,20170716,60.08,82.94,70.88,7.158208,350.0,21.027236,0.0,0.0,0.0,2017071
MANSFIELD LAHM MUNI AP,OH,40.8203,-82.5178,394.7,20170731,59.0,84.02,72.32,3.579104,350.0,14.092722,0.0,0.0,0.0,2017073
MANSFIELD LAHM MUNI AP,OH,40.8203,-82.5178,394.7,20170824,53.96,71.96,63.14,8.052984,350.0,23.935258,0.0,0.0,0.0,2017082
AKRON CANTON RGNL AP,OH,40.9167,-81.4333,368.2,20170314,16.16,25.16,23.36,18.342908,350.0,40.936002,4.2913409,3.149608,0.22834658,2017031
AKRON CANTON RGNL AP,OH,40.9167,-81.4333,368.2,20170513,42.98,71.06,56.12,6.71082,350.0,23.935258,0.0,0.0,0.0787402,2017051
DAYTON INTL AP,OH,39.9061,-84.2186,304.8,20170812,60.98,78.08,70.34,8.276678,350.0,19.01399,0.0,0.0,0.0,2017081
DAYTON INTL AP,OH,39.9061,-84.2186,304.8,20170824,53.06,75.02,64.58,6.71082,350.0,19.01399,0.0,0.0,0.0,2017082
DAYTON INTL AP,OH,39.9061,-84.2186,304.8,20170908,48.92,71.06,59.36,6.263432,350.0,14.092722,0.0,0.0,0.0,2017090
TOLEDO EXPRESS AP,OH,41.5886,-83.8014,203.9,20170312,15.26,31.1,22.64,4.697574,350.0,18.119214,0.0,0.0,0.0,2017031
TOLEDO EXPRESS AP,OH,41.5886,-83.8014,203.9,20170314,13.1,24.26,19.76,12.30317,350.0,33.106712,0.5905515,1.968505,0.03149608,2017031
TOLEDO EXPRESS AP,OH,41.5886,-83.8014,203.9,20170321,29.12,57.92,42.8,10.513618,350.0,36.014734,0.0,0.0,0.0,2017032
TOLEDO EXPRESS AP,OH,41.5886,-83.8014,203.9,20170331,35.96,42.98,40.46,9.618842,350.0,21.922012,0.0,0.0,0.0,2017033
TOLEDO EXPRESS AP,OH,41.5886,-83.8014,203.9,20170605,57.92,77.0,69.98,8.500372,350.0,25.053728,0.0,0.0,0.0,2017060
TOLEDO EXPRESS AP,OH,41.5886,-83.8014,203.9,20170724,59.0,73.04,69.08,7.82929,350.0,21.027236,0.0,0.0,0.0,2017072
TOLEDO EXPRESS AP,OH,41.5886,-83.8014,203.9,20170730,57.92,86.0,71.24,3.35541,350.0,19.908766,0.0,0.0,0.0,2017073
CLEVELAND,OH,41.4131,-81.86,232.6,20170130,23.18,27.14,26.24,8.724066,340.0,21.027236,2.2834658,3.93701,0.14960638,2017013
CLEVELAND,OH,41.4131,-81.86,232.6,20170406,35.06,59.0,48.2,15.211192,340.0,38.922756,1.8897648,0.0,0.57086645,2017040
CLEVELAND,OH,41.4131,-81.86,232.6,20170506,44.96,51.98,46.4,13.42164,340.0,35.119958,0.0,0.0,0.20866153,2017050
CLEVELAND,OH,41.4131,-81.86,232.6,20170621,60.08,75.92,68.54,4.697574,340.0,21.027236,0.0,0.0,0.0,2017062
CLEVELAND,OH,41.4131,-81.86,232.6,20170725,64.04,77.0,70.16,9.395148,340.0,27.066974,0.0,0.0,0.0,2017072
COLUMBUS PORT COLUMBUS INTL AP,OH,39.9914,-82.8808,246.9,20170314,17.24,29.12,26.78,19.237684,340.0,40.041226,0.1181103,1.181103,0.0,2017031
COLUMBUS PORT COLUMBUS INTL AP,OH,39.9914,-82.8808,246.9,20170605,59.0,82.94,71.06,6.934514,340.0,23.935258,0.0,0.0,0.72047283,2017060
COLUMBUS PORT COLUMBUS INTL AP,OH,39.9914,-82.8808,246.9,20170811,66.02,82.94,73.04,5.816044,340.0,27.96175,0.0,0.0,0.16141741,2017081
COLUMBUS PORT COLUMBUS INTL AP,OH,39.9914,-82.8808,246.9,20170823,60.08,78.98,70.7,6.934514,340.0,23.040482,0.0,0.0,0.0,2017082
YOUNGSTOWN RGNL AP,OH,41.2544,-80.6739,359.7,20170112,33.08,60.98,53.24,12.526864,340.0,57.936746,0.0,0.0,1.48818978,2017011
YOUNGSTOWN RGNL AP,OH,41.2544,-80.6739,359.7,20170304,14.18,29.12,21.02,7.158208,340.0,18.119214,0.0,5.118113,0.0,2017030
