station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
OKLAHOMA CITY WILL ROGERS AP,OK,35.3889,-97.6006,391.7,20170105,15.26,26.24,24.26,17.000744,360.0,31.093466,0.1181103,0.0,0.01181103,2017010
OKLAHOMA CITY WILL ROGERS AP,OK,35.3889,-97.6006,391.7,20170113,27.14,35.06,31.46,12.30317,360.0,21.027236,0.0,0.0,0.03149608,2017011
OKLAHOMA CITY WILL ROGERS AP,OK,35.3889,-97.6006,391.7,20170114,28.22,32.0,29.48,10.513618,360.0,19.908766,0.0,0.0,0.09055123,2017011
OKLAHOMA CITY WILL ROGERS AP,OK,35.3889,-97.6006,391.7,20170202,28.22,39.02,36.14,15.882274,360.0,31.988242,0.0,0.0,0.0,2017020
OKLAHOMA CITY WILL ROGERS AP,OK,35.3889,-97.6006,391.7,20170208,31.1,50.0,45.14,18.119214,360.0,42.054472,0.0,0.0,0.0,2017020
OKLAHOMA CITY WILL ROGERS AP,OK,35.3889,-97.6006,391.7,20170214,37.94,42.08,40.46,12.30317,360.0,29.08022,0.0,0.0,0.57086645,2017021
OKLAHOMA CITY WILL ROGERS AP,OK,35.3889,-97.6006,391.7,20170313,35.06,46.94,44.24,17.89552,360.0,38.922756,0.0,0.0,0.01181103,2017031
OKLAHOMA CITY WILL ROGERS AP,OK,35.3889,-97.6006,391.7,20170410,55.04,73.04,67.82,14.54011,360.0,34.001488,0.0,0.0,0.0,2017041
OKLAHOMA CITY WILL ROGERS AP,OK,35.3889,-97.6006,391.7,20170505,44.96,73.94,59.72,6.934514,360.0,23.935258,0.0,0.0,0.0,2017050
OKLAHOMA CITY WILL ROGERS AP,OK,35.3889,-97.6006,391.7,20170512,57.02,75.02,64.22,15.211192,360.0,35.119958,0.0,0.0,0.0,2017051
TULSA INTL AP,OK,36.1994,-95.8872,198.1,20170122,35.06,57.02,52.34,14.316416,360.0,38.02798,0.0,0.0,1.66929224,2017012
TULSA INTL AP,OK,36.1994,-95.8872,198.1,20170215,33.08,57.92,43.34,7.605596,360.0,21.027236,0.0,0.0,0.0,2017021
TULSA INTL AP,OK,36.1994,-95.8872,198.1,20170313,33.98,48.02,43.52,12.30317,360.0,33.106712,0.0,0.0,0.0,2017031
TULSA INTL AP,OK,36.1994,-95.8872,198.1,20170420,62.06,73.04,70.34,9.171454,360.0,25.948504,0.0,0.0,0.24015761,2017042
TULSA INTL AP,OK,36.1994,-95.8872,198.1,20170512,59.0,75.02,65.48,11.632088,360.0,29.974996,0.0,0.0,0.18110246,2017051
TULSA INTL AP,OK,36.1994,-95.8872,198.1,20170912,53.06,80.06,67.1,5.816044,360.0,21.027236,0.0,0.0,0.0,2017091
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,20170106,7.16,23.18,17.06,5.59235,360.0,19.01399,0.0,0.0,0.0,2017010
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,20170112,18.14,41.0,31.82,13.645334,360.0,29.08022,0.0,0.0,0.0,2017011
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,20170212,41.0,60.08,53.78,16.77705,360.0,34.001488,0.0,0.0,0.0,2017021
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,20170214,37.04,46.94,43.16,6.71082,360.0,17.000744,0.0,0.0,0.0393701,2017021
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,20170215,29.12,57.92,42.62,6.71082,360.0,19.01399,0.0,0.0,0.0,2017021
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,20170329,46.04,64.04,56.48,11.408394,360.0,38.02798,0.0,0.0,0.51968532,2017032
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,20170511,60.08,75.92,65.66,10.289924,360.0,27.96175,0.0,0.0,1.2204731,2017051
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,20170524,46.94,69.98,57.92,8.500372,360.0,25.948504,0.0,0.0,0.0,2017052
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,20170526,62.06,89.96,77.72,8.94776,360.0,27.96175,0.0,0.0,0.0,2017052
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,20170604,66.92,78.98,70.34,4.697574,360.0,21.027236,0.0,0.0,1.05118167,2017060
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,20170705,66.92,89.96,77.0,3.802798,360.0,14.987498,0.0,0.0,0.0,2017070
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,20170722,80.06,105.08,91.94,8.500372,360.0,29.974996,0.0,0.0,0.0,2017072
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,20170803,64.94,95.0,78.8,3.579104,360.0,35.119958,0.0,0.0,0.09055123,2017080
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,20170811,69.08,87.98,77.54,7.158208,360.0,31.093466,0.0,0.0,0.42126007,2017081
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,20170817,66.02,87.98,75.02,2.23694,360.0,12.974252,0.0,0.0,0.0,2017081
GAGE AP,OK,36.2967,-99.7689,667.8,20170214,33.98,46.04,37.94,8.724066,360.0,25.053728,,0.0,0.14173236,2017021
GAGE AP,OK,36.2967,-99.7689,667.8,20170220,41.0,73.04,60.08,13.42164,360.0,33.106712,0.0,0.0,0.0,2017022
GAGE AP,OK,36.2967,-99.7689,667.8,20170410,46.94,73.04,61.52,9.618842,360.0,27.066974,0.0,0.0,0.0,2017041
GAGE AP,OK,36.2967,-99.7689,667.8,20170428,46.94,73.94,61.34,12.974252,360.0,46.080964,,0.0,0.01968505,2017042
GAGE AP,OK,36.2967,-99.7689,667.8,20170811,64.04,87.98,75.74,7.605596,360.0,21.922012,0.0,0.0,0.0,2017081
OKLAHOMA CITY WILL ROGERS AP,OK,35.3889,-97.6006,391.7,20170103,27.14,48.02,40.64,21.25093,350.0,38.02798,0.0,0.0,0.0,2017010
OKLAHOMA CITY WILL ROGERS AP,OK,35.3889,-97.6006,391.7,20170112,23.18,66.02,41.9,16.329662,350.0,31.093466,0.0,0.0,0.0,2017011
OKLAHOMA CITY WILL ROGERS AP,OK,35.3889,-97.6006,391.7,20170215,33.08,55.04,42.08,8.724066,350.0,19.908766,0.0,0.0,0.0,2017021
OKLAHOMA CITY WILL ROGERS AP,OK,35.3889,-97.6006,391.7,20170422,46.04,59.0,50.72,16.553356,350.0,33.106712,0.0,0.0,0.0,2017042
OKLAHOMA CITY WILL ROGERS AP,OK,35.3889,-97.6006,391.7,20170426,39.92,57.92,54.5,16.329662,350.0,40.041226,0.0,0.0,0.0,2017042
OKLAHOMA CITY WILL ROGERS AP,OK,35.3889,-97.6006,391.7,20170503,50.0,64.94,60.62,17.671826,350.0,40.936002,0.0,0.0,0.0,2017050
OKLAHOMA CITY WILL ROGERS AP,OK,35.3889,-97.6006,391.7,20170810,69.98,89.96,78.44,9.171454,350.0,29.974996,0.0,0.0,0.79921303,2017081
OKLAHOMA CITY WILL ROGERS AP,OK,35.3889,-97.6006,391.7,20170827,66.02,87.98,75.38,3.35541,350.0,19.01399,0.0,0.0,0.0,2017082
OKLAHOMA CITY WILL ROGERS AP,OK,35.3889,-97.6006,391.7,20170906,53.96,78.98,67.64,6.934514,350.0,19.01399,0.0,0.0,0.0,2017090
OKLAHOMA CITY WILL ROGERS AP,OK,35.3889,-97.6006,391.7,20170912,57.92,80.06,70.34,6.934514,350.0,18.119214,0.0,0.0,0.0,2017091
TULSA INTL AP,OK,36.1994,-95.8872,198.1,20170105,18.14,30.2,25.7,14.54011,350.0,27.96175,0.0,0.0,0.0,2017010
TULSA INTL AP,OK,36.1994,-95.8872,198.1,20170106,9.14,21.2,18.32,7.82929,350.0,21.922012,0.1968505,0.0,0.01181103,2017010
TULSA INTL AP,OK,36.1994,-95.8872,198.1,20170112,28.22,69.98,46.4,12.526864,350.0,29.08022,0.0,0.0,0.0,2017011
TULSA INTL AP,OK,36.1994,-95.8872,198.1,20170203,28.22,42.08,33.98,8.94776,350.0,21.027236,0.0,0.0,0.0,2017020
TULSA INTL AP,OK,36.1994,-95.8872,198.1,20170212,44.96,66.02,60.08,15.211192,350.0,35.119958,0.0,0.0,0.0,2017021
TULSA INTL AP,OK,36.1994,-95.8872,198.1,20170306,48.02,78.98,66.02,19.908766,350.0,55.028724,0.0,0.0,0.42126007,2017030
TULSA INTL AP,OK,36.1994,-95.8872,198.1,20170422,46.94,55.04,50.54,11.408394,350.0,29.974996,0.0,0.0,0.0,2017042
TULSA INTL AP,OK,36.1994,-95.8872,198.1,20170615,66.02,93.02,85.64,12.526864,350.0,46.080964,0.0,0.0,0.87007921,2017061
TULSA INTL AP,OK,36.1994,-95.8872,198.1,20170618,68.0,80.06,77.54,7.605596,350.0,53.910254,0.0,0.0,0.70078778,2017061
TULSA INTL AP,OK,36.1994,-95.8872,198.1,20170723,77.0,96.08,88.52,8.94776,350.0,23.040482,0.0,0.0,0.0,2017072
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,20170103,23.18,48.02,38.48,16.553356,350.0,34.001488,0.0,0.0,0.0,2017010
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,20170122,33.98,55.94,50.18,12.526864,350.0,35.119958,,0.0,0.68897675,2017012
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,20170126,24.26,41.0,32.36,7.605596,350.0,29.08022,0.0,0.0,0.0,2017012
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,20170223,42.08,84.02,60.44,9.395148,350.0,40.041226,0.0,0.0,0.0,2017022
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,20170301,29.12,59.0,51.26,9.618842,350.0,36.014734,0.0,0.0,0.0,2017030
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,20170313,29.12,44.96,38.84,12.750558,350.0,40.936002,0.0,0.0,0.0,2017031
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,20170327,42.98,60.08,55.4,9.618842,350.0,23.040482,0.0,0.0,0.0,2017032
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,20170423,37.94,69.98,54.86,4.921268,350.0,14.092722,0.0,0.0,0.0,2017042
