station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
PENDLETON,OR,45.6906,-118.8528,461.8,20170207,22.1,33.98,31.1,8.052984,360.0,31.988242,2.9921276,3.149608,0.14960638,2017020
PENDLETON,OR,45.6906,-118.8528,461.8,20170731,57.92,96.98,78.98,6.039738,360.0,19.01399,0.0,0.0,0.0,2017073
PENDLETON,OR,45.6906,-118.8528,461.8,20170808,62.96,100.94,81.68,7.82929,360.0,21.922012,0.0,0.0,0.0,2017080
PENDLETON,OR,45.6906,-118.8528,461.8,20170904,62.96,91.94,76.82,6.039738,360.0,16.105968,0.0,0.0,0.0,2017090
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170102,29.12,37.94,35.06,5.816044,360.0,18.119214,0.0,0.0,0.05905515,2017010
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170104,21.2,33.98,29.84,12.079476,360.0,31.093466,0.5905515,0.9842525,0.0787402,2017010
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170107,24.26,29.12,27.5,7.381902,360.0,16.105968,4.4881914,5.0000027,0.61811057,2017010
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170212,29.12,46.94,37.4,3.131716,360.0,12.974252,0.0,0.0,0.0,2017021
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170217,41.0,53.06,46.94,8.724066,360.0,23.040482,,0.0,0.03149608,2017021
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170319,33.08,55.94,43.16,10.513618,360.0,21.922012,0.0,0.0,0.0,2017031
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170428,33.98,60.08,46.22,4.697574,360.0,19.01399,0.0,0.0,0.0,2017042
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170430,42.08,64.94,55.76,6.487126,360.0,14.092722,0.0,0.0,0.01181103,2017043
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170502,51.98,71.06,58.1,4.47388,360.0,12.974252,0.0,0.0,0.0,2017050
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170522,48.92,84.92,67.28,5.368656,360.0,16.105968,0.0,0.0,0.0,2017052
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170604,44.06,68.0,57.74,5.368656,360.0,17.000744,0.0,0.0,0.0,2017060
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170619,53.96,87.98,69.62,4.921268,360.0,23.040482,0.0,0.0,0.0,2017061
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170620,50.0,80.06,67.64,6.71082,360.0,23.040482,0.0,0.0,0.0,2017062
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170628,44.96,75.02,59.18,3.131716,360.0,16.105968,0.0,0.0,0.0,2017062
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170708,50.0,87.98,65.3,8.500372,360.0,23.040482,0.0,0.0,0.0,2017070
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170716,46.04,77.0,62.96,9.395148,360.0,25.053728,0.0,0.0,0.0,2017071
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170724,51.08,89.06,69.26,9.395148,360.0,25.948504,0.0,0.0,0.0,2017072
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170728,48.92,84.92,66.92,6.934514,360.0,23.935258,0.0,0.0,0.0,2017072
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170801,51.98,98.06,74.84,7.605596,360.0,31.093466,0.0,0.0,0.0,2017080
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170814,46.04,75.02,60.62,8.500372,360.0,21.027236,0.0,0.0,0.0,2017081
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170825,46.04,80.96,62.78,9.618842,360.0,27.96175,0.0,0.0,0.0,2017082
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170830,50.0,80.96,63.86,4.47388,360.0,18.119214,0.0,0.0,0.0,2017083
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170831,48.02,86.0,66.92,8.052984,360.0,23.935258,0.0,0.0,0.0,2017083
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170902,51.98,91.04,71.96,3.802798,360.0,12.974252,0.0,0.0,0.0,2017090
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,20170912,50.0,91.04,71.24,4.921268,360.0,19.01399,0.0,0.0,0.0,2017091
MEDFORD ROGUE VLY AP,OR,42.3811,-122.8722,395.3,20170213,33.98,60.08,42.98,0.894776,360.0,8.94776,0.0,0.0,0.0,2017021
MEDFORD ROGUE VLY AP,OR,42.3811,-122.8722,395.3,20170401,39.92,71.06,53.06,4.250186,360.0,19.01399,0.0,0.0,0.0,2017040
MEDFORD ROGUE VLY AP,OR,42.3811,-122.8722,395.3,20170421,39.02,75.92,53.06,2.23694,360.0,10.06623,0.0,0.0,0.0,2017042
MEDFORD ROGUE VLY AP,OR,42.3811,-122.8722,395.3,20170507,35.06,71.06,50.36,3.35541,360.0,19.01399,0.0,0.0,0.0,2017050
MEDFORD ROGUE VLY AP,OR,42.3811,-122.8722,395.3,20170514,44.96,64.94,51.62,5.59235,360.0,21.027236,0.0,0.0,0.0,2017051
MEDFORD ROGUE VLY AP,OR,42.3811,-122.8722,395.3,20170528,57.92,93.92,75.74,4.921268,360.0,21.027236,0.0,0.0,0.0,2017052
MEDFORD ROGUE VLY AP,OR,42.3811,-122.8722,395.3,20170629,51.98,91.04,70.34,3.35541,360.0,16.105968,0.0,0.0,0.0,2017062
MEDFORD ROGUE VLY AP,OR,42.3811,-122.8722,395.3,20170707,60.08,96.08,81.5,4.47388,360.0,21.027236,0.0,0.0,0.0,2017070
MEDFORD ROGUE VLY AP,OR,42.3811,-122.8722,395.3,20170708,59.0,100.04,78.08,3.802798,360.0,21.922012,0.0,0.0,0.0,2017070
MEDFORD ROGUE VLY AP,OR,42.3811,-122.8722,395.3,20170710,60.08,91.94,77.36,5.816044,360.0,21.922012,0.0,0.0,0.0,2017071
MEDFORD ROGUE VLY AP,OR,42.3811,-122.8722,395.3,20170715,64.04,93.02,80.42,6.039738,360.0,23.040482,0.0,0.0,0.0,2017071
MEDFORD ROGUE VLY AP,OR,42.3811,-122.8722,395.3,20170724,68.0,98.06,81.86,5.144962,360.0,21.922012,0.0,0.0,0.0,2017072
MEDFORD ROGUE VLY AP,OR,42.3811,-122.8722,395.3,20170726,71.96,96.98,82.76,5.59235,360.0,23.040482,0.0,0.0,0.0,2017072
MEDFORD ROGUE VLY AP,OR,42.3811,-122.8722,395.3,20170727,66.92,95.0,80.78,5.816044,360.0,21.027236,0.0,0.0,0.0,2017072
MEDFORD ROGUE VLY AP,OR,42.3811,-122.8722,395.3,20170728,64.94,93.02,78.98,5.144962,360.0,23.040482,0.0,0.0,0.0,2017072
MEDFORD ROGUE VLY AP,OR,42.3811,-122.8722,395.3,20170813,60.08,84.92,74.12,5.144962,360.0,23.040482,0.0,0.0,0.0,2017081
MEDFORD ROGUE VLY AP,OR,42.3811,-122.8722,395.3,20170814,62.06,87.08,72.5,5.59235,360.0,19.908766,0.0,0.0,0.0,2017081
MEDFORD ROGUE VLY AP,OR,42.3811,-122.8722,395.3,20170820,55.04,91.04,71.06,2.23694,360.0,19.01399,0.0,0.0,0.0,2017082
MEDFORD ROGUE VLY AP,OR,42.3811,-122.8722,395.3,20170831,53.96,91.94,69.8,2.013246,360.0,10.961006,0.0,0.0,0.0,2017083
REDMOND ROBERTS FLD,OR,44.2558,-121.1392,927.5,20170518,27.14,71.96,48.38,6.039738,360.0,18.119214,0.0,0.0,0.0,2017051
REDMOND ROBERTS FLD,OR,44.2558,-121.1392,927.5,20170525,32.0,69.08,49.82,6.71082,360.0,27.96175,0.0,0.0,0.0,2017052
