station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
PHILADELPHIA INTL AP,PA,39.8683,-75.2311,3.0,20170118,41.0,48.92,43.88,6.934514,360.0,19.908766,0.0,0.0,0.22047256,2017011
PHILADELPHIA INTL AP,PA,39.8683,-75.2311,3.0,20170328,48.02,53.96,51.98,7.158208,360.0,23.040482,0.0,0.0,0.44881914,2017032
PHILADELPHIA INTL AP,PA,39.8683,-75.2311,3.0,20170513,48.92,53.96,51.44,13.197946,360.0,36.90951,0.0,0.0,1.79133955,2017051
PHILADELPHIA INTL AP,PA,39.8683,-75.2311,3.0,20170713,75.92,93.92,85.82,8.052984,360.0,27.96175,0.0,0.0,0.0,2017071
PHILADELPHIA INTL AP,PA,39.8683,-75.2311,3.0,20170901,57.02,69.08,65.66,8.724066,360.0,29.08022,0.0,0.0,0.0,2017090
PHILADELPHIA INTL AP,PA,39.8683,-75.2311,3.0,20170906,60.98,71.06,67.64,7.381902,360.0,23.935258,0.0,0.0,0.53937037,2017090
PHILADELPHIA INTL AP,PA,39.8683,-75.2311,3.0,20170909,55.04,71.06,63.14,9.842536,360.0,25.948504,0.0,0.0,0.0,2017090
MIDDLETOWN HARRISBURG INTL AP,PA,40.1936,-76.7633,95.1,20170709,64.94,82.04,73.4,6.934514,360.0,17.000744,0.0,0.0,0.0,2017070
ALLENTOWN INTL AP,PA,40.6508,-75.4492,118.9,20170422,42.08,57.02,55.22,6.263432,360.0,19.908766,0.0,0.0,0.0,2017042
ALLENTOWN INTL AP,PA,40.6508,-75.4492,118.9,20170813,62.96,82.04,72.86,5.368656,360.0,17.000744,0.0,0.0,0.0,2017081
ALLENTOWN INTL AP,PA,40.6508,-75.4492,118.9,20170825,57.92,77.0,66.56,3.802798,360.0,14.092722,0.0,0.0,0.0,2017082
WILKES-BARRE INTL AP,PA,41.3336,-75.7269,283.5,20170329,35.06,51.98,46.58,12.974252,360.0,31.093466,0.0,,0.0,2017032
WILKES-BARRE INTL AP,PA,41.3336,-75.7269,283.5,20170401,33.98,42.98,38.48,7.381902,360.0,23.935258,0.1181103,,0.05905515,2017040
WILKES-BARRE INTL AP,PA,41.3336,-75.7269,283.5,20170412,46.04,69.08,63.32,5.816044,360.0,25.948504,0.0,,0.05118113,2017041
WILKES-BARRE INTL AP,PA,41.3336,-75.7269,283.5,20170422,39.92,55.04,53.06,9.842536,360.0,23.040482,0.0,,0.0,2017042
WILKES-BARRE INTL AP,PA,41.3336,-75.7269,283.5,20170511,42.98,64.04,52.34,5.59235,360.0,19.01399,0.0,,0.0,2017051
WILKES-BARRE INTL AP,PA,41.3336,-75.7269,283.5,20170514,46.94,68.0,53.24,7.605596,360.0,38.922756,0.0,,0.0787402,2017051
WILKES-BARRE INTL AP,PA,41.3336,-75.7269,283.5,20170715,62.06,80.96,72.32,5.59235,360.0,19.908766,0.0,,0.0,2017071
WILKES-BARRE INTL AP,PA,41.3336,-75.7269,283.5,20170825,53.96,73.94,62.96,5.368656,360.0,21.027236,0.0,,0.0,2017082
WILLIAMSPORT,PA,41.2433,-76.9217,158.5,20170408,33.08,60.98,44.42,10.513618,360.0,29.974996,0.0,0.0,0.0,2017040
WILLIAMSPORT,PA,41.2433,-76.9217,158.5,20170720,71.06,93.02,79.52,4.250186,360.0,23.935258,0.0,0.0,0.0,2017072
ERIE INTL AP,PA,42.08,-80.1825,222.5,20170417,44.06,59.0,54.32,5.816044,360.0,18.119214,0.0,0.0,0.0,2017041
ERIE INTL AP,PA,42.08,-80.1825,222.5,20170705,60.08,80.96,71.42,4.697574,360.0,14.092722,0.0,0.0,0.0,2017070
ERIE INTL AP,PA,42.08,-80.1825,222.5,20170825,53.06,69.98,62.96,4.250186,360.0,17.000744,0.0,0.0,0.05905515,2017082
ERIE INTL AP,PA,42.08,-80.1825,222.5,20170915,57.92,73.94,65.12,3.802798,360.0,10.961006,0.0,0.0,0.0,2017091
PITTSBURGH INTL AP,PA,40.4847,-80.2144,366.7,20170607,53.06,66.02,58.64,8.500372,360.0,21.027236,0.0,0.0,0.0,2017060
PHILADELPHIA INTL AP,PA,39.8683,-75.2311,3.0,20170115,31.1,41.0,35.06,8.052984,350.0,19.01399,0.0,0.0,0.0,2017011
PHILADELPHIA INTL AP,PA,39.8683,-75.2311,3.0,20170119,37.04,48.92,46.04,6.039738,350.0,21.027236,0.0,0.0,0.0,2017011
PHILADELPHIA INTL AP,PA,39.8683,-75.2311,3.0,20170220,41.0,57.92,53.06,11.1847,350.0,27.066974,0.0,0.0,0.0,2017022
PHILADELPHIA INTL AP,PA,39.8683,-75.2311,3.0,20170323,24.26,44.96,32.54,9.171454,350.0,23.935258,0.0,0.0,0.0,2017032
PHILADELPHIA INTL AP,PA,39.8683,-75.2311,3.0,20170418,46.94,69.08,61.7,8.724066,350.0,25.948504,0.0,0.0,0.0,2017041
PHILADELPHIA INTL AP,PA,39.8683,-75.2311,3.0,20170529,57.02,64.04,60.8,8.500372,350.0,25.948504,0.0,0.0,0.09842525,2017052
PHILADELPHIA INTL AP,PA,39.8683,-75.2311,3.0,20170731,64.04,89.06,75.92,5.816044,350.0,21.027236,0.0,0.0,0.0,2017073
PHILADELPHIA INTL AP,PA,39.8683,-75.2311,3.0,20170911,55.04,75.92,66.02,4.47388,350.0,14.987498,0.0,0.0,0.0,2017091
MIDDLETOWN HARRISBURG INTL AP,PA,40.1936,-76.7633,95.1,20170417,53.96,73.04,66.74,6.263432,350.0,23.040482,0.0,0.0,0.0,2017041
