station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170101,18.86,37.4,28.04,,,,0.9448824,1.968505,0.28346472,2017010
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170102,20.12,28.58,24.26,,,,0.0,1.181103,0.0,2017010
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170103,17.6,27.68,22.64,,,,0.0,1.181103,0.0,2017010
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170104,26.96,42.26,34.7,,,,0.9448824,1.574804,0.2362206,2017010
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170105,24.08,37.94,30.92,,,,0.0393701,0.787402,0.03149608,2017010
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170106,15.98,25.7,20.84,,,,1.3779535,1.968505,0.10629927,2017010
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170107,10.4,18.32,14.36,,,,6.1417356,1.574804,0.33070884,2017010
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170108,3.02,25.7,14.36,,,,10.3937064,12.598432,0.81889808,2017010
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170109,-3.82,4.28,0.14,,,,0.0,13.779535,0.0,2017010
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170110,-5.08,28.58,11.66,,,,0.0,12.598432,0.0,2017011
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170111,26.06,40.64,33.44,,,,0.0393701,10.236226,0.07086618,2017011
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170112,29.84,44.96,37.4,,,,0.0,6.299216,0.11023628,2017011
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170113,10.22,45.14,27.68,,,,0.0393701,0.787402,0.0787402,2017011
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170114,5.0,10.58,7.7,,,,0.0,0.393701,0.0,2017011
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170115,7.16,17.96,12.56,,,,0.3149608,0.787402,0.03149608,2017011
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170116,4.82,29.3,17.06,,,,0.3149608,0.787402,0.01574804,2017011
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170117,17.6,28.4,23.0,,,,1.3385834,1.181103,0.0787402,2017011
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170118,8.06,23.54,15.8,,,,0.0,1.968505,0.0,2017011
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170119,13.46,28.94,21.2,,,,0.5511814,1.181103,0.03149608,2017011
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170120,25.52,30.56,28.04,,,,0.4724412,1.574804,0.03149608,2017012
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170121,23.9,29.3,26.6,,,,0.3149608,1.574804,0.01574804,2017012
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170122,25.34,31.82,28.58,,,,0.3149608,1.574804,0.02362206,2017012
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170123,9.68,28.58,19.04,,,,0.0,1.574804,0.00787402,2017012
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170124,9.32,32.72,21.02,,,,0.393701,1.574804,0.41732306,2017012
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170125,32.0,38.48,35.24,,,,0.0,0.787402,1.4173236,2017012
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170126,30.92,36.14,33.62,,,,0.1574804,0.0,0.20472452,2017012
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170127,26.24,35.6,30.92,,,,0.0,0.0,0.0,2017012
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170128,22.28,29.66,25.88,,,,0.0,0.0,0.0,2017012
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170129,24.62,36.32,30.38,,,,0.0,0.0,0.0,2017012
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170130,15.62,31.28,23.36,,,,0.0,0.0,0.0,2017013
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170131,7.34,23.0,15.08,,,,0.0,0.0,0.0,2017013
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170201,3.92,26.6,15.26,,,,0.393701,0.0,0.02362206,2017020
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170202,15.26,26.06,20.66,,,,0.6299216,0.787402,0.0393701,2017020
CHARLOTTETOWN A,PE,46.2833,-63.1167,49.0,20170203,5.54,18.14,11.84,,,,0.0,1.181103,0.0,2017020
