station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
MONT JOLI A,QC,48.6167,-68.2,52.0,20170101,7.7,20.66,14.18,,,,0.6299216,18.897648,0.06299216,2017010
MONT JOLI A,QC,48.6167,-68.2,52.0,20170102,4.64,24.62,14.54,,,,0.0,19.291349,0.0,2017010
MONT JOLI A,QC,48.6167,-68.2,52.0,20170103,3.2,21.02,12.02,,,,1.6535442,19.291349,0.16535442,2017010
MONT JOLI A,QC,48.6167,-68.2,52.0,20170104,20.3,29.48,24.8,,,,6.1417356,20.866153,0.61417356,2017010
MONT JOLI A,QC,48.6167,-68.2,52.0,20170105,8.24,29.84,19.04,,,,4.330711,24.015761,0.4330711,2017010
MONT JOLI A,QC,48.6167,-68.2,52.0,20170106,5.54,11.66,8.6,,,,0.2362206,26.771668,0.02362206,2017010
MONT JOLI A,QC,48.6167,-68.2,52.0,20170107,-2.74,7.52,2.3,,,,0.1574804,26.771668,0.01574804,2017010
MONT JOLI A,QC,48.6167,-68.2,52.0,20170108,-1.12,7.34,3.02,,,,0.0787402,26.771668,0.00787402,2017010
MONT JOLI A,QC,48.6167,-68.2,52.0,20170109,-3.28,11.12,3.92,,,,0.393701,26.771668,0.0393701,2017010
MONT JOLI A,QC,48.6167,-68.2,52.0,20170110,8.78,27.5,18.14,,,,0.4724412,26.771668,0.04724412,2017011
MONT JOLI A,QC,48.6167,-68.2,52.0,20170111,27.5,42.98,35.24,,,,0.9448824,24.803163,0.12598432,2017011
MONT JOLI A,QC,48.6167,-68.2,52.0,20170112,26.42,47.3,36.86,,,,2.5196864,12.598432,0.40157502,2017011
MONT JOLI A,QC,48.6167,-68.2,52.0,20170113,1.4,26.6,14.0,,,,0.3149608,9.448824,0.03149608,2017011
MONT JOLI A,QC,48.6167,-68.2,52.0,20170114,-0.58,7.7,3.56,,,,1.2598432,9.448824,0.12598432,2017011
MONT JOLI A,QC,48.6167,-68.2,52.0,20170115,3.2,12.2,7.7,,,,1.2598432,11.023628,0.12598432,2017011
MONT JOLI A,QC,48.6167,-68.2,52.0,20170116,1.76,30.2,15.98,,,,0.787402,11.023628,0.0787402,2017011
MONT JOLI A,QC,48.6167,-68.2,52.0,20170117,2.3,22.1,12.2,,,,0.1574804,11.023628,0.01574804,2017011
MONT JOLI A,QC,48.6167,-68.2,52.0,20170118,1.76,21.38,11.48,,,,0.0787402,10.629927,0.00787402,2017011
MONT JOLI A,QC,48.6167,-68.2,52.0,20170119,20.66,31.28,25.88,,,,1.0236226,11.417329,0.09448824,2017011
MONT JOLI A,QC,48.6167,-68.2,52.0,20170120,26.96,30.02,28.4,,,,0.0,,0.0,2017012
MONT JOLI A,QC,48.6167,-68.2,52.0,20170121,29.3,32.54,30.92,,,,0.0393701,11.023628,0.00787402,2017012
MONT JOLI A,QC,48.6167,-68.2,52.0,20170122,12.56,31.1,21.74,,,,0.0,10.629927,0.0,2017012
MONT JOLI A,QC,48.6167,-68.2,52.0,20170123,6.44,22.82,14.54,,,,0.0,10.629927,0.0,2017012
MONT JOLI A,QC,48.6167,-68.2,52.0,20170124,7.88,27.5,17.6,,,,3.3858286,10.236226,0.33858286,2017012
MONT JOLI A,QC,48.6167,-68.2,52.0,20170125,26.6,29.84,28.22,,,,7.0078778,14.566937,0.70078778,2017012
MONT JOLI A,QC,48.6167,-68.2,52.0,20170126,26.24,30.02,28.04,,,,2.2047256,18.897648,0.22047256,2017012
MONT JOLI A,QC,48.6167,-68.2,52.0,20170127,21.02,26.6,23.72,,,,3.7795296,19.68505,0.37795296,2017012
MONT JOLI A,QC,48.6167,-68.2,52.0,20170128,19.4,26.06,22.64,,,,2.5984266,20.078751,0.25984266,2017012
