station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
PROVIDENCE T F GREEN AP,RI,41.7219,-71.4325,18.3,20170107,18.14,24.26,22.64,14.316416,360.0,36.014734,10.7086672,1.181103,0.5511814,2017010
PROVIDENCE T F GREEN AP,RI,41.7219,-71.4325,18.3,20170115,21.2,39.92,31.82,6.263432,360.0,21.027236,0.0,0.0,0.0,2017011
PROVIDENCE T F GREEN AP,RI,41.7219,-71.4325,18.3,20170119,33.98,48.02,38.84,6.039738,360.0,17.000744,0.0,0.0,0.0,2017011
PROVIDENCE T F GREEN AP,RI,41.7219,-71.4325,18.3,20170220,32.0,48.02,44.78,9.618842,360.0,29.08022,0.0,0.0,0.0,2017022
PROVIDENCE T F GREEN AP,RI,41.7219,-71.4325,18.3,20170323,18.14,39.92,27.14,10.737312,360.0,31.093466,0.0,0.0,0.0,2017032
PROVIDENCE T F GREEN AP,RI,41.7219,-71.4325,18.3,20170330,33.98,53.06,41.72,8.500372,360.0,25.053728,0.0,0.0,0.0,2017033
PROVIDENCE T F GREEN AP,RI,41.7219,-71.4325,18.3,20170405,37.04,50.0,43.7,7.605596,360.0,19.01399,0.0,0.0,0.0,2017040
PROVIDENCE T F GREEN AP,RI,41.7219,-71.4325,18.3,20170510,42.98,59.0,51.62,6.71082,360.0,21.027236,0.0,0.0,0.0,2017051
PROVIDENCE T F GREEN AP,RI,41.7219,-71.4325,18.3,20170527,53.96,69.08,59.54,6.039738,360.0,18.119214,0.0,0.0,0.0,2017052
PROVIDENCE T F GREEN AP,RI,41.7219,-71.4325,18.3,20170609,53.96,80.06,64.76,8.94776,360.0,29.08022,0.0,0.0,0.01181103,2017060
PROVIDENCE T F GREEN AP,RI,41.7219,-71.4325,18.3,20170825,57.92,78.98,69.98,8.052984,360.0,23.935258,0.0,0.0,0.0,2017082
PROVIDENCE T F GREEN AP,RI,41.7219,-71.4325,18.3,20170108,13.1,22.1,17.96,9.395148,350.0,23.935258,0.0,9.842525,0.0,2017010
PROVIDENCE T F GREEN AP,RI,41.7219,-71.4325,18.3,20170114,19.22,31.1,27.32,7.381902,350.0,19.01399,0.0,0.0,0.0,2017011
PROVIDENCE T F GREEN AP,RI,41.7219,-71.4325,18.3,20170211,20.12,28.22,23.9,7.605596,350.0,19.908766,1.4173236,11.023628,0.09842525,2017021
PROVIDENCE T F GREEN AP,RI,41.7219,-71.4325,18.3,20170329,37.04,53.06,42.8,14.092722,350.0,36.014734,0.0,0.0,0.05118113,2017032
PROVIDENCE T F GREEN AP,RI,41.7219,-71.4325,18.3,20170514,46.04,53.06,48.38,15.211192,350.0,33.106712,0.0,0.0,1.01181157,2017051
PROVIDENCE T F GREEN AP,RI,41.7219,-71.4325,18.3,20170109,5.18,20.12,14.0,4.697574,340.0,14.092722,0.0,7.086618,0.0,2017010
PROVIDENCE T F GREEN AP,RI,41.7219,-71.4325,18.3,20170113,28.22,57.02,48.38,12.079476,340.0,36.014734,0.0,0.0,0.0,2017011
