station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
GREER,SC,34.8831,-82.2203,286.5,20170104,39.02,55.04,51.62,8.500372,360.0,31.093466,0.0,0.0,0.0,2017010
GREER,SC,34.8831,-82.2203,286.5,20170203,33.98,51.08,48.38,7.381902,360.0,31.093466,0.0,0.0,0.0,2017020
GREER,SC,34.8831,-82.2203,286.5,20170210,27.14,55.94,39.56,6.934514,360.0,27.066974,0.0,0.0,0.0,2017021
GREER,SC,34.8831,-82.2203,286.5,20170308,46.04,71.96,60.62,7.381902,360.0,27.96175,0.0,0.0,0.0,2017030
GREER,SC,34.8831,-82.2203,286.5,20170314,30.2,51.98,41.36,8.500372,360.0,29.974996,0.0,0.0,0.05905515,2017031
GREER,SC,34.8831,-82.2203,286.5,20170319,37.94,57.92,51.62,7.381902,360.0,23.040482,0.0,0.0,0.0,2017031
GREER,SC,34.8831,-82.2203,286.5,20170601,62.06,84.02,72.14,1.342164,360.0,12.079476,0.0,0.0,0.0,2017060
GREER,SC,34.8831,-82.2203,286.5,20170617,69.08,84.92,74.84,3.802798,360.0,21.027236,0.0,0.0,0.05118113,2017061
GREER,SC,34.8831,-82.2203,286.5,20170815,71.96,89.96,78.08,2.460634,360.0,29.08022,0.0,0.0,0.0393701,2017081
GREER,SC,34.8831,-82.2203,286.5,20170816,71.06,91.94,80.06,1.789552,360.0,14.987498,0.0,0.0,0.0,2017081
CHARLESTON INTL AP,SC,32.8986,-80.0403,12.2,20170310,51.98,80.96,63.86,13.42164,360.0,31.093466,0.0,0.0,0.0,2017031
CHARLESTON INTL AP,SC,32.8986,-80.0403,12.2,20170829,69.98,78.08,72.68,9.618842,360.0,21.922012,0.0,0.0,0.0,2017082
COLUMBIA,SC,33.9486,-81.1186,70.4,20170107,29.12,39.92,37.22,8.94776,360.0,29.974996,0.1181103,0.0,0.44094512,2017010
COLUMBIA,SC,33.9486,-81.1186,70.4,20170625,73.04,91.94,80.06,4.697574,360.0,16.105968,0.0,0.0,0.0,2017062
GREER,SC,34.8831,-82.2203,286.5,20170124,39.92,66.92,53.96,4.697574,350.0,33.106712,0.0,0.0,0.0,2017012
GREER,SC,34.8831,-82.2203,286.5,20170219,42.98,69.98,55.04,6.263432,350.0,27.066974,0.0,0.0,0.0,2017021
GREER,SC,34.8831,-82.2203,286.5,20170302,39.92,60.98,53.24,6.934514,350.0,29.974996,0.0,0.0,0.0,2017030
GREER,SC,34.8831,-82.2203,286.5,20170322,48.92,66.92,59.54,7.381902,350.0,27.96175,0.0,0.0,0.0,2017032
GREER,SC,34.8831,-82.2203,286.5,20170508,44.06,77.0,60.98,4.250186,350.0,21.922012,0.0,0.0,0.0,2017050
GREER,SC,34.8831,-82.2203,286.5,20170625,66.92,80.96,73.04,3.802798,350.0,12.974252,0.0,0.0,0.0,2017062
GREER,SC,34.8831,-82.2203,286.5,20170823,73.94,91.04,82.22,6.039738,350.0,17.000744,0.0,0.0,0.0,2017082
CHARLESTON INTL AP,SC,32.8986,-80.0403,12.2,20170106,44.06,62.96,53.42,6.039738,350.0,19.908766,0.0,0.0,0.0,2017010
CHARLESTON INTL AP,SC,32.8986,-80.0403,12.2,20170219,46.94,75.92,60.08,6.934514,350.0,21.922012,0.0,0.0,0.0,2017021
COLUMBIA,SC,33.9486,-81.1186,70.4,20170302,39.92,64.04,62.78,7.605596,350.0,27.96175,0.0,0.0,0.01181103,2017030
COLUMBIA,SC,33.9486,-81.1186,70.4,20170515,57.02,91.94,74.12,3.802798,350.0,14.987498,0.0,0.0,0.0,2017051
GREER,SC,34.8831,-82.2203,286.5,20170107,22.1,32.0,30.74,11.1847,340.0,31.988242,1.8897648,3.149608,0.38188997,2017010
GREER,SC,34.8831,-82.2203,286.5,20170408,46.04,69.98,55.94,6.934514,340.0,21.922012,0.0,0.0,0.0,2017040
GREER,SC,34.8831,-82.2203,286.5,20170715,69.98,91.04,76.82,4.47388,340.0,23.040482,0.0,0.0,0.05118113,2017071
GREER,SC,34.8831,-82.2203,286.5,20170717,69.08,87.08,76.1,4.250186,340.0,19.01399,0.0,0.0,0.01181103,2017071
CHARLESTON INTL AP,SC,32.8986,-80.0403,12.2,20170107,29.12,46.04,41.9,15.211192,340.0,40.041226,0.0,0.0,0.38976399,2017010
CHARLESTON INTL AP,SC,32.8986,-80.0403,12.2,20170302,44.96,69.98,64.94,9.842536,340.0,31.093466,0.0,0.0,0.09842525,2017030
COLUMBIA,SC,33.9486,-81.1186,70.4,20170203,46.94,62.06,56.84,5.59235,340.0,19.908766,0.0,0.0,0.14960638,2017020
COLUMBIA,SC,33.9486,-81.1186,70.4,20170219,46.04,73.04,58.1,4.697574,340.0,23.040482,0.0,0.0,0.0,2017021
COLUMBIA,SC,33.9486,-81.1186,70.4,20170512,66.02,84.02,75.92,7.82929,340.0,23.935258,0.0,0.0,0.01181103,2017051
COLUMBIA,SC,33.9486,-81.1186,70.4,20170710,73.04,91.94,80.24,3.579104,340.0,23.935258,0.0,0.0,0.94881941,2017071
COLUMBIA,SC,33.9486,-81.1186,70.4,20170829,69.08,86.0,74.66,7.605596,340.0,21.027236,0.0,0.0,0.0,2017082
GREER,SC,34.8831,-82.2203,286.5,20170209,33.98,60.98,52.88,10.513618,330.0,29.974996,0.0,0.0,0.24015761,2017020
GREER,SC,34.8831,-82.2203,286.5,20170213,42.98,66.02,58.1,7.158208,330.0,25.948504,0.0,0.0,0.0,2017021
GREER,SC,34.8831,-82.2203,286.5,20170315,24.26,42.08,32.72,8.94776,330.0,29.08022,0.0,0.0,0.0,2017031
GREER,SC,34.8831,-82.2203,286.5,20170425,53.96,75.02,61.7,4.250186,330.0,17.000744,0.0,0.0,0.0,2017042
GREER,SC,34.8831,-82.2203,286.5,20170506,46.04,66.02,54.32,6.039738,330.0,25.948504,0.0,0.0,0.14960638,2017050
GREER,SC,34.8831,-82.2203,286.5,20170624,69.08,82.94,76.64,8.052984,330.0,31.093466,0.0,0.0,0.44881914,2017062
GREER,SC,34.8831,-82.2203,286.5,20170626,60.98,84.92,73.58,3.802798,330.0,14.092722,0.0,0.0,0.0,2017062
