station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
ABERDEEN,SD,45.4558,-98.4131,396.8,20170124,23.18,29.12,28.22,12.079476,360.0,23.040482,1.1023628,3.149608,0.01968505,2017012
ABERDEEN,SD,45.4558,-98.4131,396.8,20170128,23.18,35.06,28.76,12.974252,360.0,34.001488,0.0,1.968505,0.0,2017012
ABERDEEN,SD,45.4558,-98.4131,396.8,20170205,7.16,21.2,13.28,8.500372,360.0,18.119214,0.1181103,0.0,0.01181103,2017020
ABERDEEN,SD,45.4558,-98.4131,396.8,20170221,31.1,64.04,41.72,7.82929,360.0,23.040482,0.0,0.0,0.0,2017022
ABERDEEN,SD,45.4558,-98.4131,396.8,20170222,29.12,44.96,39.92,12.750558,360.0,29.08022,0.0,0.0,0.01181103,2017022
ABERDEEN,SD,45.4558,-98.4131,396.8,20170313,-4.9,16.16,8.78,8.500372,360.0,19.908766,0.0,9.055123,0.0,2017031
ABERDEEN,SD,45.4558,-98.4131,396.8,20170425,32.0,37.04,35.42,19.685072,360.0,35.119958,0.0,0.0,0.0,2017042
ABERDEEN,SD,45.4558,-98.4131,396.8,20170518,41.0,62.96,51.08,17.671826,360.0,36.90951,0.0,0.0,0.0,2017051
ABERDEEN,SD,45.4558,-98.4131,396.8,20170522,33.08,64.94,49.82,9.171454,360.0,27.96175,0.0,0.0,0.01181103,2017052
ABERDEEN,SD,45.4558,-98.4131,396.8,20170617,53.96,71.06,63.68,8.052984,360.0,29.974996,0.0,0.0,0.53149635,2017061
ABERDEEN,SD,45.4558,-98.4131,396.8,20170619,50.0,80.06,64.94,8.500372,360.0,27.066974,0.0,0.0,0.01181103,2017061
ABERDEEN,SD,45.4558,-98.4131,396.8,20170620,51.08,78.08,65.84,6.71082,360.0,19.908766,0.0,0.0,0.0,2017062
ABERDEEN,SD,45.4558,-98.4131,396.8,20170706,60.98,91.04,77.54,9.842536,360.0,29.08022,0.0,0.0,0.0,2017070
ABERDEEN,SD,45.4558,-98.4131,396.8,20170715,62.96,87.08,77.72,9.618842,360.0,25.053728,0.0,0.0,0.0,2017071
ABERDEEN,SD,45.4558,-98.4131,396.8,20170725,66.02,84.92,75.02,9.618842,360.0,25.053728,0.0,0.0,0.0,2017072
ABERDEEN,SD,45.4558,-98.4131,396.8,20170726,64.04,86.0,76.46,7.82929,360.0,21.027236,0.0,0.0,0.0,2017072
ABERDEEN,SD,45.4558,-98.4131,396.8,20170801,60.08,86.0,74.66,8.052984,360.0,21.027236,0.0,0.0,0.0,2017080
ABERDEEN,SD,45.4558,-98.4131,396.8,20170827,51.98,82.04,67.64,6.71082,360.0,27.066974,0.0,0.0,0.0,2017082
ABERDEEN,SD,45.4558,-98.4131,396.8,20170903,53.06,87.98,67.46,9.171454,360.0,29.08022,0.0,0.0,0.0,2017090
ABERDEEN,SD,45.4558,-98.4131,396.8,20170906,35.06,73.94,54.68,4.47388,360.0,18.119214,0.0,0.0,0.0,2017090
HURON RGNL AP,SD,44.3981,-98.2231,390.1,20170124,25.16,31.1,30.74,11.632088,360.0,29.08022,2.0078751,0.0,0.16141741,2017012
HURON RGNL AP,SD,44.3981,-98.2231,390.1,20170222,32.0,53.96,47.48,12.526864,360.0,29.974996,0.0,0.0,0.0,2017022
HURON RGNL AP,SD,44.3981,-98.2231,390.1,20170302,10.22,27.14,21.2,5.816044,360.0,16.105968,0.0,1.181103,0.01181103,2017030
HURON RGNL AP,SD,44.3981,-98.2231,390.1,20170320,32.0,55.94,45.32,9.618842,360.0,23.040482,0.0,0.0,0.0,2017032
HURON RGNL AP,SD,44.3981,-98.2231,390.1,20170427,30.2,50.0,35.6,10.737312,360.0,25.053728,0.0,0.0,0.0,2017042
HURON RGNL AP,SD,44.3981,-98.2231,390.1,20170515,51.98,78.98,67.1,11.408394,360.0,40.936002,0.0,0.0,0.27952771,2017051
HURON RGNL AP,SD,44.3981,-98.2231,390.1,20170518,42.98,62.96,51.44,14.763804,360.0,33.106712,0.0,0.0,0.05905515,2017051
