station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
CROSSVILLE MEM AP,TN,35.9508,-85.0814,569.1,20170106,14.18,23.18,21.38,8.94776,360.0,19.01399,,0.0,0.0393701,2017010
CROSSVILLE MEM AP,TN,35.9508,-85.0814,569.1,20170107,8.24,19.22,13.64,8.724066,360.0,23.935258,0.0,0.0,0.0,2017010
CROSSVILLE MEM AP,TN,35.9508,-85.0814,569.1,20170214,28.22,50.0,39.56,2.460634,360.0,14.987498,,0.0,0.0,2017021
CROSSVILLE MEM AP,TN,35.9508,-85.0814,569.1,20170315,17.24,33.08,24.26,9.171454,360.0,23.935258,,,0.0,2017031
CROSSVILLE MEM AP,TN,35.9508,-85.0814,569.1,20170422,50.0,69.08,61.34,4.921268,360.0,27.066974,0.0,0.0,1.61023709,2017042
CROSSVILLE MEM AP,TN,35.9508,-85.0814,569.1,20170508,41.0,71.06,55.22,4.250186,360.0,19.01399,,,0.0,2017050
CROSSVILLE MEM AP,TN,35.9508,-85.0814,569.1,20170523,57.92,71.06,62.78,1.565858,360.0,10.961006,,,0.07086618,2017052
CROSSVILLE MEM AP,TN,35.9508,-85.0814,569.1,20170620,57.02,82.04,69.26,2.23694,360.0,14.092722,,,0.0,2017062
CROSSVILLE MEM AP,TN,35.9508,-85.0814,569.1,20170716,64.94,84.92,74.66,2.23694,360.0,14.092722,0.0,0.0,0.0,2017071
CLARKSVILLE OUTLAW AP,TN,36.6239,-87.4194,170.7,20170105,20.12,29.12,26.42,9.171454,360.0,18.119214,0.0,0.0,0.0,2017010
CLARKSVILLE OUTLAW AP,TN,36.6239,-87.4194,170.7,20170312,25.16,48.02,36.32,6.934514,360.0,23.040482,,,0.0,2017031
CLARKSVILLE OUTLAW AP,TN,36.6239,-87.4194,170.7,20170322,39.92,55.94,50.72,11.855782,360.0,34.001488,0.0,0.0,0.0,2017032
CLARKSVILLE OUTLAW AP,TN,36.6239,-87.4194,170.7,20170607,55.94,78.98,68.9,8.276678,360.0,25.948504,0.0,0.0,0.0,2017060
CLARKSVILLE OUTLAW AP,TN,36.6239,-87.4194,170.7,20170608,53.96,73.94,64.76,5.816044,360.0,19.01399,0.0,0.0,0.0,2017060
CLARKSVILLE OUTLAW AP,TN,36.6239,-87.4194,170.7,20170829,64.04,84.02,72.14,2.908022,360.0,19.908766,,,0.07086618,2017082
BRISTOL TRI CITY AP,TN,36.4731,-82.4044,457.2,20170319,30.2,50.0,42.44,4.697574,360.0,17.000744,0.0,0.0,0.0,2017031
