station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
LONGVIEW E TX RGNL AP,TX,32.3847,-94.7117,111.3,20170105,33.08,42.98,42.26,6.487126,360.0,19.908766,0.0,0.0,0.0,2017010
LONGVIEW E TX RGNL AP,TX,32.3847,-94.7117,111.3,20170417,66.92,80.06,72.32,5.59235,360.0,19.908766,0.0,0.0,0.0,2017041
LONGVIEW E TX RGNL AP,TX,32.3847,-94.7117,111.3,20170606,69.98,89.06,78.08,6.263432,360.0,18.119214,0.0,0.0,0.0,2017060
COLLEGE STN,TX,30.5892,-96.3647,93.0,20170105,37.04,64.04,47.12,9.618842,360.0,31.093466,0.0,0.0,0.0,2017010
COLLEGE STN,TX,30.5892,-96.3647,93.0,20170107,17.24,42.08,26.78,9.395148,360.0,27.066974,0.0,0.0,0.0,2017010
COLLEGE STN,TX,30.5892,-96.3647,93.0,20170125,48.02,69.98,65.84,11.408394,360.0,27.96175,0.0,0.0,0.01181103,2017012
COLLEGE STN,TX,30.5892,-96.3647,93.0,20170126,39.92,60.08,49.28,7.82929,360.0,21.027236,0.0,0.0,0.0,2017012
COLLEGE STN,TX,30.5892,-96.3647,93.0,20170208,53.96,86.0,70.34,13.197946,360.0,33.106712,0.0,0.0,0.0,2017020
COLLEGE STN,TX,30.5892,-96.3647,93.0,20170503,60.08,91.04,77.18,14.987498,360.0,40.041226,0.0,0.0,0.09842525,2017050
COLLEGE STN,TX,30.5892,-96.3647,93.0,20170606,69.08,87.98,76.46,8.724066,360.0,23.935258,0.0,0.0,0.0,2017060
COLLEGE STN,TX,30.5892,-96.3647,93.0,20170621,73.94,91.04,82.04,13.645334,360.0,29.974996,0.0,0.0,0.0,2017062
COLLEGE STN,TX,30.5892,-96.3647,93.0,20170624,69.98,84.02,79.52,7.82929,360.0,29.974996,0.0,0.0,0.0,2017062
COLLEGE STN,TX,30.5892,-96.3647,93.0,20170809,75.92,93.02,82.04,5.816044,360.0,16.105968,0.0,0.0,0.0,2017080
