station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
LYNCHBURG RGNL AP,VA,37.3208,-79.2067,286.5,20170721,68.0,93.92,79.16,2.013246,360.0,27.066974,0.0,0.0,0.09055123,2017072
LYNCHBURG RGNL AP,VA,37.3208,-79.2067,286.5,20170729,60.98,77.0,71.6,6.039738,360.0,23.935258,0.0,0.0,0.01968505,2017072
LYNCHBURG RGNL AP,VA,37.3208,-79.2067,286.5,20170815,69.08,84.92,74.84,2.013246,360.0,27.066974,0.0,0.0,0.85826818,2017081
NORFOLK INTL AP,VA,36.9033,-76.1922,9.1,20170113,42.08,62.96,55.04,10.513618,360.0,23.040482,0.0,0.0,0.0,2017011
NORFOLK INTL AP,VA,36.9033,-76.1922,9.1,20170122,46.94,51.98,49.64,5.59235,360.0,16.105968,0.0,0.0,0.03149608,2017012
NORFOLK INTL AP,VA,36.9033,-76.1922,9.1,20170308,46.94,66.92,60.62,11.855782,360.0,42.949248,0.0,0.0,0.01968505,2017030
NORFOLK INTL AP,VA,36.9033,-76.1922,9.1,20170311,33.08,44.06,39.38,8.276678,360.0,25.948504,0.0,0.0,0.0,2017031
NORFOLK INTL AP,VA,36.9033,-76.1922,9.1,20170319,35.96,48.02,44.6,12.750558,360.0,35.119958,0.1181103,0.0,0.42126007,2017031
NORFOLK INTL AP,VA,36.9033,-76.1922,9.1,20170417,62.06,87.08,74.12,11.632088,360.0,31.988242,0.0,0.0,0.46850419,2017041
NORFOLK INTL AP,VA,36.9033,-76.1922,9.1,20170515,55.94,78.98,71.42,7.605596,360.0,25.053728,0.0,0.0,0.0,2017051
NORFOLK INTL AP,VA,36.9033,-76.1922,9.1,20170725,73.04,84.02,82.04,10.289924,360.0,21.922012,0.0,0.0,0.0,2017072
NORFOLK INTL AP,VA,36.9033,-76.1922,9.1,20170808,71.96,77.0,75.02,9.842536,360.0,27.066974,0.0,0.0,0.94881941,2017080
RICHMOND INTL AP,VA,37.505,-77.3203,50.0,20170113,44.06,60.98,58.82,8.94776,360.0,21.027236,0.0,0.0,0.0,2017011
RICHMOND INTL AP,VA,37.505,-77.3203,50.0,20170119,37.94,55.04,46.04,3.131716,360.0,12.079476,0.0,0.0,0.0,2017011
RICHMOND INTL AP,VA,37.505,-77.3203,50.0,20170215,33.08,55.04,44.78,7.605596,360.0,36.014734,0.0,0.0,0.38976399,2017021
RICHMOND INTL AP,VA,37.505,-77.3203,50.0,20170329,48.02,69.08,62.96,7.605596,360.0,27.066974,0.0,0.0,0.0,2017032
RICHMOND INTL AP,VA,37.505,-77.3203,50.0,20170522,60.08,71.96,63.86,2.908022,360.0,10.06623,0.0,0.0,0.16141741,2017052
RICHMOND INTL AP,VA,37.505,-77.3203,50.0,20170606,62.96,80.96,71.42,7.158208,360.0,19.908766,0.0,0.0,0.0,2017060
ROANOKE RGNL AP,VA,37.3169,-79.9742,358.1,20170420,53.96,80.06,62.6,2.684328,360.0,38.02798,0.0,0.0,0.05118113,2017042
ROANOKE RGNL AP,VA,37.3169,-79.9742,358.1,20170830,62.06,82.94,69.44,2.013246,360.0,19.908766,0.0,0.0,0.16929143,2017083
WASHINGTON DC DULLES AP,VA,38.9408,-77.4636,88.4,20170106,24.26,31.1,29.48,9.618842,360.0,21.922012,0.1181103,0.0,0.01181103,2017010
WASHINGTON DC DULLES AP,VA,38.9408,-77.4636,88.4,20170320,31.1,53.96,43.34,4.921268,360.0,14.987498,0.0,0.0,0.0,2017032
WASHINGTON DC DULLES AP,VA,38.9408,-77.4636,88.4,20170329,48.02,64.94,58.46,9.618842,360.0,23.040482,0.0,0.0,0.0,2017032
WASHINGTON DC DULLES AP,VA,38.9408,-77.4636,88.4,20170421,60.98,84.02,69.26,4.47388,360.0,23.040482,0.0,0.0,0.0,2017042
WASHINGTON DC DULLES AP,VA,38.9408,-77.4636,88.4,20170423,44.96,60.08,51.8,5.59235,360.0,16.105968,0.0,0.0,0.0,2017042
WASHINGTON DC DULLES AP,VA,38.9408,-77.4636,88.4,20170426,55.94,73.04,61.34,6.487126,360.0,21.027236,0.0,0.0,0.0,2017042
WASHINGTON DC DULLES AP,VA,38.9408,-77.4636,88.4,20170527,55.04,71.96,63.86,2.684328,360.0,12.079476,0.0,0.0,0.01181103,2017052
WASHINGTON DC DULLES AP,VA,38.9408,-77.4636,88.4,20170614,71.96,89.96,82.04,7.158208,360.0,21.027236,0.0,0.0,0.0,2017061
WASHINGTON DC DULLES AP,VA,38.9408,-77.4636,88.4,20170812,68.0,84.02,73.4,2.013246,360.0,31.988242,0.0,0.0,0.09055123,2017081
WASHINGTON DC DULLES AP,VA,38.9408,-77.4636,88.4,20170909,50.0,71.06,62.24,7.158208,360.0,19.01399,0.0,0.0,0.0,2017090
WALLOPS ISLAND FLIGHT FAC,VA,37.9406,-75.4631,11.6,20170107,18.14,30.2,25.7,14.316416,360.0,33.106712,10.0000054,3.93701,0.77165396,2017010
WALLOPS ISLAND FLIGHT FAC,VA,37.9406,-75.4631,11.6,20170509,46.94,64.94,56.48,6.487126,360.0,31.093466,0.0,0.0,0.01968505,2017050
LYNCHBURG RGNL AP,VA,37.3208,-79.2067,286.5,20170801,62.06,86.0,73.76,2.23694,350.0,16.105968,0.0,0.0,0.0,2017080
NORFOLK INTL AP,VA,36.9033,-76.1922,9.1,20170226,41.0,53.96,50.72,7.158208,350.0,23.040482,0.0,0.0,0.0,2017022
NORFOLK INTL AP,VA,36.9033,-76.1922,9.1,20170519,71.96,91.94,80.06,11.408394,350.0,31.093466,0.0,0.0,0.09055123,2017051
