station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170115,14.18,28.22,23.9,6.934514,360.0,25.053728,0.5118113,0.0,0.01181103,2017011
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170224,35.96,50.0,45.32,3.131716,360.0,16.105968,0.0,0.0,0.0393701,2017022
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170323,3.2,33.08,18.14,4.921268,360.0,23.040482,0.0,5.905515,0.0,2017032
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170413,35.96,57.92,47.66,9.395148,360.0,29.974996,0.0,0.0,0.0,2017041
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170519,50.0,73.94,66.2,9.618842,360.0,27.96175,0.0,0.0,0.01181103,2017051
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170704,57.02,80.06,70.16,4.250186,360.0,21.922012,0.0,0.0,0.0,2017070
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170801,60.98,84.92,72.86,3.131716,360.0,12.974252,0.0,0.0,0.0,2017080
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170826,48.92,73.04,60.62,3.579104,360.0,16.105968,0.0,0.0,0.0,2017082
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170114,7.16,24.26,14.18,5.144962,350.0,17.000744,0.0,0.0,0.0,2017011
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170119,35.06,39.02,36.5,3.35541,350.0,12.974252,0.0,1.968505,0.0,2017011
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170122,33.98,39.02,36.86,5.368656,350.0,14.987498,0.0,0.0,0.0,2017012
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170411,46.04,80.06,64.4,5.816044,350.0,23.935258,0.0,0.0,0.11023628,2017041
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170526,53.06,57.92,55.94,7.381902,350.0,23.935258,0.0,0.0,0.27165369,2017052
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170219,37.04,50.0,45.14,8.052984,340.0,25.948504,0.0,7.086618,0.0,2017021
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170220,23.18,37.04,34.52,9.618842,340.0,27.066974,0.0,7.086618,0.0,2017022
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170304,3.2,10.22,9.14,16.105968,340.0,38.02798,0.0,0.0,0.0,2017030
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170305,5.18,22.1,10.94,9.395148,340.0,27.066974,0.0,0.0,0.0,2017030
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170402,31.1,50.0,39.2,5.368656,340.0,21.027236,0.0,5.118113,0.0,2017040
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170803,66.92,86.0,75.02,5.816044,340.0,19.908766,0.0,0.0,0.07086618,2017080
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170808,59.0,75.92,66.92,4.026492,340.0,14.987498,0.0,0.0,0.05118113,2017080
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170909,53.06,64.94,57.38,3.802798,340.0,14.987498,0.0,0.0,0.01181103,2017090
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170911,44.96,75.02,58.64,2.23694,340.0,12.079476,0.0,0.0,0.0,2017091
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170917,60.98,84.02,71.24,1.11847,340.0,10.06623,0.0,0.0,0.0,2017091
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170107,10.22,24.26,19.22,5.59235,330.0,18.119214,0.0,0.0,0.0,2017010
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170108,4.1,15.26,10.4,5.59235,330.0,27.066974,0.1968505,0.0,0.0,2017010
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170124,28.22,33.08,31.82,11.408394,330.0,21.922012,2.0078751,0.0,0.90944931,2017012
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170125,28.22,35.06,29.66,4.697574,330.0,17.000744,0.787402,3.149608,0.05905515,2017012
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170206,15.26,29.12,22.28,6.934514,330.0,34.001488,2.9133874,1.968505,0.07086618,2017020
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170210,6.26,13.1,9.86,11.632088,330.0,38.922756,0.1968505,3.93701,0.01968505,2017021
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170310,10.22,30.2,26.96,10.961006,330.0,36.014734,0.0,0.0,0.0,2017031
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170312,4.1,19.22,9.32,13.869028,330.0,29.08022,0.0,0.0,0.0,2017031
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170313,8.24,22.1,14.18,7.381902,330.0,19.908766,0.0,0.0,0.0,2017031
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170315,18.14,23.18,19.76,13.645334,330.0,33.106712,12.598432,20.078751,0.33858286,2017031
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170317,13.1,33.08,25.34,5.368656,330.0,18.119214,0.0,14.173236,0.0,2017031
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170320,15.26,46.94,30.38,2.908022,330.0,12.079476,0.0,9.055123,0.0,2017032
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170325,21.2,35.96,33.98,6.71082,330.0,19.908766,0.0,7.086618,0.0,2017032
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,20170330,32.0,42.08,36.86,8.052984,330.0,21.027236,0.0,1.968505,0.0,2017033
