station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
EPHRATA MUNI AP,WA,47.3078,-119.5153,381.6,20170221,31.1,41.0,34.52,6.263432,360.0,17.000744,,,0.03149608,2017022
EPHRATA MUNI AP,WA,47.3078,-119.5153,381.6,20170321,33.98,50.0,44.24,9.618842,360.0,27.96175,,,0.1181103,2017032
EPHRATA MUNI AP,WA,47.3078,-119.5153,381.6,20170326,33.08,46.04,42.44,4.47388,360.0,12.974252,,,0.05118113,2017032
EPHRATA MUNI AP,WA,47.3078,-119.5153,381.6,20170520,55.94,75.02,66.2,8.276678,360.0,23.935258,,,0.01181103,2017052
EPHRATA MUNI AP,WA,47.3078,-119.5153,381.6,20170907,60.08,84.02,73.76,4.47388,360.0,10.06623,,,0.0,2017090
EPHRATA MUNI AP,WA,47.3078,-119.5153,381.6,20170914,55.94,75.02,66.2,12.526864,360.0,33.106712,,,0.0,2017091
SPOKANE INTL AP,WA,47.6217,-117.5281,717.2,20170128,14.18,33.08,25.52,1.789552,360.0,6.934514,0.0,5.905515,0.0,2017012
SPOKANE INTL AP,WA,47.6217,-117.5281,717.2,20170611,44.06,71.06,56.12,6.487126,360.0,21.922012,0.0,0.0,0.0,2017061
SPOKANE INTL AP,WA,47.6217,-117.5281,717.2,20170622,55.04,77.0,67.1,7.82929,360.0,25.948504,0.0,0.0,0.0,2017062
SPOKANE INTL AP,WA,47.6217,-117.5281,717.2,20170623,51.08,80.96,67.46,4.921268,360.0,23.040482,0.0,0.0,0.0,2017062
OLYMPIA AP,WA,46.9733,-122.9033,57.3,20170208,33.08,35.96,34.52,3.802798,360.0,14.092722,0.0,0.0,1.09055177,2017020
OLYMPIA AP,WA,46.9733,-122.9033,57.3,20170212,28.22,50.0,36.68,2.013246,360.0,8.94776,0.0,0.0,0.0,2017021
OLYMPIA AP,WA,46.9733,-122.9033,57.3,20170415,35.96,60.08,45.14,4.697574,360.0,14.092722,0.0,0.0,0.0,2017041
OLYMPIA AP,WA,46.9733,-122.9033,57.3,20170507,37.94,64.04,49.46,3.802798,360.0,17.000744,0.0,0.0,0.0,2017050
OLYMPIA AP,WA,46.9733,-122.9033,57.3,20170716,51.08,73.94,61.34,6.487126,360.0,23.935258,0.0,0.0,0.0,2017071
OLYMPIA AP,WA,46.9733,-122.9033,57.3,20170803,55.94,96.08,74.12,3.35541,360.0,14.092722,0.0,0.0,0.0,2017080
OLYMPIA AP,WA,46.9733,-122.9033,57.3,20170831,55.04,77.0,66.74,4.697574,360.0,12.974252,0.0,0.0,0.0,2017083
SEATTLE TACOMA INTL AP,WA,47.4444,-122.3139,112.8,20170110,32.0,39.92,36.86,13.645334,360.0,31.093466,0.0,0.0,0.07086618,2017011
SEATTLE TACOMA INTL AP,WA,47.4444,-122.3139,112.8,20170131,33.98,44.06,40.64,11.1847,360.0,25.053728,0.0,0.0,0.0,2017013
SEATTLE TACOMA INTL AP,WA,47.4444,-122.3139,112.8,20170424,44.96,57.02,48.02,8.276678,360.0,19.908766,0.0,0.0,0.05905515,2017042
SEATTLE TACOMA INTL AP,WA,47.4444,-122.3139,112.8,20170503,55.04,73.94,58.64,6.039738,360.0,12.079476,0.0,0.0,0.11023628,2017050
SEATTLE TACOMA INTL AP,WA,47.4444,-122.3139,112.8,20170528,55.94,86.0,70.88,6.263432,360.0,14.092722,0.0,0.0,0.0,2017052
SEATTLE TACOMA INTL AP,WA,47.4444,-122.3139,112.8,20170622,50.0,75.02,62.24,9.171454,360.0,21.027236,0.0,0.0,0.0,2017062
