station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
MADISON DANE RGNL AP,WI,43.1406,-89.3453,264.0,20170201,11.12,33.08,29.48,7.605596,360.0,27.96175,0.0,3.93701,0.0,2017020
MADISON DANE RGNL AP,WI,43.1406,-89.3453,264.0,20170208,11.12,27.14,23.36,8.94776,360.0,21.027236,0.0,1.968505,0.0,2017020
MADISON DANE RGNL AP,WI,43.1406,-89.3453,264.0,20170507,33.08,60.98,49.28,5.59235,360.0,23.040482,0.0,0.0,0.0,2017050
MADISON DANE RGNL AP,WI,43.1406,-89.3453,264.0,20170705,62.06,86.0,73.22,4.47388,360.0,36.014734,0.0,0.0,0.05118113,2017070
MADISON DANE RGNL AP,WI,43.1406,-89.3453,264.0,20170714,57.92,71.06,64.04,5.368656,360.0,19.908766,0.0,0.0,0.0,2017071
MADISON DANE RGNL AP,WI,43.1406,-89.3453,264.0,20170721,64.94,80.06,73.58,6.039738,360.0,46.080964,0.0,0.0,1.66141822,2017072
MADISON DANE RGNL AP,WI,43.1406,-89.3453,264.0,20170905,48.92,62.96,57.56,8.500372,360.0,27.066974,0.0,0.0,0.01968505,2017090
MILWAUKEE MITCHELL AP,WI,42.955,-87.9044,204.2,20170228,41.0,57.02,46.04,7.82929,360.0,25.948504,0.0,0.0,0.37007894,2017022
MILWAUKEE MITCHELL AP,WI,42.955,-87.9044,204.2,20170525,51.98,66.02,57.56,10.737312,360.0,29.08022,0.0,0.0,0.0,2017052
MILWAUKEE MITCHELL AP,WI,42.955,-87.9044,204.2,20170727,68.0,78.08,73.94,12.526864,360.0,31.988242,0.0,0.0,0.0,2017072
GREEN BAY,WI,44.4983,-88.1111,207.9,20170320,33.08,55.04,41.9,6.71082,360.0,21.027236,0.0,0.0,0.0,2017032
GREEN BAY,WI,44.4983,-88.1111,207.9,20170406,35.96,51.98,43.16,18.790296,360.0,36.90951,0.0,0.0,0.0,2017040
GREEN BAY,WI,44.4983,-88.1111,207.9,20170407,33.08,57.92,43.88,8.500372,360.0,18.119214,0.0,0.0,0.0,2017040
GREEN BAY,WI,44.4983,-88.1111,207.9,20170506,39.92,62.06,51.08,12.750558,360.0,29.974996,0.0,0.0,0.0,2017050
GREEN BAY,WI,44.4983,-88.1111,207.9,20170715,59.0,82.94,69.62,8.052984,360.0,63.976484,0.0,0.0,0.87007921,2017071
LA CROSSE MUNI AP,WI,43.8789,-91.2528,198.7,20170111,11.12,17.24,14.54,9.171454,360.0,21.027236,0.0,5.905515,0.0,2017011
LA CROSSE MUNI AP,WI,43.8789,-91.2528,198.7,20170807,57.02,82.94,69.62,5.816044,360.0,17.000744,0.0,0.0,0.0,2017080
LA CROSSE MUNI AP,WI,43.8789,-91.2528,198.7,20170810,66.92,84.92,75.02,10.961006,360.0,29.08022,0.0,0.0,0.0,2017081
LA CROSSE MUNI AP,WI,43.8789,-91.2528,198.7,20170812,51.98,82.94,68.18,3.802798,360.0,23.040482,0.0,0.0,0.0,2017081
MADISON DANE RGNL AP,WI,43.1406,-89.3453,264.0,20170310,16.16,27.14,24.26,12.079476,350.0,27.96175,0.0,0.0,0.0,2017031
MADISON DANE RGNL AP,WI,43.1406,-89.3453,264.0,20170321,26.24,48.02,39.92,8.724066,350.0,29.08022,0.0,0.0,0.0,2017032
MADISON DANE RGNL AP,WI,43.1406,-89.3453,264.0,20170703,60.98,80.06,71.24,6.71082,350.0,27.066974,0.0,0.0,0.0,2017070
MADISON DANE RGNL AP,WI,43.1406,-89.3453,264.0,20170812,51.08,77.0,63.86,4.026492,350.0,16.105968,0.0,0.0,0.0,2017081
MADISON DANE RGNL AP,WI,43.1406,-89.3453,264.0,20170831,50.0,71.06,62.78,9.171454,350.0,25.948504,0.0,0.0,0.0,2017083
MILWAUKEE MITCHELL AP,WI,42.955,-87.9044,204.2,20170314,16.16,26.24,22.64,11.855782,350.0,29.08022,0.5118113,9.055123,0.01181103,2017031
MILWAUKEE MITCHELL AP,WI,42.955,-87.9044,204.2,20170707,60.98,84.92,76.82,8.94776,350.0,34.001488,0.0,0.0,0.0787402,2017070
MILWAUKEE MITCHELL AP,WI,42.955,-87.9044,204.2,20170902,48.92,73.04,61.16,5.144962,350.0,23.935258,0.0,0.0,0.14173236,2017090
GREEN BAY,WI,44.4983,-88.1111,207.9,20170321,23.18,44.06,38.12,12.079476,350.0,27.96175,0.0,0.0,0.0,2017032
GREEN BAY,WI,44.4983,-88.1111,207.9,20170507,35.06,57.92,46.94,9.842536,350.0,25.053728,0.0,0.0,0.0,2017050
GREEN BAY,WI,44.4983,-88.1111,207.9,20170608,53.06,80.96,69.44,7.605596,350.0,27.96175,0.0,0.0,0.18897648,2017060
GREEN BAY,WI,44.4983,-88.1111,207.9,20170611,71.06,84.02,79.52,8.052984,350.0,25.053728,0.0,0.0,0.0,2017061
GREEN BAY,WI,44.4983,-88.1111,207.9,20170811,55.94,71.96,63.5,6.934514,350.0,21.922012,0.0,0.0,0.0,2017081
LA CROSSE MUNI AP,WI,43.8789,-91.2528,198.7,20170314,7.16,30.2,20.84,7.158208,350.0,19.908766,0.0,3.93701,0.0,2017031
