station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
HUNTINGTON TRI STATE AP,WV,38.365,-82.555,251.2,20170417,60.98,77.0,67.28,5.368656,360.0,18.119214,0.0,0.0,0.01968505,2017041
HUNTINGTON TRI STATE AP,WV,38.365,-82.555,251.2,20170731,62.96,86.0,73.94,2.460634,360.0,12.974252,0.0,0.0,0.0,2017073
BECKLEY RALEIGH CO AP,WV,37.7836,-81.1231,766.3,20170321,37.94,55.04,49.46,5.368656,360.0,16.105968,0.0,0.0,0.0,2017032
BECKLEY RALEIGH CO AP,WV,37.7836,-81.1231,766.3,20170422,44.96,59.0,52.88,6.934514,360.0,19.01399,0.0,0.0,0.33070884,2017042
BECKLEY RALEIGH CO AP,WV,37.7836,-81.1231,766.3,20170429,64.94,84.92,73.94,6.71082,360.0,21.027236,0.0,0.0,0.0,2017042
BECKLEY RALEIGH CO AP,WV,37.7836,-81.1231,766.3,20170506,39.02,51.08,44.96,10.513618,360.0,36.014734,0.0,0.0,0.31889781,2017050
BECKLEY RALEIGH CO AP,WV,37.7836,-81.1231,766.3,20170714,66.92,84.02,74.48,7.381902,360.0,29.08022,0.0,0.0,0.27952771,2017071
BECKLEY RALEIGH CO AP,WV,37.7836,-81.1231,766.3,20170729,55.94,66.92,64.4,8.724066,360.0,23.040482,0.0,0.0,0.05118113,2017072
BECKLEY RALEIGH CO AP,WV,37.7836,-81.1231,766.3,20170908,44.06,68.0,54.86,4.026492,360.0,18.119214,0.0,0.0,0.0,2017090
BECKLEY RALEIGH CO AP,WV,37.7836,-81.1231,766.3,20170915,57.92,69.08,62.96,2.908022,360.0,10.06623,0.0,0.0,0.0,2017091
ELKINS RANDOLPH CO AP,WV,38.8853,-79.8528,603.2,20170220,31.1,66.92,47.84,1.11847,360.0,12.079476,0.0,0.0,0.0,2017022
ELKINS RANDOLPH CO AP,WV,38.8853,-79.8528,603.2,20170322,21.2,46.04,38.84,8.500372,360.0,25.948504,0.0,0.0,0.0,2017032
ELKINS RANDOLPH CO AP,WV,38.8853,-79.8528,603.2,20170619,60.98,75.92,69.26,4.921268,360.0,21.922012,0.0,0.0,1.11023682,2017061
ELKINS RANDOLPH CO AP,WV,38.8853,-79.8528,603.2,20170730,55.04,78.08,63.86,3.35541,360.0,19.908766,0.0,0.0,0.0,2017073
CHARLESTON YEAGER AP,WV,38.3794,-81.59,277.4,20170422,44.96,57.02,54.32,4.921268,360.0,17.000744,0.0,0.0,0.35826791,2017042
CHARLESTON YEAGER AP,WV,38.3794,-81.59,277.4,20170515,55.04,78.08,68.54,2.908022,360.0,12.974252,0.0,0.0,0.0,2017051
CHARLESTON YEAGER AP,WV,38.3794,-81.59,277.4,20170607,51.98,68.0,60.62,3.35541,360.0,14.987498,0.0,0.0,0.0,2017060
HUNTINGTON TRI STATE AP,WV,38.365,-82.555,251.2,20170113,37.04,48.92,43.7,6.71082,350.0,19.908766,0.0,0.0,0.09055123,2017011
HUNTINGTON TRI STATE AP,WV,38.365,-82.555,251.2,20170318,39.02,57.92,44.24,8.276678,350.0,36.014734,0.0,0.0,0.01968505,2017031
HUNTINGTON TRI STATE AP,WV,38.365,-82.555,251.2,20170322,33.08,50.0,42.98,9.395148,350.0,25.948504,0.0,0.0,0.0,2017032
HUNTINGTON TRI STATE AP,WV,38.365,-82.555,251.2,20170414,46.94,84.92,66.38,2.23694,350.0,14.092722,0.0,0.0,0.0,2017041
HUNTINGTON TRI STATE AP,WV,38.365,-82.555,251.2,20170515,57.02,78.98,68.72,4.47388,350.0,14.987498,0.0,0.0,0.0,2017051
HUNTINGTON TRI STATE AP,WV,38.365,-82.555,251.2,20170603,53.96,87.08,69.62,2.460634,350.0,17.000744,0.0,0.0,0.0,2017060
HUNTINGTON TRI STATE AP,WV,38.365,-82.555,251.2,20170729,62.06,77.0,71.42,6.263432,350.0,19.908766,0.0,0.0,0.0,2017072
